                        	bzero	builtin_bzero	simple_bzero
Length    1, alignment  0, c  0:	88.7031	62.6562	36.625
Length    2, alignment  0, c  0:	51.2812	57.7812	40.7031
Length    4, alignment  0, c  0:	56.9688	58.5938	43.9375
Length    8, alignment  0, c  0:	59.4062	57.7812	52.8906
Length   16, alignment  0, c  0:	57.7812	58.5938	71.6094
Length   32, alignment  0, c  0:	69.1719	56.9688	107.422
Length   64, alignment  0, c  0:	79.75	62.6719	153
Length  128, alignment  0, c  0:	100.922	78.125	258.781
Length  256, alignment  0, c  0:	140.781	112.312	478.516
Length  512, alignment  0, c  0:	228.688	166.828	909.016
Length 1024, alignment  0, c  0:	389	273.438	1760.25
Length 2048, alignment  0, c  0:	708	498.047	3472.5
Length 4096, alignment  0, c  0:	1359.05	915.531	6893.72
Length 8192, alignment  0, c  0:	2644.03	1780.59	13750.8
Length 16384, alignment  0, c  0:	5214.03	3493.64	27473.1
Length 32768, alignment  0, c  0:	10362.1	7840.17	54913.8
Length 65536, alignment  0, c  0:	20688.5	13824.9	110077
Length 131072, alignment  0, c  0:	41279.3	27583.8	220063
Length    1, alignment  1, c  0:	52.9062	56.9688	35.8125
Length    2, alignment  2, c  0:	51.2656	61.0312	39.875
Length    3, alignment  3, c  0:	50.4531	59.4062	42.3125
Length    3, alignment  0, c  0:	50.4531	57.7656	43.9531
Length    4, alignment  4, c  0:	56.9688	56.1562	43.1406
Length    5, alignment  5, c  0:	54.5156	65.9219	44.7656
Length    5, alignment  0, c  0:	54.5156	58.5938	44.7656
Length    6, alignment  6, c  0:	54.5156	61.8594	46.3906
Length    6, alignment  0, c  0:	66.7344	58.5938	46.3906
Length    7, alignment  7, c  0:	55.3438	57.7812	48.8281
Length    7, alignment  0, c  0:	55.3438	59.4062	48.8281
Length    8, alignment  8, c  0:	59.4062	59.4062	59.4062
Length    9, alignment  9, c  0:	82.1875	64.2812	51.2656
Length    9, alignment  0, c  0:	59.4062	58.5938	58.5938
Length   10, alignment 10, c  0:	71.625	61.8438	61.0312
Length   10, alignment  0, c  0:	58.5938	57.7812	69.1719
Length   11, alignment 11, c  0:	64.2969	57.7812	62.6719
Length   11, alignment  0, c  0:	57.7812	57.7812	61.8438
Length   12, alignment 12, c  0:	72.4219	59.4062	64.2812
Length   12, alignment  0, c  0:	69.1719	58.5938	63.4688
Length   13, alignment 13, c  0:	72.4219	65.1094	65.9219
Length   13, alignment  0, c  0:	68.3594	59.4062	66.7344
Length   14, alignment 14, c  0:	73.25	62.6562	68.3594
Length   14, alignment  0, c  0:	69.1719	58.5938	68.3594
Length   15, alignment 15, c  0:	70.7969	57.7812	69.9844
Length   15, alignment  0, c  0:	68.3594	57.7812	69.9844
Length   16, alignment 16, c  0:	59.4062	57.7812	69.9844
Length   17, alignment 17, c  0:	79.75	64.2812	73.25
Length   17, alignment  0, c  0:	58.5938	57.7812	72.4375
Length   18, alignment 18, c  0:	70	61.8438	74.0469
Length   18, alignment  0, c  0:	59.4062	58.5938	74.875
Length   19, alignment 19, c  0:	65.1094	58.5938	77.3125
Length   19, alignment  0, c  0:	58.5938	57.7812	76.4844
Length   20, alignment 20, c  0:	72.4219	57.7812	78.9375
Length   20, alignment  0, c  0:	77.3125	57.7812	78.125
Length   21, alignment 21, c  0:	72.4375	65.0938	79.75
Length   21, alignment  0, c  0:	68.3594	58.5938	79.7656
Length   22, alignment 22, c  0:	73.2344	62.6562	81.375
Length   22, alignment  0, c  0:	68.3594	58.5938	81.3906
Length   23, alignment 23, c  0:	69.9844	57.7812	83.0156
Length   23, alignment  0, c  0:	68.3594	58.5938	83.8281
Length   24, alignment 24, c  0:	58.5938	58.5938	84.6406
Length   24, alignment  0, c  0:	58.5938	57.7812	85.4531
Length   25, alignment 25, c  0:	78.9375	65.1094	86.25
Length   25, alignment  0, c  0:	58.5938	58.5938	86.25
Length   26, alignment 26, c  0:	69.9844	61.8594	87.0781
Length   26, alignment  0, c  0:	58.5938	57.7812	87.8906
Length   27, alignment 27, c  0:	64.2969	58.5938	90.3281
Length   27, alignment  0, c  0:	58.5938	57.7812	89.5156
Length   28, alignment 28, c  0:	72.4219	58.5938	91.9688
Length   28, alignment  0, c  0:	67.5469	58.5938	91.1406
Length   29, alignment 29, c  0:	73.2344	65.9219	93.5938
Length   29, alignment  0, c  0:	68.3594	57.7812	93.5938
Length   30, alignment 30, c  0:	74.875	63.4688	104.156
Length   30, alignment  0, c  0:	68.3594	59.4062	96.0312
Length   31, alignment 31, c  0:	72.4219	61.8594	96.0312
Length   31, alignment  0, c  0:	67.5469	52.9062	95.2188
Length   32, alignment  0, c  0:	69.1719	55.3281	98.4688
Length   32, alignment 32, c  0:	69.1719	54.5156	97.6562
Length   64, alignment  0, c  0:	79.75	61.8438	150.562
Length   64, alignment  0, c  0:	79.75	61.8438	160.312
