                    	memchr	simple_memchr
Length 2048, position   32, alignment  0:	146.484	213.219
Length  256, position   64, alignment  1:	207.531	370.281
Length 2048, position   32, alignment  0:	123.703	209.953
Length  256, position   64, alignment  1:	205.078	368.656
Length 2048, position   64, alignment  0:	183.109	369.469
Length  256, position   64, alignment  2:	203.453	368.656
Length 2048, position   64, alignment  0:	183.109	367.844
Length  256, position   64, alignment  2:	203.453	369.469
Length 2048, position  128, alignment  0:	305.188	690.922
Length  256, position   64, alignment  3:	211.594	368.656
Length 2048, position  128, alignment  0:	303.547	689.281
Length  256, position   64, alignment  3:	201.828	368.656
Length 2048, position  256, alignment  0:	543.625	1328.95
Length  256, position   64, alignment  4:	183.109	368.656
Length 2048, position  256, alignment  0:	543.609	1329.75
Length  256, position   64, alignment  4:	183.109	369.469
Length 2048, position  512, alignment  0:	1023.77	2608.23
Length  256, position   64, alignment  5:	206.703	368.641
Length 2048, position  512, alignment  0:	1023.75	2609.88
Length  256, position   64, alignment  5:	205.891	369.469
Length 2048, position 1024, alignment  0:	1984.05	5169.27
Length  256, position   64, alignment  6:	204.266	368.656
Length 2048, position 1024, alignment  0:	1984.05	5169.28
Length  256, position   64, alignment  6:	203.453	369.469
Length 2048, position 2048, alignment  0:	3900.56	10288.1
Length  256, position   64, alignment  7:	211.594	367.844
Length 2048, position 2048, alignment  0:	3900.55	10288.1
Length  256, position   64, alignment  7:	210.766	368.656
Length    2, position    1, alignment  0:	61.0312	46.3906
Length    2, position    1, alignment  0:	59.4062	46.3906
Length    2, position    1, alignment  1:	49.6406	46.375
Length    2, position    1, alignment  1:	49.6406	47.2031
Length    3, position    2, alignment  0:	64.2969	49.6406
Length    3, position    2, alignment  0:	63.4844	47.1875
Length    3, position    2, alignment  2:	64.2969	46.375
Length    3, position    2, alignment  2:	63.4844	52.0938
Length    4, position    3, alignment  0:	72.4219	52.0781
Length    4, position    3, alignment  0:	72.4219	50.4531
Length    4, position    3, alignment  3:	71.6094	50.4531
Length    4, position    3, alignment  3:	70.7969	50.4531
Length    5, position    4, alignment  0:	56.1562	54.5312
Length    5, position    4, alignment  0:	55.3438	55.3281
Length    5, position    4, alignment  4:	55.3438	55.3281
Length    5, position    4, alignment  4:	54.5312	56.1562
Length    6, position    5, alignment  0:	65.1094	72.4375
Length    6, position    5, alignment  0:	65.1094	71.6094
Length    6, position    5, alignment  5:	87.0781	73.2344
Length    6, position    5, alignment  5:	82.2031	71.625
Length    7, position    6, alignment  0:	70.7969	78.9375
Length    7, position    6, alignment  0:	69.9844	78.9375
Length    7, position    6, alignment  6:	69.1719	78.9375
Length    7, position    6, alignment  6:	69.1719	78.125
Length    8, position    7, alignment  0:	82.1875	83
Length    8, position    7, alignment  0:	80.5781	83.8281
Length    8, position    7, alignment  7:	78.9375	83
Length    8, position    7, alignment  7:	78.9375	83.8281
Length    9, position    8, alignment  0:	64.2812	88.7031
Length    9, position    8, alignment  0:	63.4688	89.5156
Length    9, position    8, alignment  0:	64.2969	88.7031
Length    9, position    8, alignment  0:	64.2969	87.8906
