                    	memrchr	simple_memrchr
Length 2048, position   32, alignment  0:	3452.16	6773.27
Length  256, position   64, alignment  1:	395.516	688.484
Length 2048, position   32, alignment  0:	3426.91	6769.2
Length  256, position   64, alignment  1:	393.891	688.469
Length  256, position    1, alignment  0:	490.734	898.438
Length  256, position    1, alignment  0:	492.344	899.25
Length  256, position    1, alignment  1:	501.297	898.438
Length  256, position    1, alignment  1:	500.484	898.438
Length 2048, position   64, alignment  0:	3373.2	6660.97
Length  256, position   64, alignment  2:	395.5	689.297
Length 2048, position   64, alignment  0:	3371.59	6660.97
Length  256, position   64, alignment  2:	395.516	688.484
Length  256, position    2, alignment  0:	489.906	895.188
Length  256, position    2, alignment  0:	489.094	895.172
Length  256, position    2, alignment  2:	499.672	895.188
Length  256, position    2, alignment  2:	1274.41	896
Length 2048, position  128, alignment  0:	3266.59	6448.56
Length  256, position   64, alignment  3:	401.203	689.297
Length 2048, position  128, alignment  0:	3264.98	6449.38
Length  256, position   64, alignment  3:	400.391	689.281
Length  256, position    3, alignment  0:	488.281	892.734
Length  256, position    3, alignment  0:	489.094	891.938
Length  256, position    3, alignment  3:	501.297	892.734
Length  256, position    3, alignment  3:	501.297	891.922
Length 2048, position  256, alignment  0:	3053.39	6021.33
Length  256, position   64, alignment  4:	386.547	688.469
Length 2048, position  256, alignment  0:	3052.58	6021.33
Length  256, position   64, alignment  4:	386.547	688.484
Length  256, position    4, alignment  0:	485.844	887.859
Length  256, position    4, alignment  0:	486.641	888.672
Length  256, position    4, alignment  4:	486.656	888.672
Length  256, position    4, alignment  4:	486.656	888.672
Length 2048, position  512, alignment  0:	2626.95	5167.64
Length  256, position   64, alignment  5:	394.688	689.281
Length 2048, position  512, alignment  0:	2626.14	5169.27
Length  256, position   64, alignment  5:	393.062	688.484
Length  256, position    5, alignment  0:	486.656	885.422
Length  256, position    5, alignment  0:	485.844	884.609
Length  256, position    5, alignment  5:	490.719	885.406
Length  256, position    5, alignment  5:	490.719	884.609
Length 2048, position 1024, alignment  0:	1773.28	3461.11
Length  256, position   64, alignment  6:	397.141	688.484
Length 2048, position 1024, alignment  0:	1772.47	3461.92
Length  256, position   64, alignment  6:	395.516	689.281
Length  256, position    6, alignment  0:	482.578	881.344
Length  256, position    6, alignment  0:	483.391	881.344
Length  256, position    6, alignment  6:	493.172	881.344
Length  256, position    6, alignment  6:	491.547	882.172
Length 2048, position 2048, alignment  0:	3478.19	6875.81
Length  256, position   64, alignment  7:	400.391	688.469
Length 2048, position 2048, alignment  0:	3477.38	6875.81
Length  256, position   64, alignment  7:	401.203	689.297
Length  256, position    7, alignment  0:	482.594	878.906
Length  256, position    7, alignment  0:	482.578	878.906
Length  256, position    7, alignment  7:	494.797	1040.05
