                       	__stpcpy_chk	normal_stpcpy	simple_stpcpy_chk
Length    0, alignment  0/ 0:	93.5938	52.8906	40.7031
Length    0, alignment  0/ 0:	65.1094	48.8281	38.2344
Length    0, alignment  0/ 0:	65.1094	48.0156	36.625
Length    0, alignment  0/ 0:	64.2969	48.0156	38.25
Length    1, alignment  0/ 0:	66.7344	53.7031	43.1406
Length    1, alignment  0/ 0:	67.5469	52.8906	43.9375
Length    1, alignment  0/ 1:	68.3594	52.0938	43.125
Length    1, alignment  1/ 0:	68.3594	52.8906	43.9375
Length    2, alignment  0/ 0:	70.7969	57.7812	50.4531
Length    2, alignment  0/ 0:	71.6094	56.9688	50.4531
Length    2, alignment  0/ 2:	70.8125	56.9688	49.6406
Length    2, alignment  2/ 0:	70.7969	56.9688	50.4688
Length    3, alignment  0/ 0:	102.547	61.0312	56.1406
Length    3, alignment  0/ 0:	101.734	60.2188	56.1406
Length    3, alignment  0/ 3:	87.0781	60.2188	56.9531
Length    3, alignment  3/ 0:	91.9688	60.2188	56.1406
Length    4, alignment  0/ 0:	107.422	65.9062	57.7812
Length    4, alignment  0/ 0:	105.797	64.2812	57.7812
Length    4, alignment  0/ 4:	106.594	64.2812	56.9688
Length    4, alignment  4/ 0:	106.609	63.4688	57.7812
Length    5, alignment  0/ 0:	108.234	65.9219	69.9844
Length    5, alignment  0/ 0:	107.422	65.9062	67.5469
Length    5, alignment  0/ 5:	94.3906	65.9219	69.1719
Length    5, alignment  5/ 0:	95.2031	65.9219	69.1719
Length    6, alignment  0/ 0:	109.047	68.3594	73.2344
Length    6, alignment  0/ 0:	111.484	69.1719	73.2344
Length    6, alignment  0/ 6:	107.422	68.3594	73.25
Length    6, alignment  6/ 0:	97.6562	68.3594	74.0469
Length    7, alignment  0/ 0:	113.125	75.6875	77.3125
Length    7, alignment  0/ 0:	113.938	75.6719	77.3125
Length    7, alignment  0/ 7:	109.859	75.6875	77.3125
Length    7, alignment  7/ 0:	106.609	75.6719	78.125
Length    8, alignment  0/ 0:	118	80.5781	81.375
Length    8, alignment  0/ 0:	115.562	80.5625	79.75
Length    8, alignment  0/ 0:	115.562	80.5625	81.375
Length    8, alignment  0/ 0:	116.375	81.3906	81.3906
Length    9, alignment  0/ 0:	120.453	82.2031	84.6406
Length    9, alignment  0/ 0:	116.359	83.0156	85.4375
Length    9, alignment  0/ 1:	113.125	83.0156	84.6406
Length    9, alignment  1/ 0:	106.609	83	84.6406
Length   10, alignment  0/ 0:	129.406	85.4375	87.0781
Length   10, alignment  0/ 0:	130.203	84.6406	88.7031
Length   10, alignment  0/ 2:	128.578	85.4531	87.0781
Length   10, alignment  2/ 0:	120.438	85.4531	88.7031
Length   11, alignment  0/ 0:	136.719	87.8906	90.3281
Length   11, alignment  0/ 0:	136.719	87.8906	91.1406
Length   11, alignment  0/ 3:	139.156	87.0781	91.1406
Length   11, alignment  3/ 0:	129.391	87.8906	91.9531
Length   12, alignment  0/ 0:	139.969	90.3438	94.4062
Length   12, alignment  0/ 0:	139.172	89.5156	93.5781
Length   12, alignment  0/ 4:	139.156	90.3281	95.2031
Length   12, alignment  4/ 0:	145.672	96.8438	94.4062
Length   13, alignment  0/ 0:	141.594	93.5938	98.4688
Length   13, alignment  0/ 0:	142.422	92.7656	97.6562
Length   13, alignment  0/ 5:	139.172	92.7656	97.6562
Length   13, alignment  5/ 0:	135.078	104.156	97.6562
Length   14, alignment  0/ 0:	144.859	95.2031	100.109
Length   14, alignment  0/ 0:	144.859	96.0156	101.719
Length   14, alignment  0/ 6:	144.047	96.0312	100.906
Length   14, alignment  6/ 0:	121.25	102.547	101.719
Length   15, alignment  0/ 0:	149.75	98.4844	104.969
Length   15, alignment  0/ 0:	149.75	98.4688	104.984
Length   15, alignment  0/ 7:	155.438	98.4688	104.172
Length   15, alignment  7/ 0:	126.141	104.172	105.781
Length   16, alignment  0/ 0:	157.875	106.609	108.234
Length   16, alignment  7/ 2:	132.641	109.875	107.422
Length   32, alignment  0/ 0:	153.812	121.25	161.141
Length   32, alignment  6/ 4:	140.797	125.328	161.125
Length   64, alignment  0/ 0:	179.047	157.062	267.734
Length   64, alignment  5/ 6:	209.953	167.641	267.734
Length  128, alignment  0/ 0:	242.5	209.141	480.953
