                            	stpncpy	simple_stpncpy	stupid_stpncpy
Length   16, n   16, alignment  1/ 1:	188.797	139.969	160.312
Length   16, n   16, alignment  1/ 1:	200.188	135.094	193.688
Length   16, n   16, alignment  1/ 2:	151.359	134.281	157.078
Length   16, n   16, alignment  2/ 1:	166.016	134.266	182.297
Length    2, n    4, alignment  7/ 2:	101.734	62.6562	82.1875
Length    4, n    2, alignment  2/ 7:	78.9375	53.7031	75.6875
Length    2, n    4, alignment  7/ 2:	100.906	62.6719	81.375
Length    4, n    2, alignment  2/ 7:	79.75	52.8906	75.6719
Length   16, n   16, alignment  2/ 2:	158.703	135.094	153
Length   16, n   16, alignment  2/ 2:	174.156	135.094	171.703
Length   16, n   16, alignment  2/ 4:	144.047	135.906	153.812
Length   16, n   16, alignment  4/ 2:	170.078	144.031	175.781
Length    4, n    8, alignment  6/ 4:	128.578	78.125	108.234
Length    8, n    4, alignment  4/ 6:	91.1406	65.9062	82.1875
Length    4, n    8, alignment  6/ 4:	129.391	78.125	106.609
Length    8, n    4, alignment  4/ 6:	90.3281	66.7344	82.1875
Length   16, n   16, alignment  3/ 3:	166.016	134.281	149.734
Length   16, n   16, alignment  3/ 3:	187.172	135.906	176.594
Length   16, n   16, alignment  3/ 6:	142.422	133.469	148.922
Length   16, n   16, alignment  6/ 3:	166.016	134.281	170.891
Length    8, n   16, alignment  5/ 6:	169.266	125.328	132.656
Length   16, n    8, alignment  6/ 5:	118	95.2188	104.969
Length    8, n   16, alignment  5/ 6:	179.031	115.562	139.969
Length   16, n    8, alignment  6/ 5:	148.109	103.359	131.031
Length   16, n   16, alignment  4/ 4:	135.891	134.281	139.984
Length   16, n   16, alignment  4/ 4:	174.156	135.094	174.969
Length   16, n   16, alignment  4/ 0:	133.469	135.906	139.969
Length   16, n   16, alignment  0/ 4:	173.344	135.078	186.359
Length   16, n   32, alignment  4/ 0:	175.781	177.406	185.547
Length   32, n   16, alignment  0/ 4:	134.266	134.281	139.984
Length   16, n   32, alignment  4/ 0:	212.406	184.734	222.984
Length   32, n   16, alignment  0/ 4:	173.344	135.094	177.406
Length   16, n   16, alignment  5/ 5:	162.766	996.906	159.516
Length   16, n   16, alignment  5/ 5:	201.016	135.094	195.312
Length   16, n   16, alignment  5/ 2:	150.547	135.094	157.078
Length   16, n   16, alignment  2/ 5:	163.562	134.266	170.094
Length   32, n   64, alignment  3/ 2:	243.328	291.344	285.641
Length   64, n   32, alignment  2/ 3:	188.797	214.844	227.859
Length   32, n   64, alignment  3/ 2:	300.297	284.016	358.078
Length   64, n   32, alignment  2/ 3:	261.234	215.656	288.094
Length   16, n   16, alignment  6/ 6:	159.5	135.094	154.625
Length   16, n   16, alignment  6/ 6:	177.406	135.094	170.906
Length   16, n   16, alignment  6/ 4:	143.219	134.281	162.75
Length   16, n   16, alignment  4/ 6:	170.078	135.094	175.781
Length   64, n  128, alignment  2/ 4:	307.609	496.422	471.188
Length  128, n   64, alignment  4/ 2:	250.656	374.359	336.906
Length   64, n  128, alignment  2/ 4:	454.094	496.422	626.625
Length  128, n   64, alignment  4/ 2:	397.953	382.484	485.844
Length   16, n   16, alignment  7/ 7:	155.438	135.094	149.734
Length   16, n   16, alignment  7/ 7:	187.172	135.094	180.656
Length   16, n   16, alignment  7/ 6:	142.422	135.078	149.734
Length   16, n   16, alignment  6/ 7:	164.375	143.234	170.891
Length  128, n  256, alignment  1/ 6:	487.469	931.797	834.141
Length  256, n  128, alignment  6/ 1:	390.625	694.172	598.141
Length  128, n  256, alignment  1/ 6:	797.516	922.844	1145.83
Length  256, n  128, alignment  6/ 1:	710.438	694.984	917.156
Length    8, n   16, alignment  0/ 0:	157.062	116.375	127.781
Length   32, n   16, alignment  0/ 0:	156.25	135.094	146.484
Length    8, n   16, alignment  7/ 2:	169.266	115.562	125.328
Length   32, n   16, alignment  7/ 2:	132.656	135.094	139.156
Length   16, n   32, alignment  0/ 0:	175.781	176.594	185.547
Length   64, n   32, alignment  0/ 0:	159.516	214.031	210.781
Length   16, n   32, alignment  6/ 4:	177.406	187.172	193.688
Length   64, n   32, alignment  6/ 4:	173.344	214.031	227.062
Length   32, n   64, alignment  0/ 0:	202.641	283.203	284.016
Length  128, n   64, alignment  0/ 0:	208.344	375.156	345.859
Length   32, n   64, alignment  5/ 6:	243.312	283.203	293.781
Length  128, n   64, alignment  5/ 6:	264.484	375.172	349.125
Length   64, n  128, alignment  0/ 0:	267.75	496.422	472.812
Length  256, n  128, alignment  0/ 0:	322.266	721.031	590
Length   64, n  128, alignment  4/ 0:	271	498.047	463.875
Length  256, n  128, alignment  4/ 0:	325.531	694.984	599.766
Length  128, n  256, alignment  0/ 0:	404.453	931.812	823.562
Length  512, n  256, alignment  0/ 0:	546.062	1343.59	1097
Length  128, n  256, alignment  3/ 2:	478.516	931.812	825.188
Length  512, n  256, alignment  3/ 2:	642.906	1343.59	1097
Length  256, n  512, alignment  0/ 0:	674.641	1786.3	1551.92
Length 1024, n  512, alignment  0/ 0:	994.469	2630.2	2121.58
Length  256, n  512, alignment  2/ 4:	787.766	1784.67	1560.06
Length 1024, n  512, alignment  2/ 4:	1166.19	2622.89	2125.64
Length  512, n 1024, alignment  0/ 0:	1215	3500.16	2993.98
Length 2048, n 1024, alignment  0/ 0:	1882.33	5189.61	4152.84
Length  512, n 1024, alignment  1/ 6:	1392.41	3499.34	3004.56
Length 2048, n 1024, alignment  1/ 6:	2198.89	5383.3	4164.23
