                       	strcasecmp	simple_strcasecmp	stupid_strcasecmp
Length    1, alignment  1/ 1:	96.0312	76.5	110.688
Length    1, alignment  1/ 1:	61.0312	63.4844	100.109
Length    1, alignment  1/ 1:	62.6719	64.2812	99.2812
Length    2, alignment  2/ 2:	78.9375	82.1875	125.328
Length    2, alignment  2/ 2:	67.5469	69.9844	114.75
Length    2, alignment  2/ 2:	66.7344	68.3594	114.75
Length    3, alignment  3/ 3:	85.4531	91.1406	141.609
Length    3, alignment  3/ 3:	77.3125	79.75	128.578
Length    3, alignment  3/ 3:	89.5156	78.125	127.766
Length    4, alignment  4/ 4:	104.969	112.312	155.438
Length    4, alignment  4/ 4:	87.0781	88.7031	142.422
Length    4, alignment  4/ 4:	83.0156	88.7031	140.797
Length    5, alignment  5/ 5:	116.375	122.875	176.594
Length    5, alignment  5/ 5:	104.156	96.0312	156.25
Length    5, alignment  5/ 5:	104.984	96.0312	154.625
Length    6, alignment  6/ 6:	124.516	132.656	192.859
Length    6, alignment  6/ 6:	117.188	119.625	178.234
Length    6, alignment  6/ 6:	114.75	118.812	178.219
Length    7, alignment  7/ 7:	131.828	142.422	202.625
Length    7, alignment  7/ 7:	124.516	129.391	192.062
Length    7, alignment  7/ 7:	124.516	130.219	191.25
Length    8, alignment  0/ 0:	140.781	150.547	214.844
Length    8, alignment  0/ 0:	132.656	139.156	205.078
Length    8, alignment  0/ 0:	131.844	139.156	203.453
Length    9, alignment  1/ 1:	149.734	160.312	227.859
Length    9, alignment  1/ 1:	139.984	148.125	217.281
Length    9, alignment  1/ 1:	141.594	148.109	217.281
Length   10, alignment  2/ 2:	157.062	169.266	270.188
Length   10, alignment  2/ 2:	148.922	157.062	257.969
Length   10, alignment  2/ 2:	148.922	157.875	258.797
Length   11, alignment  3/ 3:	166.016	177.406	282.391
Length   11, alignment  3/ 3:	157.062	166.016	271.812
Length   11, alignment  3/ 3:	157.062	166.828	273.438
Length   12, alignment  4/ 4:	174.156	187.984	306
Length   12, alignment  4/ 4:	166.016	176.594	294.594
Length   12, alignment  4/ 4:	166.828	175.781	296.234
Length   13, alignment  5/ 5:	183.109	196.125	310.875
Length   13, alignment  5/ 5:	174.156	185.547	298.672
Length   13, alignment  5/ 5:	174.953	183.922	298.656
Length   14, alignment  6/ 6:	191.234	205.891	302.734
Length   14, alignment  6/ 6:	183.109	193.672	291.344
Length   14, alignment  6/ 6:	181.484	193.688	290.531
Length   15, alignment  7/ 7:	199.391	214.031	306
Length   15, alignment  7/ 7:	191.25	202.641	294.594
Length   15, alignment  7/ 7:	191.25	202.641	294.594
Length    4, alignment  0/ 0:	104.984	109.875	154.625
Length    4, alignment  0/ 0:	104.984	110.688	153.812
Length    4, alignment  0/ 0:	83.0156	88.7031	140.781
Length    4, alignment  0/ 0:	83.0156	87.8906	140.797
Length    4, alignment  0/ 0:	85.4531	87.8906	141.609
Length    4, alignment  0/ 0:	82.1875	87.8906	140.781
Length    8, alignment  0/ 0:	140.781	149.75	216.469
Length    8, alignment  0/ 0:	140.797	152.188	214.844
Length    8, alignment  0/ 0:	133.469	139.156	204.266
Length    8, alignment  0/ 0:	133.453	140.781	204.266
Length    8, alignment  0/ 0:	132.641	139.984	204.266
Length    8, alignment  0/ 0:	133.453	139.172	205.078
Length   16, alignment  0/ 0:	207.516	224.609	362.953
Length   16, alignment  0/ 0:	208.328	223.797	364.578
Length   16, alignment  0/ 0:	199.375	212.406	352.375
Length   16, alignment  0/ 0:	198.562	212.391	352.375
Length   16, alignment  0/ 0:	199.391	213.219	353.188
Length   16, alignment  0/ 0:	198.562	214.031	353.188
Length   32, alignment  0/ 0:	341.797	371.906	528.156
Length   32, alignment  0/ 0:	340.984	371.094	527.344
Length   32, alignment  0/ 0:	332.031	358.891	515.953
Length   32, alignment  0/ 0:	332.031	359.688	515.953
Length   32, alignment  0/ 0:	331.219	358.891	515.953
Length   32, alignment  0/ 0:	333.672	358.891	515.953
Length   64, alignment  0/ 0:	608.719	663.234	855.312
Length   64, alignment  0/ 0:	607.094	664.875	852.859
Length   64, alignment  0/ 0:	599.766	653.484	842.281
Length   64, alignment  0/ 0:	598.953	652.672	843.094
Length   64, alignment  0/ 0:	599.781	653.484	842.281
Length   64, alignment  0/ 0:	598.953	653.469	843.109
Length  128, alignment  0/ 0:	1143.39	1252.44	1529.94
Length  128, alignment  0/ 0:	1142.58	1250.81	1528.33
Length  128, alignment  0/ 0:	1133.64	1238.59	1512.05
Length  128, alignment  0/ 0:	1132.81	1239.42	1516.11
Length  128, alignment  0/ 0:	1133.62	1240.23	1517.73
Length  128, alignment  0/ 0:	1132.81	1239.42	1516.12
Length  256, alignment  0/ 0:	2208.66	2423.5	2835.28
Length  256, alignment  0/ 0:	2207.84	2424.31	2835.28
Length  256, alignment  0/ 0:	2199.7	2413.75	2823.08
Length  256, alignment  0/ 0:	2198.89	2413.75	2823.89
Length  256, alignment  0/ 0:	2199.7	2414.56	2823.08
Length  256, alignment  0/ 0:	2199.7	2413.73	2861.33
Length  512, alignment  0/ 0:	4340.81	4771.33	5449.22
Length  512, alignment  0/ 0:	4518.22	4773.77	5448.41
Length  512, alignment  0/ 0:	4333.5	4761.56	5436.19
Length  512, alignment  0/ 0:	4331.05	4759.11	5439.45
Length  512, alignment  0/ 0:	4333.5	4760.75	5437.02
Length  512, alignment  0/ 0:	4334.31	4760.73	5437.02
Length 1024, alignment  0/ 0:	8607.59	9467.77	10675.5
Length 1024, alignment  0/ 0:	8607.59	9466.97	10676.3
Length 1024, alignment  0/ 0:	8600.27	9610.19	10664.9
Length 1024, alignment  0/ 0:	8600.27	9453.94	10663.2
Length 1024, alignment  0/ 0:	8599.45	9453.94	10663.2
Length 1024, alignment  0/ 0:	8598.64	9454.75	10664.1
Length   16, alignment  1/ 2:	207.531	225.422	356.453
Length   16, alignment  2/ 1:	207.516	222.969	357.266
Length   16, alignment  1/ 2:	199.375	212.406	344.234
Length   16, alignment  2/ 1:	199.391	213.219	345.047
Length   16, alignment  1/ 2:	198.562	212.406	345.859
Length   16, alignment  2/ 1:	199.375	212.406	345.062
Length   32, alignment  2/ 4:	340.172	371.094	512.703
Length   32, alignment  4/ 2:	340.172	371.906	512.688
Length   32, alignment  2/ 4:	332.031	358.891	500.5
Length   32, alignment  4/ 2:	332.031	358.891	500.484
Length   32, alignment  2/ 4:	332.844	359.703	500.484
Length   32, alignment  4/ 2:	332.031	359.703	502.109
Length   64, alignment  3/ 6:	607.094	664.875	836.594
Length   64, alignment  6/ 3:	607.906	664.875	852.047
Length   64, alignment  3/ 6:	598.969	654.297	839.031
Length   64, alignment  6/ 3:	600.578	653.469	835.766
Length   64, alignment  3/ 6:	599.781	651.859	824.391
Length   64, alignment  6/ 3:	599.766	651.859	822.75
Length  128, alignment  4/ 0:	1140.95	1251.62	1516.92
Length  128, alignment  0/ 4:	1141.77	1406.25	1520.17
Length  128, alignment  4/ 0:	1133.62	1239.42	1503.09
Length  128, alignment  0/ 4:	1132.81	1239.42	1505.53
Length  128, alignment  4/ 0:	1133.62	1239.42	1506.34
Length  128, alignment  0/ 4:	1132.81	1239.42	1507.16
Length  256, alignment  5/ 2:	2207.03	2424.31	2818.19
Length  256, alignment  2/ 5:	2209.47	2422.69	2816.56
Length  256, alignment  5/ 2:	2202.16	2413.73	2806.81
Length  256, alignment  2/ 5:	2199.7	2413.75	2805.17
Length  256, alignment  5/ 2:	2201.34	2413.73	2804.38
Length  256, alignment  2/ 5:	2200.52	2413.73	2805.98
Length  512, alignment  6/ 4:	4341.62	4771.33	5426.42
Length  512, alignment  4/ 6:	4340.81	4772.95	5426.44
Length  512, alignment  6/ 4:	4333.5	4760.73	5413.41
Length  512, alignment  4/ 6:	4332.67	4760.75	5413.41
Length  512, alignment  6/ 4:	4333.5	4760.73	5415.03
Length  512, alignment  4/ 6:	4335.12	4760.75	5415.05
Length 1024, alignment  7/ 6:	8608.39	9465.34	10638
Length 1024, alignment  6/ 7:	8608.41	9466.16	10636.4
Length 1024, alignment  7/ 6:	8600.25	9453.94	10625.8
Length 1024, alignment  6/ 7:	8600.27	9453.94	10626.6
Length 1024, alignment  7/ 6:	8598.64	9605.31	10626.6
Length 1024, alignment  6/ 7:	8599.45	9453.12	10626.6
