                       	strcasestr	simple_strcasestr	stupid_strcasestr
Length    4/2, alignment  0/ 0, found:	371.906	445.141	236.812
Length    4/2, alignment  0/ 0, fail:	257.969	321.453	211.578
Length    4/2, alignment  0/ 3, found:	271	336.094	201.828
Length    4/2, alignment  0/ 3, fail:	257.156	320.641	209.141
Length    4/2, alignment  0/ 9, found:	269.359	337.719	202.641
Length    4/2, alignment  0/ 9, fail:	257.156	319.812	208.344
Length    4/2, alignment  0/15, found:	269.375	335.281	202.641
Length    4/2, alignment  0/15, fail:	255.531	319.828	210.766
Length    4/2, alignment  3/ 0, found:	268.547	336.094	202.641
Length    4/2, alignment  3/ 0, fail:	256.359	320.641	209.141
Length    4/2, alignment  3/ 3, found:	268.562	336.109	202.641
Length    4/2, alignment  3/ 3, fail:	261.234	321.453	209.141
Length    4/2, alignment  3/ 9, found:	271	333.656	203.453
Length    4/2, alignment  3/ 9, fail:	255.547	319.828	206.703
Length    4/2, alignment  3/15, found:	271	335.281	203.453
Length    4/2, alignment  3/15, fail:	255.531	320.641	211.594
Length    4/2, alignment  9/ 0, found:	267.734	335.297	203.453
Length    4/2, alignment  9/ 0, fail:	257.156	319.828	208.344
Length    4/2, alignment  9/ 3, found:	270.188	336.094	201.828
Length    4/2, alignment  9/ 3, fail:	256.344	321.453	208.328
Length    4/2, alignment  9/ 9, found:	269.375	334.469	202.641
Length    4/2, alignment  9/ 9, fail:	256.344	319.828	208.328
Length    4/2, alignment  9/15, found:	269.359	334.469	201.812
Length    4/2, alignment  9/15, fail:	256.359	319.016	209.953
Length    4/2, alignment 15/ 0, found:	269.375	334.484	202.641
Length    4/2, alignment 15/ 0, fail:	256.344	320.641	210.781
Length    4/2, alignment 15/ 3, found:	268.562	336.109	202.641
Length    4/2, alignment 15/ 3, fail:	257.172	320.641	210.766
Length    4/2, alignment 15/ 9, found:	270.188	334.484	203.453
Length    4/2, alignment 15/ 9, fail:	256.344	319.828	209.969
Length    4/2, alignment 15/15, found:	269.359	336.094	202.625
Length    4/2, alignment 15/15, fail:	256.344	320.641	210.781
Length    6/2, alignment  0/ 0, found:	287.266	352.375	291.344
Length    6/2, alignment  0/ 0, fail:	274.25	340.172	287.266
Length    6/2, alignment  0/ 3, found:	285.641	352.375	291.344
Length    6/2, alignment  0/ 3, fail:	272.625	336.906	286.453
Length    6/2, alignment  0/ 9, found:	285.641	352.375	290.531
Length    6/2, alignment  0/ 9, fail:	273.438	336.094	287.266
Length    6/2, alignment  0/15, found:	284.828	354.016	291.344
Length    6/2, alignment  0/15, fail:	272.625	336.094	286.469
Length    6/2, alignment  3/ 0, found:	285.656	353.188	290.531
Length    6/2, alignment  3/ 0, fail:	273.438	335.281	287.266
Length    6/2, alignment  3/ 3, found:	286.453	352.375	290.531
Length    6/2, alignment  3/ 3, fail:	274.25	337.719	287.266
Length    6/2, alignment  3/ 9, found:	285.656	350.75	290.531
Length    6/2, alignment  3/ 9, fail:	272.625	337.734	286.453
Length    6/2, alignment  3/15, found:	285.641	351.562	290.531
Length    6/2, alignment  3/15, fail:	272.625	336.906	286.469
Length    6/2, alignment  9/ 0, found:	285.641	352.391	288.891
Length    6/2, alignment  9/ 0, fail:	274.25	337.734	286.453
Length    6/2, alignment  9/ 3, found:	286.453	352.391	290.516
Length    6/2, alignment  9/ 3, fail:	274.25	339.344	287.266
Length    6/2, alignment  9/ 9, found:	284.828	352.375	290.531
Length    6/2, alignment  9/ 9, fail:	272.625	336.094	286.453
Length    6/2, alignment  9/15, found:	286.453	351.562	291.328
Length    6/2, alignment  9/15, fail:	273.438	336.922	286.469
Length    6/2, alignment 15/ 0, found:	285.641	351.562	289.703
Length    6/2, alignment 15/ 0, fail:	273.438	339.344	286.453
Length    6/2, alignment 15/ 3, found:	284.828	352.375	290.531
Length    6/2, alignment 15/ 3, fail:	273.438	337.734	285.641
Length    6/2, alignment 15/ 9, found:	284.828	352.375	290.516
Length    6/2, alignment 15/ 9, fail:	272.625	336.109	286.453
Length    6/2, alignment 15/15, found:	286.453	353.188	290.531
Length    6/2, alignment 15/15, fail:	272.625	336.922	288.094
Length    8/2, alignment  0/ 0, found:	308.438	377.609	369.453
Length    8/2, alignment  0/ 0, fail:	303.547	362.953	364.578
Length    8/2, alignment  0/ 3, found:	310.062	374.344	367.016
Length    8/2, alignment  0/ 3, fail:	300.297	362.141	362.953
Length    8/2, alignment  0/ 9, found:	312.5	375.969	368.641
Length    8/2, alignment  0/ 9, fail:	301.109	362.953	363.766
Length    8/2, alignment  0/15, found:	310.859	375.156	367.844
Length    8/2, alignment  0/15, fail:	300.297	362.953	365.406
Length    8/2, alignment  3/ 0, found:	310.875	375.969	367.828
Length    8/2, alignment  3/ 0, fail:	301.109	364.578	362.953
Length    8/2, alignment  3/ 3, found:	308.422	375.156	366.203
Length    8/2, alignment  3/ 3, fail:	300.297	364.594	363.781
Length    8/2, alignment  3/ 9, found:	310.875	373.531	367.828
Length    8/2, alignment  3/ 9, fail:	300.297	363.766	362.141
Length    8/2, alignment  3/15, found:	310.062	375.156	366.203
Length    8/2, alignment  3/15, fail:	301.109	363.766	362.141
Length    8/2, alignment  9/ 0, found:	310.859	376.781	367.844
Length    8/2, alignment  9/ 0, fail:	299.484	362.156	362.953
Length    8/2, alignment  9/ 3, found:	310.062	375.156	367.016
Length    8/2, alignment  9/ 3, fail:	299.484	363.781	363.766
Length    8/2, alignment  9/ 9, found:	310.875	375.969	366.203
Length    8/2, alignment  9/ 9, fail:	301.109	363.781	363.781
Length    8/2, alignment  9/15, found:	309.25	375.969	366.203
Length    8/2, alignment  9/15, fail:	300.297	362.953	362.969
Length    8/2, alignment 15/ 0, found:	310.062	374.359	367.828
Length    8/2, alignment 15/ 0, fail:	300.297	362.953	362.953
Length    8/2, alignment 15/ 3, found:	309.25	375.156	367.031
Length    8/2, alignment 15/ 3, fail:	301.109	362.953	362.953
Length    8/2, alignment 15/ 9, found:	309.25	375.172	367.844
Length    8/2, alignment 15/ 9, fail:	300.297	363.766	363.781
Length    8/2, alignment 15/15, found:	314.125	375.156	367.844
Length    8/2, alignment 15/15, fail:	300.297	363.766	363.766
Length   10/2, alignment  0/ 0, found:	326.344	392.25	464.688
Length   10/2, alignment  0/ 0, fail:	317.375	383.297	461.422
Length   10/2, alignment  0/ 3, found:	327.141	392.25	458.984
Length   10/2, alignment  0/ 3, fail:	316.578	380.859	458.984
Length   10/2, alignment  0/ 9, found:	327.156	393.062	458.984
Length   10/2, alignment  0/ 9, fail:	316.578	380.047	454.109
Length   10/2, alignment  0/15, found:	326.328	393.875	464.688
Length   10/2, alignment  0/15, fail:	316.562	379.234	459.797
Length   10/2, alignment  3/ 0, found:	326.328	392.25	458.172
Length   10/2, alignment  3/ 0, fail:	319.016	380.047	453.297
Length   10/2, alignment  3/ 3, found:	326.328	392.25	458.172
Length   10/2, alignment  3/ 3, fail:	317.391	382.484	453.297
Length   10/2, alignment  3/ 9, found:	327.953	391.438	458.172
Length   10/2, alignment  3/ 9, fail:	318.188	380.859	459.797
Length   10/2, alignment  3/15, found:	325.516	393.062	458.172
Length   10/2, alignment  3/15, fail:	317.391	380.047	454.109
Length   10/2, alignment  9/ 0, found:	327.156	392.25	456.547
Length   10/2, alignment  9/ 0, fail:	317.375	379.234	453.281
Length   10/2, alignment  9/ 3, found:	327.953	392.25	458.172
Length   10/2, alignment  9/ 3, fail:	323.078	380.047	453.281
Length   10/2, alignment  9/ 9, found:	326.344	393.875	456.547
Length   10/2, alignment  9/ 9, fail:	317.391	379.234	455.734
Length   10/2, alignment  9/15, found:	326.328	393.875	456.531
Length   10/2, alignment  9/15, fail:	317.391	380.859	453.281
Length   10/2, alignment 15/ 0, found:	327.141	393.875	450.859
Length   10/2, alignment 15/ 0, fail:	317.391	380.047	449.219
Length   10/2, alignment 15/ 3, found:	327.156	392.25	450.031
Length   10/2, alignment 15/ 3, fail:	316.562	380.859	447.594
Length   10/2, alignment 15/ 9, found:	326.328	391.438	450.844
Length   10/2, alignment 15/ 9, fail:	317.391	380.047	445.141
Length   10/2, alignment 15/15, found:	327.156	392.266	450.031
Length   10/2, alignment 15/15, fail:	316.562	380.047	446.781
Length   12/2, alignment  0/ 0, found:	343.438	409.344	539.562
Length   12/2, alignment  0/ 0, fail:	333.656	397.938	531.406
Length   12/2, alignment  0/ 3, found:	344.234	410.156	539.562
Length   12/2, alignment  0/ 3, fail:	334.484	399.578	533.859
Length   12/2, alignment  0/ 9, found:	343.422	410.156	536.297
Length   12/2, alignment  0/ 9, fail:	333.656	397.125	532.234
Length   12/2, alignment  0/15, found:	343.422	410.156	537.922
Length   12/2, alignment  0/15, fail:	334.469	395.5	530.594
Length   12/2, alignment  3/ 0, found:	342.609	408.531	535.484
Length   12/2, alignment  3/ 0, fail:	333.656	396.312	531.422
Length   12/2, alignment  3/ 3, found:	343.422	409.344	536.297
Length   12/2, alignment  3/ 3, fail:	334.469	397.125	534.672
Length   12/2, alignment  3/ 9, found:	343.422	410.156	535.484
Length   12/2, alignment  3/ 9, fail:	333.656	397.953	533.859
Length   12/2, alignment  3/15, found:	344.234	410.156	540.359
Length   12/2, alignment  3/15, fail:	334.469	396.328	536.297
Length   12/2, alignment  9/ 0, found:	342.609	409.344	536.297
Length   12/2, alignment  9/ 0, fail:	335.281	397.141	537.922
Length   12/2, alignment  9/ 3, found:	344.234	410.969	536.297
Length   12/2, alignment  9/ 3, fail:	333.656	397.953	531.406
Length   12/2, alignment  9/ 9, found:	344.25	408.531	536.297
Length   12/2, alignment  9/ 9, fail:	333.656	396.328	533.859
Length   12/2, alignment  9/15, found:	343.422	410.156	536.297
Length   12/2, alignment  9/15, fail:	333.656	397.953	532.219
Length   12/2, alignment 15/ 0, found:	342.609	410.156	526.531
Length   12/2, alignment 15/ 0, fail:	332.844	396.312	520.828
Length   12/2, alignment 15/ 3, found:	342.609	408.531	523.266
Length   12/2, alignment 15/ 3, fail:	333.656	397.141	520.844
Length   12/2, alignment 15/ 9, found:	343.422	409.344	523.281
Length   12/2, alignment 15/ 9, fail:	333.656	396.312	520.016
Length   12/2, alignment 15/15, found:	342.609	409.344	523.281
Length   12/2, alignment 15/15, fail:	332.859	395.5	520.828
Length   14/2, alignment  0/ 0, found:	360.516	427.234	612.797
Length   14/2, alignment  0/ 0, fail:	353.188	413.406	613.609
Length   14/2, alignment  0/ 3, found:	359.703	425.625	612.781
Length   14/2, alignment  0/ 3, fail:	351.562	414.234	609.531
Length   14/2, alignment  0/ 9, found:	361.328	427.25	613.609
Length   14/2, alignment  0/ 9, fail:	349.938	414.219	610.344
Length   14/2, alignment  0/15, found:	361.328	426.438	613.609
Length   14/2, alignment  0/15, fail:	350.75	415.031	612.797
Length   14/2, alignment  3/ 0, found:	361.328	426.438	613.609
Length   14/2, alignment  3/ 0, fail:	350.75	414.234	611.969
Length   14/2, alignment  3/ 3, found:	360.516	425.609	617.688
Length   14/2, alignment  3/ 3, fail:	514.312	415.047	611.156
Length   14/2, alignment  3/ 9, found:	360.516	424.797	616.047
Length   14/2, alignment  3/ 9, fail:	349.938	413.406	611.984
Length   14/2, alignment  3/15, found:	359.703	426.438	616.047
Length   14/2, alignment  3/15, fail:	349.109	412.594	612.797
Length   14/2, alignment  9/ 0, found:	359.703	427.25	613.609
Length   14/2, alignment  9/ 0, fail:	349.125	413.406	610.359
Length   14/2, alignment  9/ 3, found:	359.703	425.625	615.234
Length   14/2, alignment  9/ 3, fail:	349.938	414.219	612.797
Length   14/2, alignment  9/ 9, found:	359.688	425.625	613.609
Length   14/2, alignment  9/ 9, fail:	350.734	413.406	610.359
Length   14/2, alignment  9/15, found:	359.703	425.625	612.797
Length   14/2, alignment  9/15, fail:	349.922	414.219	609.531
Length   14/2, alignment 15/ 0, found:	361.328	454.109	596.516
Length   14/2, alignment 15/ 0, fail:	349.922	413.406	593.266
Length   14/2, alignment 15/ 3, found:	359.688	427.25	595.703
Length   14/2, alignment 15/ 3, fail:	349.938	412.594	592.453
Length   14/2, alignment 15/ 9, found:	360.516	426.438	596.516
Length   14/2, alignment 15/ 9, fail:	349.938	414.219	592.453
Length   14/2, alignment 15/15, found:	360.516	428.062	595.703
Length   14/2, alignment 15/15, fail:	350.75	413.406	594.078
Length   16/2, alignment  0/ 0, found:	375.969	441.891	699.062
Length   16/2, alignment  0/ 0, fail:	367.828	429.688	694.172
Length   16/2, alignment  0/ 3, found:	375.969	443.516	699.859
Length   16/2, alignment  0/ 3, fail:	367.031	431.312	692.547
Length   16/2, alignment  0/ 9, found:	376.797	442.719	694.984
Length   16/2, alignment  0/ 9, fail:	367.828	429.688	691.734
Length   16/2, alignment  0/15, found:	376.781	443.516	696.609
Length   16/2, alignment  0/15, fail:	367.016	428.875	694.172
Length   16/2, alignment  3/ 0, found:	375.156	441.891	690.906
Length   16/2, alignment  3/ 0, fail:	367.016	428.875	686.031
Length   16/2, alignment  3/ 3, found:	375.156	442.703	689.297
Length   16/2, alignment  3/ 3, fail:	367.016	429.688	684.406
Length   16/2, alignment  3/ 9, found:	375.969	442.703	686.844
Length   16/2, alignment  3/ 9, fail:	366.219	429.688	685.219
Length   16/2, alignment  3/15, found:	375.969	441.891	688.484
Length   16/2, alignment  3/15, fail:	366.203	428.875	682.781
Length   16/2, alignment  9/ 0, found:	375.969	442.703	694.984
Length   16/2, alignment  9/ 0, fail:	366.219	428.859	688.469
Length   16/2, alignment  9/ 3, found:	375.969	443.516	692.547
Length   16/2, alignment  9/ 3, fail:	367.844	429.688	689.297
Length   16/2, alignment  9/ 9, found:	376.797	443.531	694.172
Length   16/2, alignment  9/ 9, fail:	367.016	429.688	689.297
Length   16/2, alignment  9/15, found:	375.969	441.891	691.734
Length   16/2, alignment  9/15, fail:	367.016	429.688	690.922
Length   16/2, alignment 15/ 0, found:	375.969	444.328	671.375
Length   16/2, alignment 15/ 0, fail:	367.844	428.875	665.688
Length   16/2, alignment 15/ 3, found:	375.984	443.516	668.938
Length   16/2, alignment 15/ 3, fail:	367.016	429.688	665.688
Length   16/2, alignment 15/ 9, found:	376.781	443.516	670.578
Length   16/2, alignment 15/ 9, fail:	367.031	429.688	665.703
Length   16/2, alignment 15/15, found:	377.609	443.516	672.203
Length   16/2, alignment 15/15, fail:	366.219	431.312	667.312
Length   18/2, alignment  0/ 0, found:	393.062	458.984	772.297
Length   18/2, alignment  0/ 0, fail:	383.297	446.781	786.141
Length   18/2, alignment  0/ 3, found:	393.875	459.797	769.047
Length   18/2, alignment  0/ 3, fail:	384.922	446.766	798.328
Length   18/2, alignment  0/ 9, found:	393.062	458.984	773.922
Length   18/2, alignment  0/ 9, fail:	383.312	447.594	769.859
Length   18/2, alignment  0/15, found:	393.062	459.797	773.109
Length   18/2, alignment  0/15, fail:	383.297	446.781	782.062
Length   18/2, alignment  3/ 0, found:	393.062	462.234	763.344
Length   18/2, alignment  3/ 0, fail:	384.125	445.953	773.109
Length   18/2, alignment  3/ 3, found:	394.703	460.609	762.531
Length   18/2, alignment  3/ 3, fail:	384.109	446.781	791.016
Length   18/2, alignment  3/ 9, found:	393.062	458.984	768.234
Length   18/2, alignment  3/ 9, fail:	384.125	447.594	795.094
Length   18/2, alignment  3/15, found:	393.875	458.984	765.781
Length   18/2, alignment  3/15, fail:	384.109	446.781	774.75
