                       	strcmp	simple_strcmp	stupid_strcmp
Length    1, alignment  1/ 1:	113.125	48.8281	128.594
Length    1, alignment  1/ 1:	43.1406	35.8125	78.9375
Length    1, alignment  1/ 1:	42.3125	35.7969	82.1875
Length    2, alignment  2/ 2:	54.5312	46.3906	97.6562
Length    2, alignment  2/ 2:	48.0156	41.5	91.9531
Length    2, alignment  2/ 2:	48.0156	40.6875	91.1562
Length    3, alignment  3/ 3:	56.9688	65.9219	111.5
Length    3, alignment  3/ 3:	52.0938	46.3906	99.2812
Length    3, alignment  3/ 3:	51.2656	44.7656	97.6562
Length    4, alignment  4/ 4:	60.2188	66.7344	129.391
Length    4, alignment  4/ 4:	56.9531	48.0156	109.859
Length    4, alignment  4/ 4:	54.5312	47.1875	106.609
Length    5, alignment  5/ 5:	70	69.9844	140.781
Length    5, alignment  5/ 5:	66.7188	54.5312	118.812
Length    5, alignment  5/ 5:	66.7344	52.0938	115.562
Length    6, alignment  6/ 6:	73.25	74.0469	150.562
Length    6, alignment  6/ 6:	69.9844	67.5469	139.969
Length    6, alignment  6/ 6:	71.6094	67.5469	139.156
Length    7, alignment  7/ 7:	76.5	78.125	161.141
Length    7, alignment  7/ 7:	74.875	72.4219	149.734
Length    7, alignment  7/ 7:	74.0469	71.6094	148.938
Length    8, alignment  8/ 8:	79.75	82.1875	167.641
Length    8, alignment  8/ 8:	76.5	74.875	158.688
Length    8, alignment  8/ 8:	76.5	74.875	157.891
Length    9, alignment  9/ 9:	84.625	87.0781	178.219
Length    9, alignment  9/ 9:	80.5781	79.75	168.453
Length    9, alignment  9/ 9:	81.3906	79.75	167.656
Length   10, alignment 10/10:	86.2656	90.3281	214.031
Length   10, alignment 10/10:	83.0156	83.0156	205.891
Length   10, alignment 10/10:	84.6406	83.8281	205.078
Length   11, alignment 11/11:	89.5156	94.4062	224.609
Length   11, alignment 11/11:	87.0781	87.0781	216.469
Length   11, alignment 11/11:	88.7031	88.7031	215.656
Length   12, alignment 12/12:	91.9688	98.4844	284.828
Length   12, alignment 12/12:	91.1406	91.9531	275.875
Length   12, alignment 12/12:	91.9688	91.9688	275.078
Length   13, alignment 13/13:	96.0312	102.547	284.016
Length   13, alignment 13/13:	94.3906	96.0312	275.062
Length   13, alignment 13/13:	95.2188	96.0312	274.266
Length   14, alignment 14/14:	100.922	107.422	274.25
Length   14, alignment 14/14:	98.4688	100.906	264.484
Length   14, alignment 14/14:	97.6562	99.2812	262.859
Length   15, alignment 15/15:	103.359	110.672	273.438
Length   15, alignment 15/15:	101.719	104.984	263.672
Length   15, alignment 15/15:	101.734	104.156	263.672
Length   16, alignment 16/16:	107.422	116.375	327.141
Length   16, alignment 16/16:	104.984	109.047	318.203
Length   16, alignment 16/16:	104.984	108.234	317.375
Length   17, alignment 17/17:	109.859	118.812	327.156
Length   17, alignment 17/17:	108.234	113.125	319
Length   17, alignment 17/17:	107.422	113.938	319.828
Length   18, alignment 18/18:	113.109	123.703	329.594
Length   18, alignment 18/18:	109.859	117.188	320.641
Length   18, alignment 18/18:	111.5	116.375	319.016
Length   19, alignment 19/19:	117.188	126.953	330.406
Length   19, alignment 19/19:	113.125	121.266	321.453
Length   19, alignment 19/19:	113.938	120.453	321.453
Length   20, alignment 20/20:	121.25	132.641	361.328
Length   20, alignment 20/20:	118.812	124.5	352.391
Length   20, alignment 20/20:	118.812	126.141	352.375
Length   21, alignment 21/21:	124.516	135.906	360.516
Length   21, alignment 21/21:	121.25	129.391	352.375
Length   21, alignment 21/21:	121.25	130.203	351.562
Length   22, alignment 22/22:	126.125	140.797	349.109
Length   22, alignment 22/22:	124.516	134.281	340.172
Length   22, alignment 22/22:	124.5	132.656	339.359
Length   23, alignment 23/23:	130.219	144.031	349.938
Length   23, alignment 23/23:	127.766	138.344	340.984
Length   23, alignment 23/23:	128.578	138.344	340.172
Length   24, alignment 24/24:	133.469	148.938	404.453
Length   24, alignment 24/24:	131.844	142.422	395.516
Length   24, alignment 24/24:	131.016	142.422	395.516
Length   25, alignment 25/25:	136.719	153.797	405.266
Length   25, alignment 25/25:	135.094	145.672	397.141
Length   25, alignment 25/25:	134.266	146.484	397.141
Length   26, alignment 26/26:	139.969	159.5	407.719
Length   26, alignment 26/26:	138.344	150.562	983.062
Length   26, alignment 26/26:	139.156	150.547	397.953
Length   27, alignment 27/27:	144.047	161.125	406.094
Length   27, alignment 27/27:	142.422	154.625	397.953
Length   27, alignment 27/27:	141.609	155.438	397.953
Length   28, alignment 28/28:	147.297	165.203	437.828
Length   28, alignment 28/28:	144.047	157.891	428.875
Length   28, alignment 28/28:	144.844	159.5	428.875
Length   29, alignment 29/29:	151.359	169.266	437.016
Length   29, alignment 29/29:	147.297	162.75	428.875
Length   29, alignment 29/29:	148.125	163.562	428.875
Length   30, alignment 30/30:	153.812	174.156	424.797
