                       	strcpy	simple_strcpy
Length    0, alignments in bytes  0/ 0:	72.4375	38.25
Length    0, alignments in bytes  0/ 0:	47.2031	34.9844
Length    0, alignments in bytes  0/ 0:	46.3906	34.1719
Length    0, alignments in bytes  0/ 0:	46.3906	34.9844
Length    1, alignments in bytes  0/ 0:	50.4531	39.875
Length    1, alignments in bytes  0/ 0:	52.0781	39.0625
Length    1, alignments in bytes  0/ 1:	51.2656	39.0625
Length    1, alignments in bytes  1/ 0:	50.4531	39.0625
Length    2, alignments in bytes  0/ 0:	52.9062	43.125
Length    2, alignments in bytes  0/ 0:	53.7188	41.5
Length    2, alignments in bytes  0/ 2:	52.9062	43.1406
Length    2, alignments in bytes  2/ 0:	53.7188	40.6875
Length    3, alignments in bytes  0/ 0:	56.1406	43.9375
Length    3, alignments in bytes  0/ 0:	55.3438	43.125
Length    3, alignments in bytes  0/ 3:	55.3438	43.125
Length    3, alignments in bytes  3/ 0:	55.3438	43.1406
Length    4, alignments in bytes  0/ 0:	59.4062	48.0156
Length    4, alignments in bytes  0/ 0:	57.7812	46.3906
Length    4, alignments in bytes  0/ 4:	57.7812	47.2031
Length    4, alignments in bytes  4/ 0:	57.7812	46.3906
Length    5, alignments in bytes  0/ 0:	60.2188	49.6406
Length    5, alignments in bytes  0/ 0:	59.4062	48.0156
Length    5, alignments in bytes  0/ 5:	60.2344	48.0156
Length    5, alignments in bytes  5/ 0:	59.4062	50.4531
Length    6, alignments in bytes  0/ 0:	62.6719	52.9062
Length    6, alignments in bytes  0/ 0:	63.4688	52.8906
Length    6, alignments in bytes  0/ 6:	62.6562	50.4531
Length    6, alignments in bytes  6/ 0:	62.6562	52.0781
Length    7, alignments in bytes  0/ 0:	72.4219	55.3438
Length    7, alignments in bytes  0/ 0:	71.6094	53.7188
Length    7, alignments in bytes  0/ 7:	71.6094	52.8906
Length    7, alignments in bytes  7/ 0:	70.7969	52.9062
Length    8, alignments in bytes  0/ 0:	74.0469	67.5469
Length    8, alignments in bytes  0/ 0:	74.0625	69.1875
Length    8, alignments in bytes  0/ 0:	75.6719	68.3594
Length    8, alignments in bytes  0/ 0:	74.0625	68.3594
Length    9, alignments in bytes  0/ 0:	75.6875	69.9844
Length    9, alignments in bytes  0/ 0:	78.125	69.1719
Length    9, alignments in bytes  0/ 1:	78.125	69.1719
Length    9, alignments in bytes  1/ 0:	76.5	69.1719
Length   10, alignments in bytes  0/ 0:	78.9375	71.625
Length   10, alignments in bytes  0/ 0:	78.9375	70.7969
Length   10, alignments in bytes  0/ 2:	78.9375	71.6094
Length   10, alignments in bytes  2/ 0:	78.9375	71.625
Length   11, alignments in bytes  0/ 0:	82.1875	73.2344
Length   11, alignments in bytes  0/ 0:	82.2031	74.0469
Length   11, alignments in bytes  0/ 3:	83	74.0469
Length   11, alignments in bytes  3/ 0:	82.1875	72.4375
Length   12, alignments in bytes  0/ 0:	84.625	76.5
Length   12, alignments in bytes  0/ 0:	83	76.5
Length   12, alignments in bytes  0/ 4:	83.8125	78.125
Length   12, alignments in bytes  4/ 0:	91.9688	76.5
Length   13, alignments in bytes  0/ 0:	86.2656	78.9375
Length   13, alignments in bytes  0/ 0:	87.0781	79.75
Length   13, alignments in bytes  0/ 5:	87.0625	78.9375
Length   13, alignments in bytes  5/ 0:	103.344	79.75
Length   14, alignments in bytes  0/ 0:	89.5156	82.1875
Length   14, alignments in bytes  0/ 0:	89.5156	81.375
Length   14, alignments in bytes  0/ 6:	89.5156	80.5625
Length   14, alignments in bytes  6/ 0:	98.4688	80.5781
Length   15, alignments in bytes  0/ 0:	91.9531	84.625
Length   15, alignments in bytes  0/ 0:	91.9531	83.8125
Length   15, alignments in bytes  0/ 7:	91.9531	85.4531
Length   15, alignments in bytes  7/ 0:	102.547	84.625
Length   16, alignments in bytes  0/ 0:	100.906	87.8906
Length   16, alignments in bytes  7/ 2:	107.422	87.8906
Length   32, alignments in bytes  0/ 0:	113.938	126.953
Length   32, alignments in bytes  6/ 4:	123.688	127.766
Length   64, alignments in bytes  0/ 0:	150.562	207.516
Length   64, alignments in bytes  5/ 6:	161.141	206.703
Length  128, alignments in bytes  0/ 0:	204.266	367.828
Length  128, alignments in bytes  4/ 0:	194.5	367.844
Length  256, alignments in bytes  0/ 0:	310.875	686.031
Length  256, alignments in bytes  3/ 2:	375.156	686.844
Length  512, alignments in bytes  0/ 0:	524.078	1505.53
Length  512, alignments in bytes  2/ 4:	640.469	1328.94
Length 1024, alignments in bytes  0/ 0:	950.516	2607.42
Length 1024, alignments in bytes  1/ 6:	1171.88	2606.61
Length   16, alignments in bytes  1/ 2:	105.797	87.8906
Length   16, alignments in bytes  2/ 1:	110.688	86.2656
Length   16, alignments in bytes  1/ 1:	100.906	88.7031
Length   16, alignments in bytes  1/ 1:	100.922	87.0781
Length   32, alignments in bytes  2/ 4:	126.953	126.953
Length   32, alignments in bytes  4/ 2:	119.625	126.953
Length   32, alignments in bytes  2/ 2:	128.578	126.953
Length   32, alignments in bytes  2/ 2:	126.953	126.141
Length   64, alignments in bytes  3/ 6:	174.969	206.719
Length   64, alignments in bytes  6/ 3:	165.203	207.516
Length   64, alignments in bytes  3/ 3:	152.188	207.516
Length   64, alignments in bytes  3/ 3:	151.375	206.703
Length  128, alignments in bytes  4/ 0:	195.312	366.203
Length  128, alignments in bytes  0/ 4:	203.453	367.016
Length  128, alignments in bytes  4/ 4:	195.312	367.031
Length  128, alignments in bytes  4/ 4:	194.5	366.219
Length  256, alignments in bytes  5/ 2:	363.781	687.672
Length  256, alignments in bytes  2/ 5:	375.156	687.672
Length  256, alignments in bytes  5/ 5:	304.359	686.859
Length  256, alignments in bytes  5/ 5:	303.547	687.656
Length  512, alignments in bytes  6/ 4:	631.5	1327.31
Length  512, alignments in bytes  4/ 6:	628.266	1328.12
Length  512, alignments in bytes  6/ 6:	517.578	1328.12
Length  512, alignments in bytes  6/ 6:	515.953	1327.31
Length 1024, alignments in bytes  7/ 6:	1165.38	2607.42
Length 1024, alignments in bytes  6/ 7:	1166.17	2607.42
Length 1024, alignments in bytes  7/ 7:	942.375	2607.42
Length 1024, alignments in bytes  7/ 7:	942.375	2606.61
Length   16, alignments in bytes  0/ 4:	100.906	87.0781
Length   16, alignments in bytes  4/ 0:	91.9531	87.0781
Length   16, alignments in bytes  4/ 4:	91.9688	87.8906
Length   16, alignments in bytes  2/ 2:	102.547	86.2656
Length   16, alignments in bytes  2/ 6:	101.719	87.8906
Length   16, alignments in bytes  6/ 2:	93.5781	86.2656
Length   16, alignments in bytes  1/ 7:	106.609	87.0781
Length   16, alignments in bytes  7/ 1:	106.609	87.0781
Length   16, alignments in bytes  3/ 4:	109.047	87.0625
