                            	strncat	stupid_strncat
Length    2/   2, alignment  0/ 2, N    2:	165.203	57.7812
Length    4/   4, alignment  0/ 0, N    2:	98.4688	68.3594
Length    4/   4, alignment  4/ 0, N    2:	98.4688	65.9062
Length    8/   8, alignment  0/ 0, N    2:	107.422	96.8438
Length    8/   8, alignment  0/ 0, N    2:	105.797	107.422
Length   16/  16, alignment  0/ 0, N    2:	138.344	137.531
Length   16/  16, alignment  7/ 2, N    2:	135.906	138.359
Length   16/   4, alignment  0/ 0, N    2:	97.6562	64.2969
Length   16/   4, alignment  7/ 2, N    2:	97.6562	65.1094
Length   32/  32, alignment  0/ 0, N    2:	146.484	218.922
Length   32/  32, alignment  6/ 4, N    2:	138.344	217.281
Length   32/   8, alignment  0/ 0, N    2:	104.984	96.0312
Length   32/   8, alignment  6/ 4, N    2:	106.609	97.6562
Length   64/  64, alignment  0/ 0, N    2:	164.375	377.609
Length   64/  64, alignment  5/ 6, N    2:	148.109	376.797
Length   64/  16, alignment  0/ 0, N    2:	137.531	137.531
Length   64/  16, alignment  5/ 6, N    2:	122.062	137.531
Length  128/ 128, alignment  0/ 0, N    2:	207.516	706.375
Length  128/ 128, alignment  4/ 0, N    2:	207.531	697.438
Length  128/  32, alignment  0/ 0, N    2:	145.672	226.25
Length  128/  32, alignment  4/ 0, N    2:	146.484	218.094
Length  256/ 256, alignment  0/ 0, N    2:	275.062	1345.2
Length  256/ 256, alignment  3/ 2, N    2:	271	1346.83
Length  256/  64, alignment  0/ 0, N    2:	171.703	385.75
Length  256/  64, alignment  3/ 2, N    2:	167.641	378.422
Length  512/ 512, alignment  0/ 0, N    2:	415.859	2625.33
Length  512/ 512, alignment  2/ 4, N    2:	398.766	2625.33
Length  512/ 128, alignment  0/ 0, N    2:	215.656	696.609
Length  512/ 128, alignment  2/ 4, N    2:	199.375	704.75
Length 1024/1024, alignment  0/ 0, N    2:	674.641	5199.38
Length 1024/1024, alignment  1/ 6, N    2:	668.938	5215.66
Length 1024/ 256, alignment  0/ 0, N    2:	275.062	1346.83
Length 1024/ 256, alignment  1/ 6, N    2:	266.922	1337.89
Length   16/   1, alignment  1/ 2, N    2:	92.7656	53.7031
Length   16/   1, alignment  2/ 1, N    2:	87.8906	52.8906
Length   16/  10, alignment  1/ 1, N    2:	127.781	108.234
Length   32/   1, alignment  2/ 4, N    2:	87.0781	52.0938
Length   32/   1, alignment  4/ 2, N    2:	86.2656	52.9062
Length   32/  10, alignment  2/ 2, N    2:	122.062	116.375
Length   64/   1, alignment  3/ 6, N    2:	87.0781	52.0938
Length   64/   1, alignment  6/ 3, N    2:	87.0781	52.0781
Length   64/  10, alignment  3/ 3, N    2:	122.078	108.234
Length  128/   1, alignment  4/ 0, N    2:	86.2656	52.9062
Length  128/   1, alignment  0/ 4, N    2:	95.2188	52.0781
Length  128/  10, alignment  4/ 4, N    2:	121.25	107.422
Length  256/   1, alignment  5/ 2, N    2:	91.9531	52.8906
