                       	strncmp	simple_strncmp	stupid_strncmp
Length    8/   1, alignment  0/ 0:	123.703	49.6406	153.812
Length    8/   1, alignment  0/ 0:	54.5156	41.5156	104.984
Length    8/   1, alignment  0/ 0:	53.7031	39.875	104.172
Length    8/   1, alignment  1/ 1:	55.3438	43.9375	111.5
Length    8/   1, alignment  1/ 1:	53.7031	43.125	94.3906
Length    8/   1, alignment  1/ 1:	52.0938	40.6875	111.484
Length    8/   1, alignment  1/ 2:	54.5312	45.5781	112.297
Length    8/   1, alignment  2/ 1:	52.8906	39.875	92.7812
Length    8/   1, alignment  1/ 3:	53.7188	40.6875	98.4688
Length    8/   1, alignment  0/ 0:	55.3438	43.9375	104.984
Length    8/   1, alignment  0/ 0:	52.8906	40.6875	99.2812
Length    8/   1, alignment  0/ 0:	53.7031	42.3281	99.2812
Length    8/   1, alignment  1/ 1:	54.5312	43.1406	109.859
Length    8/   1, alignment  1/ 1:	52.8906	40.6875	95.2188
Length    8/   1, alignment  1/ 1:	53.7188	41.5	111.484
Length    8/   1, alignment  1/ 2:	54.5156	43.9375	111.484
Length    8/   1, alignment  2/ 1:	53.7031	40.7031	91.9688
Length    8/   1, alignment  1/ 3:	53.7031	40.6875	98.4688
Length    8/   2, alignment  0/ 0:	62.6562	52.8906	112.312
Length    8/   2, alignment  0/ 0:	64.2812	49.6406	101.719
Length    8/   2, alignment  0/ 0:	63.4844	49.6406	101.734
Length    8/   2, alignment  2/ 2:	61.0312	52.0938	104.156
Length    8/   2, alignment  2/ 2:	62.6719	49.6406	104.984
Length    8/   2, alignment  2/ 2:	63.4688	48.0156	105.797
Length    8/   2, alignment  2/ 4:	61.8594	52.9062	114.75
Length    8/   2, alignment  4/ 2:	62.6562	48.8281	108.234
Length    8/   2, alignment  2/ 6:	63.4688	48.8281	104.172
Length    8/   2, alignment  0/ 0:	62.6562	51.2656	112.312
Length    8/   2, alignment  0/ 0:	63.4688	49.6406	100.906
Length    8/   2, alignment  0/ 0:	63.4844	49.6406	100.906
Length    8/   2, alignment  2/ 2:	61.8594	51.2812	104.156
Length    8/   2, alignment  2/ 2:	63.4688	48.8281	104.969
Length    8/   2, alignment  2/ 2:	61.8438	49.6562	104.969
Length    8/   2, alignment  2/ 4:	61.8438	51.2656	112.312
Length    8/   2, alignment  4/ 2:	62.6719	49.6406	109.047
Length    8/   2, alignment  2/ 6:	63.4688	49.6562	104.984
Length    8/   3, alignment  0/ 0:	69.1875	59.4062	115.562
Length    8/   3, alignment  0/ 0:	69.1719	56.1562	114.75
Length    8/   3, alignment  0/ 0:	70.8125	55.3438	113.938
Length    8/   3, alignment  3/ 3:	68.3594	58.5938	115.562
Length    8/   3, alignment  3/ 3:	69.1719	55.3281	113.938
