                            	strncpy	simple_strncpy	stupid_strncpy
Length   16, n   16, alignment  1/ 1:	196.938	142.422	154.625
Length   16, n   16, alignment  1/ 1:	201.016	138.344	190.438
Length   16, n   16, alignment  1/ 2:	152.172	139.156	153
Length   16, n   16, alignment  2/ 1:	171.703	139.172	166.016
Length    2, n    4, alignment  7/ 2:	99.2812	60.2188	81.3906
Length    4, n    2, alignment  2/ 7:	80.5625	48.8281	73.2344
Length    2, n    4, alignment  7/ 2:	98.4688	59.4062	80.5625
Length    4, n    2, alignment  2/ 7:	80.5625	48.8281	73.25
Length   16, n   16, alignment  2/ 2:	170.891	139.984	149.75
Length   16, n   16, alignment  2/ 2:	175.781	138.344	165.203
Length   16, n   16, alignment  2/ 4:	144.859	139.156	148.922
Length   16, n   16, alignment  4/ 2:	166.828	139.969	170.891
Length    4, n    8, alignment  6/ 4:	127.766	78.125	100.094
Length    8, n    4, alignment  4/ 6:	91.1406	61.8438	81.375
Length    4, n    8, alignment  6/ 4:	136.719	76.5	98.4688
Length    8, n    4, alignment  4/ 6:	91.9531	61.8594	79.7656
Length   16, n   16, alignment  3/ 3:	157.062	139.172	145.672
Length   16, n   16, alignment  3/ 3:	193.688	139.156	170.891
Length   16, n   16, alignment  3/ 6:	144.047	139.156	146.484
Length   16, n   16, alignment  6/ 3:	173.344	138.344	173.344
Length    8, n   16, alignment  5/ 6:	170.078	113.922	129.391
Length   16, n    8, alignment  6/ 5:	117.188	91.1562	97.6562
Length    8, n   16, alignment  5/ 6:	177.406	113.922	139.969
Length   16, n    8, alignment  6/ 5:	144.047	91.9688	124.516
Length   16, n   16, alignment  4/ 4:	135.906	138.344	135.078
Length   16, n   16, alignment  4/ 4:	171.703	138.359	170.906
Length   16, n   16, alignment  4/ 0:	134.281	139.156	135.906
Length   16, n   16, alignment  0/ 4:	170.078	139.172	170.078
Length   16, n   32, alignment  4/ 0:	170.078	179.844	194.5
Length   32, n   16, alignment  0/ 4:	134.266	139.156	135.094
Length   16, n   32, alignment  4/ 0:	216.469	180.672	221.359
Length   32, n   16, alignment  0/ 4:	173.344	148.109	174.156
Length   16, n   16, alignment  5/ 5:	163.578	138.359	153
Length   16, n   16, alignment  5/ 5:	201.016	139.172	192.875
Length   16, n   16, alignment  5/ 2:	160.312	138.344	152.172
Length   16, n   16, alignment  2/ 5:	171.703	138.344	174.156
Length   32, n   64, alignment  3/ 2:	244.141	300.297	294.594
Length   64, n   32, alignment  2/ 3:	189.609	232.75	213.219
Length   32, n   64, alignment  3/ 2:	302.734	300.281	347.5
Length   64, n   32, alignment  2/ 3:	261.219	231.922	284.828
Length   16, n   16, alignment  6/ 6:	170.078	139.156	149.734
Length   16, n   16, alignment  6/ 6:	176.609	139.156	166.016
Length   16, n   16, alignment  6/ 4:	144.047	138.344	148.938
Length   16, n   16, alignment  4/ 6:	167.641	139.156	174.156
Length   64, n  128, alignment  2/ 4:	304.359	537.109	469.562
Length  128, n   64, alignment  4/ 2:	251.453	418.297	334.484
Length   64, n  128, alignment  2/ 4:	448.406	540.375	616.047
Length  128, n   64, alignment  4/ 2:	400.391	418.297	508.625
Length   16, n   16, alignment  7/ 7:	156.25	138.344	145.672
Length   16, n   16, alignment  7/ 7:	196.125	138.344	171.703
Length   16, n   16, alignment  7/ 6:	144.031	138.344	145.672
Length   16, n   16, alignment  6/ 7:	166.828	138.344	165.203
Length  128, n  256, alignment  1/ 6:	489.906	1020.52	832.516
Length  256, n  128, alignment  6/ 1:	400.391	792.656	602.219
Length  128, n  256, alignment  1/ 6:	789.391	1020.52	1143.39
Length  256, n  128, alignment  6/ 1:	703.125	792.641	902.5
Length    8, n   16, alignment  0/ 0:	150.547	113.125	122.062
Length   32, n   16, alignment  0/ 0:	144.859	139.156	135.906
Length    8, n   16, alignment  7/ 2:	170.094	114.75	131.844
Length   32, n   16, alignment  7/ 2:	131.828	139.172	135.906
Length   16, n   32, alignment  0/ 0:	181.484	181.484	184.734
Length   64, n   32, alignment  0/ 0:	153.812	241.703	208.328
Length   16, n   32, alignment  6/ 4:	171.719	180.672	199.375
Length   64, n   32, alignment  6/ 4:	173.344	231.125	213.219
Length   32, n   64, alignment  0/ 0:	197.75	299.484	284.016
Length  128, n   64, alignment  0/ 0:	209.969	417.469	336.094
Length   32, n   64, alignment  5/ 6:	249.844	300.297	290.531
Length  128, n   64, alignment  5/ 6:	266.109	417.484	345.062
Length   64, n  128, alignment  0/ 0:	263.672	537.109	471.188
Length  256, n  128, alignment  0/ 0:	330.406	801.594	589.188
Length   64, n  128, alignment  4/ 0:	265.297	537.109	463.875
Length  256, n  128, alignment  4/ 0:	342.609	791.016	597.328
Length  128, n  256, alignment  0/ 0:	399.578	1020.5	824.375
Length  512, n  256, alignment  0/ 0:	546.062	1545.42	1101.88
Length  128, n  256, alignment  3/ 2:	478.516	1019.69	825.203
Length  512, n  256, alignment  3/ 2:	637.203	1544.59	1103.52
Length  256, n  512, alignment  0/ 0:	659.172	1966.95	1543.78
Length 1024, n  512, alignment  0/ 0:	1002.61	3033.03	2122.39
Length  256, n  512, alignment  2/ 4:	782.062	1971.84	1549.48
Length 1024, n  512, alignment  2/ 4:	1163.73	3033.86	2129.72
Length  512, n 1024, alignment  0/ 0:	1208.5	3875.33	2991.53
Length 2048, n 1024, alignment  0/ 0:	1873.38	6028.66	4149.58
Length  512, n 1024, alignment  1/ 6:	1401.36	3885.08	3019.2
Length 2048, n 1024, alignment  1/ 6:	2204.59	6014	4158.53
