                    	strnlen	simple_strnlen
Length    1, alignment  0:	66.7344	38.25
Length    1, alignment  0:	61.8594	37.4375
Length    1, alignment  0:	61.0312	39.875
Length    2, alignment  0:	62.6719	39.0625
Length    2, alignment  0:	62.6719	43.9531
Length    2, alignment  0:	62.6562	44.7656
Length    3, alignment  0:	61.8594	45.5781
Length    3, alignment  0:	61.0312	47.2031
Length    3, alignment  0:	61.0312	48.0156
Length    4, alignment  0:	57.7812	47.2031
Length    4, alignment  0:	55.3438	50.4531
Length    4, alignment  0:	65.0938	52.0938
Length    5, alignment  0:	56.1562	50.4531
Length    5, alignment  0:	69.1719	54.5312
Length    5, alignment  0:	69.1719	56.1562
Length    6, alignment  0:	70.7969	54.5156
Length    6, alignment  0:	70	67.5469
Length    6, alignment  0:	69.9844	70.8125
Length    7, alignment  0:	69.9844	67.5469
Length    7, alignment  0:	68.3594	72.4375
Length    7, alignment  0:	67.5469	76.5
Length    1, alignment  1:	42.3281	37.4375
Length    1, alignment  1:	56.1562	38.25
Length    1, alignment  1:	55.3438	41.5
Length    2, alignment  2:	57.7656	39.0625
Length    2, alignment  2:	56.9688	45.5625
Length    2, alignment  2:	61.8594	46.3906
Length    3, alignment  3:	63.4688	43.9375
Length    3, alignment  3:	61.0312	45.5781
Length    3, alignment  3:	61.0312	49.6406
Length    4, alignment  4:	56.1562	46.375
Length    4, alignment  4:	56.1562	49.6406
Length    4, alignment  4:	63.4688	52.8906
Length    5, alignment  5:	74.0469	51.2656
Length    5, alignment  5:	74.8594	55.3438
Length    5, alignment  5:	74.0625	55.3438
Length    6, alignment  6:	61.8594	52.9062
Length    6, alignment  6:	61.8438	68.3594
Length    6, alignment  6:	69.1719	71.6094
Length    7, alignment  7:	71.6094	68.3594
Length    7, alignment  7:	70.7969	73.2344
Length    7, alignment  7:	69.1719	76.5
Length    4, alignment  0:	64.2969	52.0938
Length    4, alignment  1:	71.6094	61.8438
Length    8, alignment  0:	72.4375	80.5625
Length    8, alignment  1:	78.125	80.5625
Length   16, alignment  0:	84.625	113.922
Length   16, alignment  1:	92.7812	113.938
Length   32, alignment  0:	126.953	180.672
Length   32, alignment  1:	125.328	181.484
Length   64, alignment  0:	172.531	314.953
Length   64, alignment  1:	172.531	314.953
Length  128, alignment  0:	257.172	581.062
Length  128, alignment  1:	275.891	580.25
Length  256, alignment  0:	452.469	1114.09
Length  256, alignment  1:	452.484	1114.91
Length  512, alignment  0:	817.875	2197.27
Length  512, alignment  1:	826	2196.45
Length 1024, alignment  0:	1574.7	4330.23
Length 1024, alignment  1:	1580.41	4328.61
Length    1, alignment  0:	61.8594	40.7031
Length    2, alignment  0:	62.6562	46.3906
Length    3, alignment  0:	61.0312	48.8281
Length    4, alignment  0:	75.6875	62.6562
Length    5, alignment  0:	67.5469	69.9844
Length    6, alignment  0:	71.6094	72.4219
Length    7, alignment  0:	69.1719	76.5
Length    1, alignment  1:	56.1562	39.875
Length    2, alignment  2:	69.9844	46.375
Length    3, alignment  3:	62.6562	48.8281
Length    4, alignment  4:	64.2812	62.6562
Length    5, alignment  5:	74.8594	69.1719
Length    6, alignment  6:	69.9844	72.4219
Length    7, alignment  7:	79.75	76.5
Length    4, alignment  0:	773.922	53.7031
Length    4, alignment  1:	72.4375	51.2656
Length    8, alignment  0:	72.4219	90.3281
Length    8, alignment  1:	78.9375	80.5781
Length   16, alignment  0:	85.4375	114.75
Length   16, alignment  1:	92.7812	114.75
Length   32, alignment  0:	156.25	179.859
Length   32, alignment  1:	157.062	180.672
Length   64, alignment  0:	266.109	314.125
Length   64, alignment  1:	256.359	313.312
Length  128, alignment  0:	485.016	580.234
Length  128, alignment  1:	455.734	580.25
Length  256, alignment  0:	903.328	1114.91
Length  256, alignment  1:	889.484	1121.42
Length  512, alignment  0:	1758.62	2189.94
Length  512, alignment  1:	1695.97	2188.31
Length 1024, alignment  0:	3494.45	4336.75
Length 1024, alignment  1:	3489.58	4331.06
