                                	strpbrk	simple_strpbrk	stupid_strpbrk
Length  512, alignment  0, rej len  0:	1186.52	3907.88	2548.02
Length  512, alignment  0, rej len  0:	1162.11	3902.19	2539.06
Length  512, alignment  0, rej len  1:	1215.81	7556.16	4260.27
Length  512, alignment  1, rej len  1:	1231.28	6469.72	4264.33
Length  512, alignment  0, rej len  2:	1478.69	8184.41	6387.55
Length  512, alignment  2, rej len  2:	1477.86	8183.59	6302.09
Length  512, alignment  0, rej len  3:	1479.5	9908.05	8116.86
Length  512, alignment  3, rej len  3:	1479.5	9899.91	8138.83
Length  512, alignment  0, rej len  4:	1488.44	11776.5	9011.23
Length  512, alignment  4, rej len  4:	1477.05	11629.2	8994.14
Length  512, alignment  0, rej len  5:	1490.08	15195.3	10716.1
Length  512, alignment  5, rej len  5:	1490.88	15528.2	10698.2
Length  512, alignment  0, rej len  6:	1493.33	19047	18111.2
Length  512, alignment  6, rej len  6:	1492.52	19048.7	18094.1
Length  512, alignment  0, rej len  7:	1495.77	21993	19998.4
Length  512, alignment  7, rej len  7:	1496.59	21659.3	19932.5
Length  512, alignment  0, rej len  8:	1501.45	23374.8	21683.8
Length  512, alignment  0, rej len  8:	1500.66	23375.7	21897.8
Length  512, alignment  0, rej len  9:	1514.48	25087.1	23424.5
Length  512, alignment  1, rej len  9:	1512.86	25092.8	23400.9
Length  512, alignment  0, rej len 10:	1516.11	26812.3	25525.7
Length  512, alignment  2, rej len 10:	1520.17	26840.8	25177.4
Length  512, alignment  0, rej len 11:	1519.38	28524.6	26875.8
Length  512, alignment  3, rej len 11:	1521.81	28798	26851.4
Length  512, alignment  0, rej len 12:	1517.75	30212.4	28547.4
Length  512, alignment  4, rej len 12:	1525.06	30267.7	28807.8
Length  512, alignment  0, rej len 13:	1522.62	31965.3	30312.5
Length  512, alignment  5, rej len 13:	1528.31	31949	30280.8
Length  512, alignment  0, rej len 14:	1533.2	33974.6	32040.2
Length  512, alignment  6, rej len 14:	1534.02	33700.3	32019.9
Length  512, alignment  0, rej len 15:	1536.45	35564.8	33740.2
Length  512, alignment  7, rej len 15:	1538.09	35395.5	33737.8
Length  512, alignment  0, rej len 16:	1541.34	37451.2	35443.5
Length  512, alignment  0, rej len 16:	1542.97	37119.1	35490.7
Length  512, alignment  0, rej len 17:	1545.41	38977	37156.6
Length  512, alignment  1, rej len 17:	1544.61	38822.4	37208.7
Length  512, alignment  0, rej len 18:	1550.28	40634.8	38861.5
Length  512, alignment  2, rej len 18:	1542.16	40533	38880.2
Length  512, alignment  0, rej len 19:	1554.36	42613.1	40625.8
Length  512, alignment  3, rej len 19:	1556	42206.2	40544.4
Length  512, alignment  0, rej len 20:	1560.06	43951	42306.3
Length  512, alignment  4, rej len 20:	1556.81	43965.7	42470.7
Length  512, alignment  0, rej len 21:	1562.5	45656.7	44025.1
Length  512, alignment  5, rej len 21:	1563.31	45869.1	44041.3
Length  512, alignment  0, rej len 22:	1566.58	47405.6	45919.6
Length  512, alignment  6, rej len 22:	1559.25	47376.3	45730.8
Length  512, alignment  0, rej len 23:	1571.45	49092.6	47624.5
Length  512, alignment  7, rej len 23:	1572.27	49079.6	47447.9
Length  512, alignment  0, rej len 24:	1576.33	87895.5	99048.7
Length  512, alignment  0, rej len 24:	3166.5	101908	98951.8
Length  512, alignment  0, rej len 25:	3172.2	105623	102029
Length  512, alignment  1, rej len 25:	3171.38	105395	102280
Length  512, alignment  0, rej len 26:	3166.5	109155	105507
Length  512, alignment  2, rej len 26:	3180.34	109264	105957
Length  512, alignment  0, rej len 27:	3192.53	112720	109083
Length  512, alignment  3, rej len 27:	3176.27	84748.5	54306.6
Length  512, alignment  0, rej len 28:	1584.47	57887.4	56064.5
Length  512, alignment  4, rej len 28:	1592.61	57636.7	56141.8
Length  512, alignment  0, rej len 29:	1599.94	59379.9	57906.1
Length  512, alignment  5, rej len 29:	1597.5	59400.2	57757.2
Length  512, alignment  0, rej len 30:	1600.75	61263	59471.8
Length  512, alignment  6, rej len 30:	1599.94	61244.3	59424.6
Length  512, alignment  0, rej len 31:	1595.86	62840.2	61429
Length  512, alignment  7, rej len 31:	1606.45	62815.8	61549.5
Length   32, alignment  0, rej len  4:	377.594	778.812	720.219
Length   32, alignment  1, rej len  4:	361.328	780.438	699.859
Length   64, alignment  0, rej len  4:	458.172	1506.36	1250
Length   64, alignment  2, rej len  4:	449.219	1507.17	1267.09
Length  128, alignment  0, rej len  4:	596.516	2958.98	2385.25
Length  128, alignment  3, rej len  4:	604.656	2950.03	2376.31
Length  256, alignment  0, rej len  4:	897.625	5837.41	4584.97
Length  256, alignment  4, rej len  4:	889.484	5863.45	4573.56
Length  512, alignment  0, rej len  4:	1476.23	11613.8	9003.09
Length  512, alignment  5, rej len  4:	1483.56	14037.3	9062.5
Length 1024, alignment  0, rej len  4:	2657.88	23175.5	18046.1
Length 1024, alignment  6, rej len  4:	2665.2	24226.1	17822.3
Length 2048, alignment  0, rej len  4:	5011.39	47344.6	35861
Length 2048, alignment  7, rej len  4:	5021.98	50528.2	35804
Length   64, alignment  1, rej len 10:	482.578	3409.84	3299.97
Length   64, alignment  2, rej len 10:	482.578	3416.34	3323.56
Length   64, alignment  3, rej len 10:	489.906	3427.73	3313.8
Length   64, alignment  4, rej len 10:	482.578	3404.14	3276.36
Length   64, alignment  5, rej len 10:	481.766	3417.16	3308.92
Length   64, alignment  6, rej len 10:	482.594	3410.64	3307.3
Length   64, alignment  7, rej len 10:	490.719	3420.41	3439.12
Length    0, alignment  0, rej len  6:	275.875	47.1875	132.656
Length    1, alignment  0, rej len  6:	289.703	108.234	205.891
Length    2, alignment  0, rej len  6:	287.266	129.391	177.406
Length    3, alignment  0, rej len  6:	291.344	175.781	278.312
Length    4, alignment  0, rej len  6:	306.797	221.359	316.562
Length    5, alignment  0, rej len  6:	306.797	236.812	323.891
Length    6, alignment  0, rej len  6:	308.438	289.719	380.047
Length    7, alignment  0, rej len  6:	307.625	335.281	436.203
Length    8, alignment  0, rej len  6:	316.562	350.734	441.906
Length    9, alignment  0, rej len  6:	317.375	410.156	493.984
Length   10, alignment  0, rej len  6:	315.75	441.078	523.266
Length   11, alignment  0, rej len  6:	316.562	457.344	540.359
Length   12, alignment  0, rej len  6:	326.344	510.25	577.797
Length   13, alignment  0, rej len  6:	325.516	531.422	625
Length   14, alignment  0, rej len  6:	324.703	604.641	673.828
Length   15, alignment  0, rej len  6:	325.516	602.219	663.25
Length   16, alignment  0, rej len  6:	333.656	649.422	727.547
Length   17, alignment  0, rej len  6:	343.422	699.062	813.797
Length   18, alignment  0, rej len  6:	334.484	721.031	777.172
Length   19, alignment  0, rej len  6:	334.469	756.844	854.5
