                       	oldstrsep	strsep	simple_strsep
Length    8/2, alignment  0/ 0, found:	381.672	349.938	161.141
Length    8/2, alignment  0/ 0, fail:	322.266	310.062	164.391
Length    8/2, alignment  0/ 3, found:	308.438	298.672	122.891
Length    8/2, alignment  0/ 3, fail:	319.828	309.234	164.391
Length    8/2, alignment  0/ 9, found:	307.625	298.672	124.5
Length    8/2, alignment  0/ 9, fail:	319.828	309.234	163.578
Length    8/2, alignment  0/15, found:	308.422	298.672	122.078
Length    8/2, alignment  0/15, fail:	319.016	309.234	166.016
Length    8/2, alignment  3/ 0, found:	308.438	297.844	122.062
Length    8/2, alignment  3/ 0, fail:	319	309.234	164.391
Length    8/2, alignment  3/ 3, found:	308.422	297.844	122.062
Length    8/2, alignment  3/ 3, fail:	319.828	309.25	163.562
Length    8/2, alignment  3/ 9, found:	308.438	297.859	122.891
Length    8/2, alignment  3/ 9, fail:	319.016	310.062	163.578
Length    8/2, alignment  3/15, found:	307.609	297.859	122.062
Length    8/2, alignment  3/15, fail:	319	309.25	162.766
Length    8/2, alignment  9/ 0, found:	307.625	297.844	122.891
Length    8/2, alignment  9/ 0, fail:	319.016	309.25	163.562
Length    8/2, alignment  9/ 3, found:	308.438	297.859	122.078
Length    8/2, alignment  9/ 3, fail:	319.016	308.438	163.578
Length    8/2, alignment  9/ 9, found:	308.438	297.047	122.891
Length    8/2, alignment  9/ 9, fail:	319.828	310.047	165.203
Length    8/2, alignment  9/15, found:	309.25	297.031	122.078
Length    8/2, alignment  9/15, fail:	319.828	309.25	164.391
Length    8/2, alignment 15/ 0, found:	308.438	297.859	122.078
Length    8/2, alignment 15/ 0, fail:	318.203	307.625	163.578
Length    8/2, alignment 15/ 3, found:	308.438	297.859	122.891
Length    8/2, alignment 15/ 3, fail:	319.016	310.062	162.766
Length    8/2, alignment 15/ 9, found:	308.438	297.859	122.078
Length    8/2, alignment 15/ 9, fail:	319	308.422	164.375
Length    8/2, alignment 15/15, found:	308.438	297.844	121.266
Length    8/2, alignment 15/15, fail:	318.188	308.438	170.906
Length   10/2, alignment  0/ 0, found:	307.625	297.859	134.281
Length   10/2, alignment  0/ 0, fail:	319.016	308.422	187.172
Length   10/2, alignment  0/ 3, found:	308.438	297.859	132.656
Length   10/2, alignment  0/ 3, fail:	318.203	308.422	188
Length   10/2, alignment  0/ 9, found:	307.609	297.047	134.266
Length   10/2, alignment  0/ 9, fail:	319.828	309.25	187.172
Length   10/2, alignment  0/15, found:	307.625	297.031	134.266
Length   10/2, alignment  0/15, fail:	319.016	308.422	187.984
Length   10/2, alignment  3/ 0, found:	317.391	307.609	134.281
Length   10/2, alignment  3/ 0, fail:	329.594	319	186.359
Length   10/2, alignment  3/ 3, found:	316.578	306.812	133.469
Length   10/2, alignment  3/ 3, fail:	327.953	317.375	187.188
Length   10/2, alignment  3/ 9, found:	317.391	307.625	134.281
Length   10/2, alignment  3/ 9, fail:	327.953	317.391	187.172
Length   10/2, alignment  3/15, found:	316.562	306.797	134.266
Length   10/2, alignment  3/15, fail:	327.953	318.203	187.188
Length   10/2, alignment  9/ 0, found:	309.25	298.672	133.469
Length   10/2, alignment  9/ 0, fail:	318.203	308.438	983.094
Length   10/2, alignment  9/ 3, found:	310.875	298.672	134.281
Length   10/2, alignment  9/ 3, fail:	319.828	309.25	187.172
Length   10/2, alignment  9/ 9, found:	308.438	298.672	136.719
Length   10/2, alignment  9/ 9, fail:	319.828	309.234	186.359
Length   10/2, alignment  9/15, found:	308.422	297.844	133.453
Length   10/2, alignment  9/15, fail:	319.016	309.25	186.359
Length   10/2, alignment 15/ 0, found:	317.391	307.609	133.453
Length   10/2, alignment 15/ 0, fail:	328.781	318.188	187.172
Length   10/2, alignment 15/ 3, found:	316.578	306.797	133.453
Length   10/2, alignment 15/ 3, fail:	327.969	317.391	187.172
Length   10/2, alignment 15/ 9, found:	316.562	306	133.469
Length   10/2, alignment 15/ 9, fail:	327.969	318.188	186.359
Length   10/2, alignment 15/15, found:	316.562	307.625	133.453
Length   10/2, alignment 15/15, fail:	327.156	317.375	187.172
Length   12/2, alignment  0/ 0, found:	307.609	298.672	145.672
Length   12/2, alignment  0/ 0, fail:	329.594	319.016	209.953
Length   12/2, alignment  0/ 3, found:	308.422	297.859	145.672
Length   12/2, alignment  0/ 3, fail:	328.766	319.016	209.969
Length   12/2, alignment  0/ 9, found:	308.422	297.047	145.672
Length   12/2, alignment  0/ 9, fail:	328.781	318.203	209.953
Length   12/2, alignment  0/15, found:	308.422	297.859	145.672
Length   12/2, alignment  0/15, fail:	327.953	317.375	210.781
Length   12/2, alignment  3/ 0, found:	318.203	307.625	146.484
Length   12/2, alignment  3/ 0, fail:	327.953	318.188	209.953
Length   12/2, alignment  3/ 3, found:	317.375	308.438	145.656
Length   12/2, alignment  3/ 3, fail:	328.766	318.203	210.766
Length   12/2, alignment  3/ 9, found:	319	305.984	144.859
Length   12/2, alignment  3/ 9, fail:	328.781	318.203	210.781
Length   12/2, alignment  3/15, found:	318.203	306.812	145.672
Length   12/2, alignment  3/15, fail:	328.781	319.016	210.781
Length   12/2, alignment  9/ 0, found:	308.438	297.859	145.672
Length   12/2, alignment  9/ 0, fail:	327.969	317.375	209.969
Length   12/2, alignment  9/ 3, found:	308.438	299.469	145.672
Length   12/2, alignment  9/ 3, fail:	327.156	318.188	209.953
Length   12/2, alignment  9/ 9, found:	307.625	297.047	144.859
Length   12/2, alignment  9/ 9, fail:	327.969	318.188	209.141
Length   12/2, alignment  9/15, found:	308.438	297.844	145.672
Length   12/2, alignment  9/15, fail:	328.766	317.391	209.969
Length   12/2, alignment 15/ 0, found:	317.375	307.609	144.859
Length   12/2, alignment 15/ 0, fail:	328.781	318.203	210.766
Length   12/2, alignment 15/ 3, found:	317.375	307.609	145.672
Length   12/2, alignment 15/ 3, fail:	327.953	318.203	268.562
Length   12/2, alignment 15/ 9, found:	317.375	307.609	144.844
Length   12/2, alignment 15/ 9, fail:	328.781	317.375	209.969
Length   12/2, alignment 15/15, found:	316.562	307.609	145.672
Length   12/2, alignment 15/15, fail:	329.594	317.375	210.781
Length   14/2, alignment  0/ 0, found:	309.25	298.672	157.078
Length   14/2, alignment  0/ 0, fail:	328.781	318.203	232.75
Length   14/2, alignment  0/ 3, found:	307.625	297.859	157.062
Length   14/2, alignment  0/ 3, fail:	327.156	317.375	233.562
Length   14/2, alignment  0/ 9, found:	307.609	297.844	157.062
Length   14/2, alignment  0/ 9, fail:	327.953	317.375	233.562
Length   14/2, alignment  0/15, found:	308.438	297.859	161.953
Length   14/2, alignment  0/15, fail:	327.156	318.188	233.562
Length   14/2, alignment  3/ 0, found:	317.375	307.609	157.062
Length   14/2, alignment  3/ 0, fail:	336.906	327.953	233.562
Length   14/2, alignment  3/ 3, found:	316.562	306.797	157.062
Length   14/2, alignment  3/ 3, fail:	337.734	325.516	234.375
Length   14/2, alignment  3/ 9, found:	316.578	306	157.875
Length   14/2, alignment  3/ 9, fail:	336.922	327.141	234.375
Length   14/2, alignment  3/15, found:	316.562	306.812	157.078
Length   14/2, alignment  3/15, fail:	338.547	327.141	236.812
Length   14/2, alignment  9/ 0, found:	317.391	307.625	157.875
Length   14/2, alignment  9/ 0, fail:	328.781	318.203	233.562
Length   14/2, alignment  9/ 3, found:	317.375	307.609	156.25
Length   14/2, alignment  9/ 3, fail:	327.953	318.203	233.562
Length   14/2, alignment  9/ 9, found:	317.391	306	157.062
Length   14/2, alignment  9/ 9, fail:	327.969	318.188	235.188
Length   14/2, alignment  9/15, found:	316.562	307.625	157.875
Length   14/2, alignment  9/15, fail:	327.953	317.375	233.547
Length   14/2, alignment 15/ 0, found:	319.016	307.609	156.25
Length   14/2, alignment 15/ 0, fail:	340.172	327.141	233.562
Length   14/2, alignment 15/ 3, found:	317.375	306.797	157.891
Length   14/2, alignment 15/ 3, fail:	338.531	327.953	233.562
Length   14/2, alignment 15/ 9, found:	316.578	307.609	157.062
Length   14/2, alignment 15/ 9, fail:	336.922	327.141	233.562
Length   14/2, alignment 15/15, found:	318.203	306.812	157.062
Length   14/2, alignment 15/15, fail:	336.922	327.141	234.375
Length   12/3, alignment  0/ 0, found:	312.5	301.922	166.828
Length   12/3, alignment  0/ 0, fail:	333.656	321.438	246.578
Length   12/3, alignment  0/ 3, found:	311.688	301.922	165.188
Length   12/3, alignment  0/ 3, fail:	333.656	323.078	245.766
Length   12/3, alignment  0/ 9, found:	314.938	301.094	165.188
Length   12/3, alignment  0/ 9, fail:	332.031	322.266	247.406
Length   12/3, alignment  0/15, found:	312.5	301.109	166.828
Length   12/3, alignment  0/15, fail:	332.031	321.453	246.594
Length   12/3, alignment  3/ 0, found:	322.266	312.5	166.828
Length   12/3, alignment  3/ 0, fail:	332.031	322.266	244.953
Length   12/3, alignment  3/ 3, found:	322.266	310.875	166.016
Length   12/3, alignment  3/ 3, fail:	332.859	322.266	245.766
Length   12/3, alignment  3/ 9, found:	321.453	311.688	166.828
Length   12/3, alignment  3/ 9, fail:	332.031	325.516	245.781
Length   12/3, alignment  3/15, found:	321.453	311.688	165.203
Length   12/3, alignment  3/15, fail:	332.031	322.266	245.766
Length   12/3, alignment  9/ 0, found:	312.5	301.109	165.188
Length   12/3, alignment  9/ 0, fail:	332.031	321.453	248.203
Length   12/3, alignment  9/ 3, found:	313.312	302.734	165.203
Length   12/3, alignment  9/ 3, fail:	332.844	322.266	246.578
Length   12/3, alignment  9/ 9, found:	311.688	302.734	165.203
Length   12/3, alignment  9/ 9, fail:	332.031	321.453	247.406
Length   12/3, alignment  9/15, found:	311.688	301.922	166.016
Length   12/3, alignment  9/15, fail:	332.844	322.266	246.594
Length   12/3, alignment 15/ 0, found:	321.453	310.875	166.016
Length   12/3, alignment 15/ 0, fail:	332.031	321.453	245.781
Length   12/3, alignment 15/ 3, found:	321.453	311.688	165.203
Length   12/3, alignment 15/ 3, fail:	332.844	321.453	245.781
Length   12/3, alignment 15/ 9, found:	321.453	311.688	165.203
Length   12/3, alignment 15/ 9, fail:	332.031	323.078	246.578
Length   12/3, alignment 15/15, found:	321.453	311.688	165.203
Length   12/3, alignment 15/15, fail:	332.844	322.266	246.594
Length   15/3, alignment  0/ 0, found:	311.688	301.922	179.031
Length   15/3, alignment  0/ 0, fail:	332.844	321.453	288.906
Length   15/3, alignment  0/ 3, found:	311.688	301.109	179.844
Length   15/3, alignment  0/ 3, fail:	332.844	322.266	288.891
Length   15/3, alignment  0/ 9, found:	311.688	301.922	179.031
Length   15/3, alignment  0/ 9, fail:	332.844	322.266	289.703
Length   15/3, alignment  0/15, found:	311.688	301.922	179.844
Length   15/3, alignment  0/15, fail:	332.031	322.266	287.266
Length   15/3, alignment  3/ 0, found:	320.641	311.688	178.219
Length   15/3, alignment  3/ 0, fail:	342.609	330.391	288.078
Length   15/3, alignment  3/ 3, found:	321.453	311.688	179.047
Length   15/3, alignment  3/ 3, fail:	341.797	331.203	288.891
Length   15/3, alignment  3/ 9, found:	322.266	310.875	180.672
Length   15/3, alignment  3/ 9, fail:	341.797	332.031	289.719
Length   15/3, alignment  3/15, found:	321.453	310.859	179.031
Length   15/3, alignment  3/15, fail:	340.984	331.219	288.094
Length   15/3, alignment  9/ 0, found:	321.453	310.875	179.844
Length   15/3, alignment  9/ 0, fail:	342.609	331.219	288.891
Length   15/3, alignment  9/ 3, found:	321.453	310.859	179.047
Length   15/3, alignment  9/ 3, fail:	341.797	332.031	288.094
Length   15/3, alignment  9/ 9, found:	322.266	312.5	180.656
Length   15/3, alignment  9/ 9, fail:	340.984	331.219	289.719
Length   15/3, alignment  9/15, found:	321.453	312.5	178.219
Length   15/3, alignment  9/15, fail:	341.797	331.219	288.078
Length   15/3, alignment 15/ 0, found:	321.453	311.688	179.859
Length   15/3, alignment 15/ 0, fail:	340.984	331.219	288.078
Length   15/3, alignment 15/ 3, found:	321.453	310.062	179.844
Length   15/3, alignment 15/ 3, fail:	342.609	332.031	288.891
Length   15/3, alignment 15/ 9, found:	320.641	311.688	179.031
