                                	strspn	simple_strspn	stupid_strspn
Length  512, alignment  0, acc len  1:	1367.19	3046.06	3828.94
Length  512, alignment  1, acc len  1:	1345.22	3038.73	3824.88
Length  512, alignment  0, acc len  2:	1453.45	6980.8	7706.7
Length  512, alignment  2, acc len  2:	1453.45	6002.61	7526.86
Length  512, alignment  0, acc len  3:	1456.7	7972.81	10209.2
Length  512, alignment  3, acc len  3:	1457.52	8195.8	10344.2
Length  512, alignment  0, acc len  4:	1459.97	9825.05	11951.5
Length  512, alignment  4, acc len  4:	1459.95	10314.9	12143.6
Length  512, alignment  0, acc len  5:	1465.66	12124.8	13767.9
Length  512, alignment  5, acc len  5:	1464.84	11458.3	13493.7
Length  512, alignment  0, acc len  6:	1468.92	12102.9	14506
Length  512, alignment  6, acc len  6:	1468.11	12214.4	14552.4
Length  512, alignment  0, acc len  7:	1473.8	13316.2	15886.2
Length  512, alignment  7, acc len  7:	1473.8	13090.8	15662.4
Length  512, alignment  0, acc len  8:	1476.23	13891.6	16521.8
Length  512, alignment  0, acc len  8:	1476.23	13916	16491.7
Length  512, alignment  0, acc len  9:	1478.67	14674.5	17392.6
Length  512, alignment  1, acc len  9:	1480.3	14580.9	17290.9
Length  512, alignment  0, acc len 10:	1489.27	14454.8	17350.3
Length  512, alignment  2, acc len 10:	1488.45	15562.3	18291.8
Length  512, alignment  0, acc len 11:	1494.95	15691.7	18040.4
Length  512, alignment  3, acc len 11:	1494.14	16610.5	19164.2
Length  512, alignment  0, acc len 12:	1497.41	17197.3	19895.8
Length  512, alignment  4, acc len 12:	1497.39	16938.5	19434.4
Length  512, alignment  0, acc len 13:	1500.66	18199.9	20821.1
Length  512, alignment  5, acc len 13:	1499.84	17779.1	20406.1
Length  512, alignment  0, acc len 14:	1504.72	18656.4	21166.2
Length  512, alignment  6, acc len 14:	1503.91	18569.3	21264.7
Length  512, alignment  0, acc len 15:	1507.98	19696.5	22386.1
Length  512, alignment  7, acc len 15:	1507.97	20237.6	23248.7
Length  512, alignment  0, acc len 16:	1509.61	20487.5	22888.2
Length  512, alignment  0, acc len 16:	1509.59	20772.3	23266.6
Length  512, alignment  0, acc len 17:	1513.67	21201.2	23814.3
Length  512, alignment  1, acc len 17:	1514.48	21255.7	23768.7
Length  512, alignment  0, acc len 18:	1517.73	21948.2	24442.5
Length  512, alignment  2, acc len 18:	1517.75	22853.2	25221.4
