                       	strstr	simple_strstr	stupid_strstr
Length    4/2, alignment  0/ 0, found:	306.812	330.406	154.625
Length    4/2, alignment  0/ 0, fail:	91.9688	88.7031	122.891
Length    4/2, alignment  0/ 3, found:	204.266	244.953	114.734
Length    4/2, alignment  0/ 3, fail:	91.9531	87.8906	121.25
Length    4/2, alignment  0/ 9, found:	202.641	218.922	115.562
Length    4/2, alignment  0/ 9, fail:	93.5781	88.7031	120.438
Length    4/2, alignment  0/15, found:	202.641	242.516	123.703
Length    4/2, alignment  0/15, fail:	94.4062	87.8906	121.266
Length    4/2, alignment  3/ 0, found:	202.641	218.094	116.375
Length    4/2, alignment  3/ 0, fail:	93.5938	87.8906	120.453
Length    4/2, alignment  3/ 3, found:	200.188	240.891	116.375
Length    4/2, alignment  3/ 3, fail:	100.109	87.8906	121.266
Length    4/2, alignment  3/ 9, found:	201.828	218.906	123.688
Length    4/2, alignment  3/ 9, fail:	91.9531	88.7031	120.438
Length    4/2, alignment  3/15, found:	202.641	240.891	115.562
Length    4/2, alignment  3/15, fail:	91.9531	87.8906	121.25
Length    4/2, alignment  9/ 0, found:	215.656	231.125	115.562
Length    4/2, alignment  9/ 0, fail:	100.922	88.7031	121.266
Length    4/2, alignment  9/ 3, found:	214.844	253.094	114.75
Length    4/2, alignment  9/ 3, fail:	91.9688	88.7031	122.062
Length    4/2, alignment  9/ 9, found:	222.984	231.109	114.75
Length    4/2, alignment  9/ 9, fail:	90.3438	88.7188	128.578
Length    4/2, alignment  9/15, found:	214.844	254.719	114.734
Length    4/2, alignment  9/15, fail:	92.7656	87.0781	120.438
Length    4/2, alignment 15/ 0, found:	202.641	217.297	114.75
Length    4/2, alignment 15/ 0, fail:	92.7656	87.8906	120.453
Length    4/2, alignment 15/ 3, found:	211.594	240.078	115.562
Length    4/2, alignment 15/ 3, fail:	91.9531	88.7031	127.766
Length    4/2, alignment 15/ 9, found:	202.641	218.094	114.75
Length    4/2, alignment 15/ 9, fail:	101.734	88.7188	120.438
Length    4/2, alignment 15/15, found:	201.828	240.891	114.75
Length    4/2, alignment 15/15, fail:	91.1406	87.8906	121.25
Length    6/2, alignment  0/ 0, found:	213.219	218.906	143.234
Length    6/2, alignment  0/ 0, fail:	96.0312	92.7812	155.438
Length    6/2, alignment  0/ 3, found:	204.25	240.875	142.422
Length    6/2, alignment  0/ 3, fail:	97.6562	93.5938	146.484
Length    6/2, alignment  0/ 9, found:	203.438	219.734	142.422
Length    6/2, alignment  0/ 9, fail:	96.8438	94.4062	146.484
Length    6/2, alignment  0/15, found:	204.266	242.516	140.781
Length    6/2, alignment  0/15, fail:	96.0312	93.5781	148.109
Length    6/2, alignment  3/ 0, found:	214.844	231.109	141.594
Length    6/2, alignment  3/ 0, fail:	96.8438	93.5781	146.484
Length    6/2, alignment  3/ 3, found:	214.844	261.234	140.781
Length    6/2, alignment  3/ 3, fail:	96.8438	93.5781	147.297
Length    6/2, alignment  3/ 9, found:	215.672	230.312	141.594
Length    6/2, alignment  3/ 9, fail:	96.0156	93.5938	148.125
Length    6/2, alignment  3/15, found:	214.844	253.906	166.828
Length    6/2, alignment  3/15, fail:	96.8438	93.5781	147.297
Length    6/2, alignment  9/ 0, found:	214.031	218.922	141.594
Length    6/2, alignment  9/ 0, fail:	96.0156	93.5781	154.625
Length    6/2, alignment  9/ 3, found:	203.453	240.078	141.609
Length    6/2, alignment  9/ 3, fail:	95.2188	93.5781	147.297
Length    6/2, alignment  9/ 9, found:	203.438	228.688	141.594
Length    6/2, alignment  9/ 9, fail:	97.6562	93.5938	148.922
Length    6/2, alignment  9/15, found:	204.266	242.516	144.859
Length    6/2, alignment  9/15, fail:	96.8438	100.906	155.438
Length    6/2, alignment 15/ 0, found:	214.031	231.125	142.422
Length    6/2, alignment 15/ 0, fail:	98.4688	93.5938	148.109
Length    6/2, alignment 15/ 3, found:	214.031	251.469	141.609
Length    6/2, alignment 15/ 3, fail:	95.2031	92.7656	147.312
Length    6/2, alignment 15/ 9, found:	214.844	230.312	142.422
Length    6/2, alignment 15/ 9, fail:	105.797	92.7812	147.297
Length    6/2, alignment 15/15, found:	215.656	253.094	140.781
Length    6/2, alignment 15/15, fail:	96.8281	92.7812	146.484
Length    8/2, alignment  0/ 0, found:	216.469	223.797	165.203
Length    8/2, alignment  0/ 0, fail:	102.531	107.422	168.453
Length    8/2, alignment  0/ 3, found:	209.953	246.578	161.938
Length    8/2, alignment  0/ 3, fail:	100.906	97.6562	170.078
Length    8/2, alignment  0/ 9, found:	209.953	223.797	162.75
Length    8/2, alignment  0/ 9, fail:	100.109	97.6562	177.406
Length    8/2, alignment  0/15, found:	209.141	248.203	161.938
Length    8/2, alignment  0/15, fail:	102.547	98.4688	168.453
Length    8/2, alignment  3/ 0, found:	209.156	222.969	162.766
Length    8/2, alignment  3/ 0, fail:	103.359	107.422	168.453
Length    8/2, alignment  3/ 3, found:	208.344	244.969	161.141
Length    8/2, alignment  3/ 3, fail:	101.719	107.422	169.281
Length    8/2, alignment  3/ 9, found:	207.516	222.984	161.938
Length    8/2, alignment  3/ 9, fail:	100.094	98.4688	168.453
Length    8/2, alignment  3/15, found:	209.156	247.406	161.953
Length    8/2, alignment  3/15, fail:	100.922	98.4688	176.594
Length    8/2, alignment  9/ 0, found:	220.531	236	161.938
Length    8/2, alignment  9/ 0, fail:	103.344	97.6562	168.453
Length    8/2, alignment  9/ 3, found:	219.734	268.547	163.578
Length    8/2, alignment  9/ 3, fail:	101.719	108.234	166.828
Length    8/2, alignment  9/ 9, found:	219.719	236	163.578
Length    8/2, alignment  9/ 9, fail:	101.734	98.4688	167.641
Length    8/2, alignment  9/15, found:	219.719	258.797	171.719
Length    8/2, alignment  9/15, fail:	100.922	98.4688	166.016
Length    8/2, alignment 15/ 0, found:	218.922	223.797	161.938
Length    8/2, alignment 15/ 0, fail:	100.906	97.6562	179.031
Length    8/2, alignment 15/ 3, found:	208.328	244.953	161.125
Length    8/2, alignment 15/ 3, fail:	101.734	99.2812	168.453
Length    8/2, alignment 15/ 9, found:	209.953	233.547	161.953
Length    8/2, alignment 15/ 9, fail:	101.719	98.4688	168.453
Length    8/2, alignment 15/15, found:	237.641	247.406	162.766
Length    8/2, alignment 15/15, fail:	100.906	97.6562	169.266
Length   10/2, alignment  0/ 0, found:	242.516	228.672	213.219
Length   10/2, alignment  0/ 0, fail:	111.484	103.344	209.156
Length   10/2, alignment  0/ 3, found:	214.031	249.844	202.641
Length   10/2, alignment  0/ 3, fail:	108.234	111.484	209.156
Length   10/2, alignment  0/ 9, found:	214.844	227.062	211.594
Length   10/2, alignment  0/ 9, fail:	105.797	103.359	210.766
Length   10/2, alignment  0/15, found:	221.359	251.453	201.828
Length   10/2, alignment  0/15, fail:	107.422	102.531	209.953
Length   10/2, alignment  3/ 0, found:	224.609	241.703	204.25
Length   10/2, alignment  3/ 0, fail:	106.609	102.547	209.141
Length   10/2, alignment  3/ 3, found:	227.062	262.047	204.266
Length   10/2, alignment  3/ 3, fail:	106.609	103.359	217.297
Length   10/2, alignment  3/ 9, found:	225.422	239.25	202.641
Length   10/2, alignment  3/ 9, fail:	106.609	103.344	209.156
Length   10/2, alignment  3/15, found:	224.609	274.25	201.828
Length   10/2, alignment  3/15, fail:	109.859	104.984	210.781
Length   10/2, alignment  9/ 0, found:	214.031	231.109	203.453
Length   10/2, alignment  9/ 0, fail:	107.422	103.344	209.953
Length   10/2, alignment  9/ 3, found:	214.031	250.656	201.828
Length   10/2, alignment  9/ 3, fail:	105.797	104.172	218.094
Length   10/2, alignment  9/ 9, found:	214.031	229.484	202.641
Length   10/2, alignment  9/ 9, fail:	107.422	103.344	208.328
Length   10/2, alignment  9/15, found:	213.219	261.234	201.812
Length   10/2, alignment  9/15, fail:	107.422	103.359	209.969
Length   10/2, alignment 15/ 0, found:	226.25	240.078	189.609
Length   10/2, alignment 15/ 0, fail:	118	103.359	193.688
Length   10/2, alignment 15/ 3, found:	226.234	262.047	189.609
Length   10/2, alignment 15/ 3, fail:	107.422	103.359	194.5
Length   10/2, alignment 15/ 9, found:	224.609	241.703	189.609
Length   10/2, alignment 15/ 9, fail:	116.375	123.688	196.953
Length   10/2, alignment 15/15, found:	234.375	272.625	198.578
Length   10/2, alignment 15/15, fail:	107.422	103.344	196.125
Length   12/2, alignment  0/ 0, found:	236.828	233.562	222.172
Length   12/2, alignment  0/ 0, fail:	121.25	118	229.484
Length   12/2, alignment  0/ 3, found:	246.578	257.969	222.984
Length   12/2, alignment  0/ 3, fail:	122.062	118	227.047
Length   12/2, alignment  0/ 9, found:	219.734	232.75	221.344
