                            	wcpncpy	simple_wcpncpy	stupid_wcpncpy
Length   16, n   16, alignment  1/ 1:	130.203	124.516	178.219
Length   16, n   16, alignment  1/ 1:	109.859	120.438	983.062
Length   16, n   16, alignment  1/ 2:	110.672	120.438	179.047
Length   16, n   16, alignment  2/ 1:	111.484	122.078	178.219
Length    2, n    4, alignment  7/ 2:	65.9062	62.6562	77.3125
Length    4, n    2, alignment  2/ 7:	61.0469	52.0781	66.7344
Length    2, n    4, alignment  7/ 2:	63.4844	55.3281	73.25
Length    4, n    2, alignment  2/ 7:	59.4062	51.2656	67.5469
Length   16, n   16, alignment  2/ 2:	109.859	120.438	176.594
Length   16, n   16, alignment  2/ 2:	109.047	120.453	176.594
Length   16, n   16, alignment  2/ 4:	110.672	120.438	176.594
Length   16, n   16, alignment  4/ 2:	109.859	119.641	176.594
Length    4, n    8, alignment  6/ 4:	73.2344	78.9375	95.2188
Length    8, n    4, alignment  4/ 6:	64.2969	61.0312	80.5625
Length    4, n    8, alignment  6/ 4:	69.9844	78.9375	95.2188
Length    8, n    4, alignment  4/ 6:	64.2969	61.8594	80.5625
Length   16, n   16, alignment  3/ 3:	109.859	119.641	176.594
Length   16, n   16, alignment  3/ 3:	109.859	120.438	178.219
Length   16, n   16, alignment  3/ 6:	109.859	120.453	176.594
Length   16, n   16, alignment  6/ 3:	109.062	120.453	177.406
Length    8, n   16, alignment  5/ 6:	97.6562	109.859	142.406
Length   16, n    8, alignment  6/ 5:	83.8281	87.8906	111.5
Length    8, n   16, alignment  5/ 6:	94.3906	109.047	141.594
Length   16, n    8, alignment  6/ 5:	83.8281	87.8906	112.312
Length   16, n   16, alignment  4/ 4:	109.047	119.625	177.406
Length   16, n   16, alignment  4/ 4:	109.859	121.266	175.781
Length   16, n   16, alignment  4/ 0:	110.672	119.625	177.406
Length   16, n   16, alignment  0/ 4:	109.047	120.453	177.406
Length   16, n   32, alignment  4/ 0:	147.297	163.578	222.984
Length   32, n   16, alignment  0/ 4:	110.672	119.625	176.594
Length   16, n   32, alignment  4/ 0:	147.297	164.391	221.359
Length   32, n   16, alignment  0/ 4:	109.859	119.625	176.594
Length   16, n   16, alignment  5/ 5:	109.047	121.25	176.594
Length   16, n   16, alignment  5/ 5:	109.062	120.453	176.594
Length   16, n   16, alignment  5/ 2:	109.047	120.453	175.781
Length   16, n   16, alignment  2/ 5:	109.875	120.438	176.594
Length   32, n   64, alignment  3/ 2:	223.797	257.156	352.375
Length   64, n   32, alignment  2/ 3:	160.312	188	280.75
Length   32, n   64, alignment  3/ 2:	224.609	257.969	352.375
Length   64, n   32, alignment  2/ 3:	159.5	186.359	279.953
Length   16, n   16, alignment  6/ 6:	109.062	119.625	176.609
Length   16, n   16, alignment  6/ 6:	109.875	120.438	176.594
Length   16, n   16, alignment  6/ 4:	109.047	120.438	176.594
Length   16, n   16, alignment  4/ 6:	109.859	121.266	176.594
Length   64, n  128, alignment  2/ 4:	378.422	443.516	610.359
Length  128, n   64, alignment  4/ 2:	260.422	320.641	487.469
Length   64, n  128, alignment  2/ 4:	377.609	444.344	612.797
Length  128, n   64, alignment  4/ 2:	258.797	320.641	488.281
Length   16, n   16, alignment  7/ 7:	110.672	120.453	176.594
Length   16, n   16, alignment  7/ 7:	111.5	120.438	175.781
Length   16, n   16, alignment  7/ 6:	109.859	120.438	176.594
Length   16, n   16, alignment  6/ 7:	109.047	119.625	177.406
Length  128, n  256, alignment  1/ 6:	684.406	817.047	1131.19
Length  256, n  128, alignment  6/ 1:	458.984	587.562	900.875
Length  128, n  256, alignment  1/ 6:	685.219	818.688	1131.98
Length  256, n  128, alignment  6/ 1:	459.797	587.562	900.875
Length    8, n   16, alignment  0/ 0:	94.4062	109.875	140.797
Length   32, n   16, alignment  0/ 0:	108.234	120.453	177.406
Length    8, n   16, alignment  7/ 2:	95.2031	109.062	142.422
Length   32, n   16, alignment  7/ 2:	109.062	119.641	177.422
Length   16, n   32, alignment  0/ 0:	147.297	163.578	222.172
Length   64, n   32, alignment  0/ 0:	160.312	187.984	279.141
Length   16, n   32, alignment  6/ 4:	148.109	162.75	221.359
Length   64, n   32, alignment  6/ 4:	159.5	187.984	280.766
Length   32, n   64, alignment  0/ 0:	224.609	257.156	352.375
Length  128, n   64, alignment  0/ 0:	262.047	321.453	487.469
Length   32, n   64, alignment  5/ 6:	223.781	257.172	350.75
Length  128, n   64, alignment  5/ 6:	258.781	320.641	486.641
Length   64, n  128, alignment  0/ 0:	378.422	444.328	610.344
Length  256, n  128, alignment  0/ 0:	460.609	587.578	900.062
Length   64, n  128, alignment  4/ 0:	378.422	445.156	611.172
Length  256, n  128, alignment  4/ 0:	458.984	587.562	900.875
Length  128, n  256, alignment  0/ 0:	684.406	817.875	1131.19
Length  512, n  256, alignment  0/ 0:	860.188	1120.61	1727.7
Length  128, n  256, alignment  3/ 2:	685.219	817.062	1132
Length  512, n  256, alignment  3/ 2:	859.375	1119.8	1727.7
Length  256, n  512, alignment  0/ 0:	1298.02	1563.31	2172.05
Length 1024, n  512, alignment  0/ 0:	1660.16	2187.5	3381.34
Length  256, n  512, alignment  2/ 4:	1298.02	1563.31	2172.03
Length 1024, n  512, alignment  2/ 4:	1857.09	2189.12	3382.17
Length  512, n 1024, alignment  0/ 0:	2524.42	3058.27	4252.12
Length  512, n 1024, alignment  1/ 6:	2524.41	3056.64	4251.31
