                       	wcscpy	simple_wcscpy
Length    0, alignments in bytes  0/ 0:	69.1719	43.9531
Length    0, alignments in bytes  0/ 0:	43.1406	36.625
Length    0, alignments in bytes  0/ 0:	43.125	35.8125
Length    0, alignments in bytes  0/ 0:	43.1406	35.8125
Length    1, alignments in bytes  0/ 0:	48.0156	41.5
Length    1, alignments in bytes  0/ 0:	48.0156	39.875
Length    1, alignments in bytes  0/ 4:	48.8281	39.875
Length    1, alignments in bytes  4/ 0:	47.2031	41.5
Length    2, alignments in bytes  0/ 0:	49.6406	43.9375
Length    2, alignments in bytes  0/ 0:	50.4531	43.125
Length    2, alignments in bytes  0/ 8:	50.4688	43.9531
Length    2, alignments in bytes  8/ 0:	50.4531	43.125
Length    3, alignments in bytes  0/ 0:	55.3438	48
Length    3, alignments in bytes  0/ 0:	53.7188	47.1875
Length    3, alignments in bytes  0/12:	53.7188	45.5781
Length    3, alignments in bytes 12/ 0:	53.7031	45.5625
Length    4, alignments in bytes  0/ 0:	55.3438	50.4531
Length    4, alignments in bytes  0/ 0:	55.3438	49.6562
Length    4, alignments in bytes  0/16:	56.1562	48.8281
Length    4, alignments in bytes 16/ 0:	54.5312	48.8281
Length    5, alignments in bytes  0/ 0:	60.2344	52.9062
Length    5, alignments in bytes  0/ 0:	56.9688	52.0938
Length    5, alignments in bytes  0/20:	59.4062	51.2656
Length    5, alignments in bytes 20/ 0:	57.7812	52.0781
Length    6, alignments in bytes  0/ 0:	70.7969	55.3438
Length    6, alignments in bytes  0/ 0:	71.625	52.8906
Length    6, alignments in bytes  0/24:	72.4219	53.7188
Length    6, alignments in bytes 24/ 0:	61.0469	54.5312
Length    7, alignments in bytes  0/ 0:	73.25	58.5938
Length    7, alignments in bytes  0/ 0:	65.1094	58.5938
Length    7, alignments in bytes  0/28:	62.6562	57.7812
Length    7, alignments in bytes 28/ 0:	63.4688	56.9688
Length    8, alignments in bytes  0/ 0:	75.6719	70
Length    8, alignments in bytes  0/ 0:	76.5	70.7969
