                                	wcscspn	simple_wcscspn	stupid_wcscspn
Length  512, alignment  0, rej len  0:	5205.08	2609.88	3920.89
Length  512, alignment  0, rej len  0:	5172.52	2607.42	3923.34
Length  512, alignment  0, rej len  1:	7307.12	5166.02	6057.95
Length  512, alignment  1, rej len  1:	7307.14	5165.2	6057.14
Length  512, alignment  0, rej len  2:	10301.9	6875	8225.09
Length  512, alignment  2, rej len  2:	10249	6875.83	8222.66
Length  512, alignment  0, rej len  3:	13903	8592.12	10291.3
Length  512, alignment  3, rej len  3:	12905.3	8579.91	10301.9
Length  512, alignment  0, rej len  4:	15349.9	10287.3	10763.3
Length  512, alignment  4, rej len  4:	15014.7	10301.1	10805.7
Length  512, alignment  0, rej len  5:	18710.1	12006	14258.6
Length  512, alignment  5, rej len  5:	18518.1	12004.4	12570
Length  512, alignment  0, rej len  6:	20349.9	17031.2	20102.5
Length  512, alignment  6, rej len  6:	20858.6	17052.4	20113.9
Length  512, alignment  0, rej len  7:	22013.3	19015.3	21626.8
Length  512, alignment  7, rej len  7:	22023.9	19026.7	21925.5
Length  512, alignment  0, rej len  8:	23737.8	20738.9	23434.2
Length  512, alignment  0, rej len  8:	23717.5	20721	23583.2
Length  512, alignment  0, rej len  9:	25481	22442.2	25140.8
Length  512, alignment  1, rej len  9:	25492.4	22455.2	25153.8
Length  512, alignment  0, rej len 10:	27383.6	24164.2	26862.8
Length  512, alignment  2, rej len 10:	27178.5	24143.1	27023.1
Length  512, alignment  0, rej len 11:	28886.7	25849.6	28548.2
Length  512, alignment  3, rej len 11:	28883.5	25855.3	28999.8
Length  512, alignment  0, rej len 12:	30625.8	27585.4	30290.5
Length  512, alignment  4, rej len 12:	30585.1	27740.9	30232.8
Length  512, alignment  0, rej len 13:	32319.3	29282.2	31990.6
Length  512, alignment  5, rej len 13:	32524.4	29293.6	31998.7
Length  512, alignment  0, rej len 14:	34039.7	31002.6	33897.3
Length  512, alignment  6, rej len 14:	34047.9	31008.3	33723.2
Length  512, alignment  0, rej len 15:	35906.6	32676.6	35385.7
Length  512, alignment  7, rej len 15:	35745.5	32896.3	35420.7
Length  512, alignment  0, rej len 16:	37463.4	34425.5	37140.3
Length  512, alignment  0, rej len 16:	37591.2	34409.2	37124
Length  512, alignment  0, rej len 17:	39138.2	36522.6	38802.9
Length  512, alignment  1, rej len 17:	39131.7	36091.3	38968.9
Length  512, alignment  0, rej len 18:	40862.6	37825.5	40728.4
Length  512, alignment  2, rej len 18:	40872.4	37832	40552.6
Length  512, alignment  0, rej len 19:	42721.3	39538.6	42259.9
Length  512, alignment  3, rej len 19:	42555.3	39838	42238.8
Length  512, alignment  0, rej len 20:	44274.1	41390.8	43960.8
Length  512, alignment  4, rej len 20:	44308.3	41269.5	44206.5
Length  512, alignment  0, rej len 21:	46007.5	42969.6	45840.7
Length  512, alignment  5, rej len 21:	45953.8	42915.8	45642.9
Length  512, alignment  0, rej len 22:	47806.8	44626.5	47356.8
Length  512, alignment  6, rej len 22:	47834.5	44652.5	47382.8
Length  512, alignment  0, rej len 23:	49538.6	46324.9	49056.8
Length  512, alignment  7, rej len 23:	49559.7	46352.5	49082.8
Length  512, alignment  0, rej len 24:	51541.3	48079.4	50813
Length  512, alignment  0, rej len 24:	51297.2	48096.5	50830.9
Length  512, alignment  0, rej len 25:	52978.5	49782.7	52519.5
Length  512, alignment  1, rej len 25:	52978.5	49782.7	52520.3
Length  512, alignment  0, rej len 26:	54663.1	51466.5	54206.5
Length  512, alignment  2, rej len 26:	54669.6	51472.2	54213
Length  512, alignment  0, rej len 27:	56426.6	53230.8	55970.9
Length  512, alignment  3, rej len 27:	56422.5	53225.9	56123
Length  512, alignment  0, rej len 28:	57914.2	54874.7	57780
Length  512, alignment  4, rej len 28:	57900.4	54863.3	57763.7
Length  512, alignment  0, rej len 29:	59603.7	56722.8	59313.1
Length  512, alignment  5, rej len 29:	59612.6	56914.1	59324.5
Length  512, alignment  0, rej len 30:	61512	58303.2	61052.2
Length  512, alignment  6, rej len 30:	61512	58315.4	61066.9
Length  512, alignment  0, rej len 31:	63030.6	59991	62902
Length  512, alignment  7, rej len 31:	63029.8	60155.4	62745
Length   32, alignment  0, rej len  4:	1005.05	697.438	799.156
Length   32, alignment  1, rej len  4:	1010.73	701.5	802.422
Length   64, alignment  0, rej len  4:	1936.84	1337.08	1465.66
Length   64, alignment  2, rej len  4:	1937.66	1337.08	1464.84
Length  128, alignment  0, rej len  4:	3800.47	2615.56	2795.41
Length  128, alignment  3, rej len  4:	3876.95	2605.8	2762.03
Length  256, alignment  0, rej len  4:	7535	5174.97	5461.42
Length  256, alignment  4, rej len  4:	7564.3	5175.78	5462.23
Length  512, alignment  0, rej len  4:	15450	10286.5	10761.7
Length  512, alignment  5, rej len  4:	15013	10300.3	10803.2
Length 1024, alignment  0, rej len  4:	30651	20526.5	21428.2
Length 1024, alignment  6, rej len  4:	29947.9	20535.5	21476.2
Length   64, alignment  1, rej len 10:	3452.16	3060.72	3483.08
Length   64, alignment  2, rej len 10:	3465.98	3076.17	3498.53
Length   64, alignment  3, rej len 10:	3465.16	3074.55	3498.55
Length   64, alignment  4, rej len 10:	3475.75	3085.94	3509.11
Length   64, alignment  5, rej len 10:	3483.08	3092.44	3515.62
Length   64, alignment  6, rej len 10:	3468.42	3079.42	3502.61
Length   64, alignment  7, rej len 10:	3479	3089.19	3512.38
Length    0, alignment  0, rej len  6:	58.5938	41.5156	135.094
Length    1, alignment  0, rej len  6:	89.5156	74.0625	118.812
Length    2, alignment  0, rej len  6:	158.688	135.906	217.281
Length    3, alignment  0, rej len  6:	198.562	168.453	275.875
Length    4, alignment  0, rej len  6:	232.75	193.688	318.188
Length    5, alignment  0, rej len  6:	268.562	223.797	330.406
