                    	wcslen	simple_STRLEN
Length    1, alignment  4:	63.4844	39.0625
Length    1, alignment  0:	42.3281	37.4219
Length    2, alignment  8:	42.3125	39.0625
Length    2, alignment  0:	42.3281	38.25
Length    3, alignment 12:	45.5625	42.3125
Length    3, alignment  0:	45.5625	39.0625
Length    4, alignment 16:	48.8281	43.125
Length    4, alignment  0:	48.8281	42.3125
Length    5, alignment 20:	54.5156	45.5781
Length    5, alignment  0:	52.9062	44.75
Length    6, alignment 24:	57.7812	48.0156
Length    6, alignment  0:	56.9688	47.2031
Length    7, alignment 28:	56.1406	51.2656
Length    7, alignment  0:	56.9688	49.6406
Length    4, alignment  0:	48.0156	42.3125
Length    4, alignment 28:	48.8281	42.3125
Length    4, alignment  8:	48	42.3125
Length    2, alignment  8:	43.125	37.4375
Length    8, alignment  0:	58.5938	55.3281
Length    8, alignment 28:	57.7812	52.9062
Length    8, alignment 12:	58.5938	52.9062
Length    5, alignment 12:	53.7031	44.75
Length   16, alignment  0:	90.3281	86.2656
Length   16, alignment 28:	88.7031	83.8281
Length   16, alignment 16:	90.3281	84.6406
Length   10, alignment 16:	75.6875	68.3594
Length   32, alignment  0:	128.578	125.328
Length   32, alignment 28:	127.766	125.328
Length   32, alignment 20:	128.578	124.5
Length   21, alignment 20:	102.531	97.6562
Length   64, alignment  0:	208.344	205.078
Length   64, alignment 28:	208.344	205.078
Length   64, alignment 24:	209.156	205.078
Length   42, alignment 24:	156.25	149.734
Length  128, alignment  0:	367.844	364.578
Length  128, alignment 28:	367.031	364.578
Length  128, alignment 28:	369.469	364.578
Length   85, alignment 28:	263.672	256.344
Length  256, alignment  0:	687.656	685.219
Length  256, alignment 28:	687.672	685.219
Length  256, alignment 32:	688.484	685.234
Length  170, alignment 32:	474.438	469.562
Length  512, alignment  0:	1328.12	1324.86
Length  512, alignment 28:	1328.12	1324.88
Length  512, alignment 36:	1328.94	1324.88
Length  341, alignment 36:	902.516	897.625
Length 1024, alignment  0:	2609.05	2604.97
Length 1024, alignment 28:	2609.05	2606.61
Length 1024, alignment 40:	2609.05	2604.97
Length  682, alignment 40:	1756.19	1749.67
Length 1365, alignment 44:	3462.73	3457.84
