                       	wcsncmp	simple_wcsncmp	stupid_wcsncmp
Length    8/   1, alignment  0/ 0:	498.047	55.3281	126.953
Length    8/   1, alignment  0/ 0:	62.6562	43.9531	83.8281
Length    8/   1, alignment  0/ 0:	50.4531	46.3906	82.2031
Length    8/   1, alignment  1/ 1:	50.4531	50.4531	79.75
Length    8/   1, alignment  1/ 1:	50.4531	46.375	81.3906
Length    8/   1, alignment  1/ 1:	56.9688	46.3906	83
Length    8/   1, alignment  1/ 2:	51.2812	48.0156	78.9531
Length    8/   1, alignment  2/ 1:	51.2656	45.5781	81.375
Length    8/   1, alignment  1/ 3:	55.3438	43.9375	82.2031
Length    8/   1, alignment  0/ 0:	49.6406	49.6406	79.7656
Length    8/   1, alignment  0/ 0:	55.3438	44.75	82.1875
Length    8/   1, alignment  0/ 0:	50.4531	46.3906	83.0156
Length    8/   1, alignment  1/ 1:	50.4531	50.4531	79.75
Length    8/   1, alignment  1/ 1:	50.4531	43.9375	82.2031
Length    8/   1, alignment  1/ 1:	55.3281	43.125	82.1875
Length    8/   1, alignment  1/ 2:	49.6562	49.6406	78.125
Length    8/   1, alignment  2/ 1:	51.2656	44.75	81.375
Length    8/   1, alignment  1/ 3:	55.3438	43.9531	82.1875
Length    8/   2, alignment  0/ 0:	58.5938	57.7812	89.5156
Length    8/   2, alignment  0/ 0:	61.8438	52.8906	92.7812
Length    8/   2, alignment  0/ 0:	61.0312	53.7188	91.9531
Length    8/   2, alignment  2/ 2:	57.7812	56.9688	91.1406
Length    8/   2, alignment  2/ 2:	59.4062	54.5312	91.9688
Length    8/   2, alignment  2/ 2:	63.4688	50.4531	93.5938
Length    8/   2, alignment  2/ 4:	56.9688	56.9531	89.5156
Length    8/   2, alignment  4/ 2:	59.4062	55.3438	91.1406
Length    8/   2, alignment  2/ 6:	62.6562	49.6406	92.7656
Length    8/   2, alignment  0/ 0:	58.5938	56.1562	89.5312
Length    8/   2, alignment  0/ 0:	62.6562	51.2656	91.9688
Length    8/   2, alignment  0/ 0:	59.4062	54.5312	91.9531
Length    8/   2, alignment  2/ 2:	56.9688	56.1562	90.3438
Length    8/   2, alignment  2/ 2:	61.0469	54.5312	94.3906
Length    8/   2, alignment  2/ 2:	64.2969	50.4531	93.5781
Length    8/   2, alignment  2/ 4:	56.9688	56.1562	90.3281
Length    8/   2, alignment  4/ 2:	59.4062	53.7188	91.1406
Length    8/   2, alignment  2/ 6:	61.8438	50.4531	93.5938
Length    8/   3, alignment  0/ 0:	65.9219	62.6719	103.359
Length    8/   3, alignment  0/ 0:	67.5469	58.5938	109.047
Length    8/   3, alignment  0/ 0:	65.9219	61.8438	104.969
Length    8/   3, alignment  3/ 3:	64.2969	64.2969	108.25
Length    8/   3, alignment  3/ 3:	64.2812	59.4062	107.422
Length    8/   3, alignment  3/ 3:	67.5469	57.7812	109.047
Length    8/   3, alignment  3/ 6:	63.4844	65.9219	104.172
Length    8/   3, alignment  6/ 3:	63.4844	61.0469	105.797
Length    8/   3, alignment  3/ 1:	67.5469	57.7812	109.859
Length    8/   3, alignment  0/ 0:	63.4844	62.6562	102.547
Length    8/   3, alignment  0/ 0:	67.5469	59.4062	105.797
Length    8/   3, alignment  0/ 0:	65.1094	61.0469	104.984
Length    8/   3, alignment  3/ 3:	61.8438	61.8438	107.422
Length    8/   3, alignment  3/ 3:	63.4844	60.2344	107.422
Length    8/   3, alignment  3/ 3:	66.7344	59.4062	109.047
Length    8/   3, alignment  3/ 6:	64.2969	67.5469	104.172
Length    8/   3, alignment  6/ 3:	64.2969	60.2344	105.797
Length    8/   3, alignment  3/ 1:	67.5469	59.4062	109.875
Length    8/   4, alignment  0/ 0:	70.7969	75.6875	111.5
Length    8/   4, alignment  0/ 0:	65.9219	67.5469	116.375
Length    8/   4, alignment  0/ 0:	69.1719	68.3594	115.562
Length    8/   4, alignment  4/ 4:	71.6094	74.0625	112.312
Length    8/   4, alignment  4/ 4:	69.1875	67.5469	113.922
Length    8/   4, alignment  4/ 4:	65.9219	64.2969	114.75
Length    8/   4, alignment  4/ 0:	71.6094	74.875	110.672
Length    8/   4, alignment  8/ 4:	67.5469	66.7344	114.75
Length    8/   4, alignment  4/ 4:	65.9219	65.9219	113.938
Length    8/   4, alignment  0/ 0:	71.6094	74.875	111.484
Length    8/   4, alignment  0/ 0:	66.7188	65.1094	113.938
Length    8/   4, alignment  0/ 0:	67.5469	66.7344	112.312
Length    8/   4, alignment  4/ 4:	71.625	74.875	111.484
Length    8/   4, alignment  4/ 4:	66.7344	66.7344	113.125
Length    8/   4, alignment  4/ 4:	65.9219	64.2969	117.188
Length    8/   4, alignment  4/ 0:	71.6094	76.5	112.312
Length    8/   4, alignment  8/ 4:	68.3594	68.3594	113.125
Length    8/   4, alignment  4/ 4:	65.9219	64.2812	115.562
Length    8/   5, alignment  0/ 0:	78.125	83.0156	131.844
Length    8/   5, alignment  0/ 0:	80.5625	78.125	122.891
Length    8/   5, alignment  0/ 0:	78.125	81.3906	122.078
Length    8/   5, alignment  5/ 5:	78.125	86.2656	133.469
Length    8/   5, alignment  5/ 5:	79.75	84.6406	126.141
Length    8/   5, alignment  5/ 5:	82.2031	81.375	127.766
Length    8/   5, alignment  5/ 2:	78.9375	88.7031	133.469
Length    8/   5, alignment 10/ 5:	80.5781	83.8281	124.516
Length    8/   5, alignment  5/ 7:	80.5625	82.2031	128.578
Length    8/   5, alignment  0/ 0:	77.3125	80.5625	128.594
Length    8/   5, alignment  0/ 0:	80.5625	78.9375	122.891
Length    8/   5, alignment  0/ 0:	77.3125	80.5781	121.266
Length    8/   5, alignment  5/ 5:	78.9531	86.2656	132.641
Length    8/   5, alignment  5/ 5:	80.5781	85.4531	126.141
Length    8/   5, alignment  5/ 5:	80.5625	83	126.141
Length    8/   5, alignment  5/ 2:	78.125	86.2656	133.469
Length    8/   5, alignment 10/ 5:	80.5625	84.625	122.875
Length    8/   5, alignment  5/ 7:	81.3906	81.375	127.766
Length    8/   6, alignment  0/ 0:	83.8281	87.8906	151.359
Length    8/   6, alignment  0/ 0:	87.0625	87.8906	151.375
Length    8/   6, alignment  0/ 0:	83.8281	89.5156	149.734
Length    8/   6, alignment  6/ 6:	84.6406	93.5938	151.359
Length    8/   6, alignment  6/ 6:	86.2656	93.5781	150.547
Length    8/   6, alignment  6/ 6:	89.5156	91.9531	153.797
Length    8/   6, alignment  6/ 4:	83.8125	88.7031	149.75
Length    8/   6, alignment 12/ 6:	85.4531	90.3438	150.547
Length    8/   6, alignment  6/ 2:	90.3281	91.9531	152.188
Length    8/   6, alignment  0/ 0:	83	87.0781	151.359
Length    8/   6, alignment  0/ 0:	86.25	86.2656	152.188
Length    8/   6, alignment  0/ 0:	84.6406	88.7031	149.75
Length    8/   6, alignment  6/ 6:	85.4375	91.9531	152.188
Length    8/   6, alignment  6/ 6:	86.25	94.4062	151.375
Length    8/   6, alignment  6/ 6:	86.2656	92.7656	152.172
Length    8/   6, alignment  6/ 4:	84.6406	88.7031	148.922
Length    8/   6, alignment 12/ 6:	85.4531	91.1406	150.562
Length    8/   6, alignment  6/ 2:	90.3281	91.9531	153
Length    8/   7, alignment  0/ 0:	88.7031	85.4531	166.016
Length    8/   7, alignment  0/ 0:	92.7656	93.5781	166.016
Length    8/   7, alignment  0/ 0:	90.3281	95.2031	165.188
Length    8/   7, alignment  7/ 7:	93.5938	100.094	177.406
Length    8/   7, alignment  7/ 7:	93.5938	101.719	175.781
Length    8/   7, alignment  7/ 7:	94.4062	99.2969	177.422
Length    8/   7, alignment  7/ 6:	93.5938	100.094	176.594
Length    8/   7, alignment 14/ 7:	94.4062	103.344	174.953
Length    8/   7, alignment  7/ 5:	94.3906	101.719	178.219
Length    8/   7, alignment  0/ 0:	88.7031	83.8281	165.203
Length    8/   7, alignment  0/ 0:	92.7812	94.3906	165.203
Length    8/   7, alignment  0/ 0:	90.3438	95.2188	164.391
Length    8/   7, alignment  7/ 7:	93.5781	100.094	177.406
Length    8/   7, alignment  7/ 7:	93.5938	102.531	174.969
Length    8/   7, alignment  7/ 7:	95.2031	100.922	177.406
Length    8/   7, alignment  7/ 6:	92.7812	99.2812	177.422
Length    8/   7, alignment 14/ 7:	92.7656	103.359	177.406
