                    	wmemchr	simple_wmemchr
Length  256, position   64, alignment  1:	274.25	380.047
Length  256, position   64, alignment  1:	247.406	364.578
Length  256, position   64, alignment  2:	249.828	363.766
Length  256, position   64, alignment  2:	247.391	363.766
Length  256, position   64, alignment  3:	246.578	363.781
Length  256, position   64, alignment  3:	246.578	364.578
Length  256, position   64, alignment  4:	246.594	364.578
Length  256, position   64, alignment  4:	247.391	363.781
Length  256, position   64, alignment  5:	247.406	365.391
Length  256, position   64, alignment  5:	246.578	365.406
Length  256, position   64, alignment  6:	247.391	364.578
Length  256, position   64, alignment  6:	246.578	365.406
Length  256, position   64, alignment  7:	256.359	366.203
Length  256, position   64, alignment  7:	246.594	363.781
Length    2, position    1, alignment  0:	47.2031	40.6875
Length    2, position    1, alignment  0:	48.0156	39.875
Length    2, position    1, alignment  1:	47.2031	39.875
Length    2, position    1, alignment  1:	46.3906	39.875
Length    3, position    2, alignment  0:	47.1875	44.7656
Length    3, position    2, alignment  0:	48.8281	44.7656
Length    3, position    2, alignment  2:	47.2031	44.7656
Length    3, position    2, alignment  2:	47.1875	43.9375
Length    4, position    3, alignment  0:	46.3906	48.0156
Length    4, position    3, alignment  0:	47.2031	48.0156
Length    4, position    3, alignment  3:	55.3438	47.2031
Length    4, position    3, alignment  3:	47.2031	48.0156
Length    5, position    4, alignment  0:	48.8281	52.8906
Length    5, position    4, alignment  0:	48.0156	52.9062
Length    5, position    4, alignment  4:	48.0156	52.0938
Length    5, position    4, alignment  4:	49.6406	52.0781
Length    6, position    5, alignment  0:	55.3438	69.1719
Length    6, position    5, alignment  0:	52.8906	68.3594
Length    6, position    5, alignment  5:	53.7031	69.9844
Length    6, position    5, alignment  5:	53.7188	68.3594
Length    7, position    6, alignment  0:	56.1562	74.0625
Length    7, position    6, alignment  0:	56.1562	74.0625
Length    7, position    6, alignment  6:	56.1562	74.0625
Length    7, position    6, alignment  6:	56.9688	74.0625
Length    8, position    7, alignment  0:	58.5938	79.75
Length    8, position    7, alignment  0:	59.4062	80.5625
Length    8, position    7, alignment  7:	57.7812	78.9375
Length    8, position    7, alignment  7:	59.4062	79.7656
Length    9, position    8, alignment  0:	60.2188	84.625
Length    9, position    8, alignment  0:	61.8594	84.6406
Length    9, position    8, alignment  0:	61.0312	84.625
Length    9, position    8, alignment  0:	61.8438	83.8125
Length   10, position    9, alignment  0:	65.9219	90.3438
Length   10, position    9, alignment  0:	66.7188	90.3438
Length   10, position    9, alignment  1:	66.7344	89.5156
Length   10, position    9, alignment  1:	76.5	89.5156
Length   11, position   10, alignment  0:	68.3594	94.3906
Length   11, position   10, alignment  0:	69.1719	94.4062
Length   11, position   10, alignment  2:	68.3594	95.2188
Length   11, position   10, alignment  2:	69.1719	94.3906
Length   12, position   11, alignment  0:	69.1719	97.6562
Length   12, position   11, alignment  0:	69.1719	98.4688
Length   12, position   11, alignment  3:	69.1719	99.2812
Length   12, position   11, alignment  3:	68.3594	100.094
Length   13, position   12, alignment  0:	74.0625	104.172
Length   13, position   12, alignment  0:	73.2344	104.984
Length   13, position   12, alignment  4:	74.0625	104.172
Length   13, position   12, alignment  4:	73.25	104.172
Length   14, position   13, alignment  0:	79.7656	109.062
Length   14, position   13, alignment  0:	79.75	109.859
Length   14, position   13, alignment  5:	78.9375	109.859
Length   14, position   13, alignment  5:	79.75	109.047
Length   15, position   14, alignment  0:	80.5781	113.938
Length   15, position   14, alignment  0:	81.375	114.75
Length   15, position   14, alignment  6:	81.3906	113.125
Length   15, position   14, alignment  6:	81.3906	115.562
Length   16, position   15, alignment  0:	94.4062	119.625
Length   16, position   15, alignment  0:	93.5938	119.625
Length   16, position   15, alignment  7:	92.7812	120.438
Length   16, position   15, alignment  7:	93.5781	118.812
Length   17, position   16, alignment  0:	95.2188	134.266
Length   17, position   16, alignment  0:	94.4062	124.516
Length   17, position   16, alignment  0:	93.5938	123.688
Length   17, position   16, alignment  0:	94.4062	123.703
Length   18, position   17, alignment  0:	99.2812	130.203
Length   18, position   17, alignment  0:	99.2812	129.391
Length   18, position   17, alignment  1:	99.2812	129.406
Length   18, position   17, alignment  1:	106.609	128.578
Length   19, position   18, alignment  0:	100.109	133.469
Length   19, position   18, alignment  0:	100.094	135.094
Length   19, position   18, alignment  2:	100.094	134.281
Length   19, position   18, alignment  2:	100.094	144.047
Length   20, position   19, alignment  0:	107.422	139.156
Length   20, position   19, alignment  0:	107.422	139.969
Length   20, position   19, alignment  3:	106.609	139.156
Length   20, position   19, alignment  3:	108.234	139.156
Length   21, position   20, alignment  0:	109.047	144.031
Length   21, position   20, alignment  0:	109.062	144.859
Length   21, position   20, alignment  4:	109.859	144.031
Length   21, position   20, alignment  4:	109.062	144.047
Length   22, position   21, alignment  0:	123.703	149.734
Length   22, position   21, alignment  0:	114.734	148.922
Length   22, position   21, alignment  5:	114.734	149.734
Length   22, position   21, alignment  5:	114.75	148.922
Length   23, position   22, alignment  0:	116.375	154.625
Length   23, position   22, alignment  0:	115.562	153.812
Length   23, position   22, alignment  6:	114.75	163.578
Length   23, position   22, alignment  6:	115.562	155.438
Length   24, position   23, alignment  0:	121.25	161.125
Length   24, position   23, alignment  0:	119.625	159.516
Length   24, position   23, alignment  7:	119.641	159.516
Length   24, position   23, alignment  7:	120.438	161.125
Length   25, position   24, alignment  0:	122.062	164.391
Length   25, position   24, alignment  0:	122.062	164.391
Length   25, position   24, alignment  0:	121.25	165.203
Length   25, position   24, alignment  0:	122.078	163.562
Length   26, position   25, alignment  0:	127.766	169.281
Length   26, position   25, alignment  0:	126.953	169.266
Length   26, position   25, alignment  1:	127.766	169.266
Length   26, position   25, alignment  1:	126.141	168.453
Length   27, position   26, alignment  0:	129.406	175.781
Length   27, position   26, alignment  0:	129.406	174.156
Length   27, position   26, alignment  2:	126.953	174.969
Length   27, position   26, alignment  2:	126.953	174.156
Length   28, position   27, alignment  0:	131.828	179.844
Length   28, position   27, alignment  0:	131.844	179.047
Length   28, position   27, alignment  3:	132.641	179.047
Length   28, position   27, alignment  3:	132.656	179.047
Length   29, position   28, alignment  0:	135.094	183.922
Length   29, position   28, alignment  0:	134.266	185.547
Length   29, position   28, alignment  4:	135.094	184.734
Length   29, position   28, alignment  4:	134.281	183.922
Length   30, position   29, alignment  0:	139.969	190.422
Length   30, position   29, alignment  0:	139.969	189.609
Length   30, position   29, alignment  5:	139.969	189.625
Length   30, position   29, alignment  5:	139.156	189.609
Length   31, position   30, alignment  0:	140.781	194.5
Length   31, position   30, alignment  0:	139.156	195.312
Length   31, position   30, alignment  6:	139.969	193.688
Length   31, position   30, alignment  6:	139.156	194.5
Length   32, position   31, alignment  0:	144.047	199.391
Length   32, position   31, alignment  0:	144.031	199.375
Length   32, position   31, alignment  7:	144.859	199.391
Length   32, position   31, alignment  7:	144.859	199.375
