                        	wmemset	simple_wmemset
Length    1, alignment  0, c -65:	74.0625	39.0625
Length    2, alignment  0, c -65:	47.2031	43.125
Length    4, alignment  0, c -65:	44.75	46.375
Length    8, alignment  0, c -65:	50.4531	56.1406
Length   16, alignment  0, c -65:	59.4062	74.875
Length   32, alignment  0, c -65:	78.125	100.906
Length   64, alignment  0, c -65:	118.828	153.812
Length  128, alignment  0, c -65:	186.375	259.609
Length  256, alignment  0, c -65:	319.828	474.438
Length  512, alignment  0, c -65:	586.75	902.5
Length 1024, alignment  0, c -65:	1120.61	1756.19
Length 2048, alignment  0, c -65:	2187.5	3463.55
Length 4096, alignment  0, c -65:	4322.92	7676.59
Length 8192, alignment  0, c -65:	8591.31	13707.7
Length 16384, alignment  0, c -65:	17175.3	27407.2
Length 32768, alignment  0, c -65:	34406.8	55172.5
Length    1, alignment  1, c -65:	47.1875	39.875
Length    2, alignment  2, c -65:	47.1875	40.6875
Length    3, alignment  3, c -65:	44.7656	41.5
Length    3, alignment  0, c -65:	46.3906	42.3125
Length    4, alignment  4, c -65:	46.3906	44.7656
Length    5, alignment  5, c -65:	47.2031	45.5781
Length    5, alignment  0, c -65:	46.375	44.75
Length    6, alignment  6, c -65:	48.8281	47.1875
Length    6, alignment  0, c -65:	50.4531	46.375
Length    7, alignment  7, c -65:	49.6406	49.6406
Length    7, alignment  0, c -65:	49.6406	49.6406
Length    8, alignment  8, c -65:	50.4531	51.2656
Length    9, alignment  9, c -65:	52.0938	56.1562
Length    9, alignment  0, c -65:	51.2812	55.3438
Length   10, alignment 10, c -65:	55.3438	63.4844
Length   10, alignment  0, c -65:	53.7188	63.4688
Length   11, alignment 11, c -65:	53.7188	65.0938
Length   11, alignment  0, c -65:	52.9062	65.1094
Length   12, alignment 12, c -65:	56.1562	67.5469
Length   12, alignment  0, c -65:	53.7188	67.5469
Length   13, alignment 13, c -65:	56.1562	68.3594
Length   13, alignment  0, c -65:	55.3438	69.9844
Length   14, alignment 14, c -65:	56.9688	70.8125
Length   14, alignment  0, c -65:	56.9688	69.1719
Length   15, alignment 15, c -65:	56.9688	74.0625
Length   15, alignment  0, c -65:	56.9688	72.4219
Length   16, alignment 16, c -65:	59.4062	73.2344
Length   17, alignment 17, c -65:	60.2188	75.6875
Length   17, alignment  0, c -65:	59.4062	75.6719
Length   18, alignment 18, c -65:	62.6719	77.3125
Length   18, alignment  0, c -65:	61.8594	76.5
Length   19, alignment 19, c -65:	61.8594	78.125
Length   19, alignment  0, c -65:	62.6719	79.75
Length   20, alignment 20, c -65:	64.2812	79.75
Length   20, alignment  0, c -65:	63.4688	80.5625
Length   21, alignment 21, c -65:	63.4688	81.3906
Length   21, alignment  0, c -65:	63.4844	82.1875
Length   22, alignment 22, c -65:	65.9062	83.0156
Length   22, alignment  0, c -65:	64.2812	83.0156
Length   23, alignment 23, c -65:	65.9219	85.4375
Length   23, alignment  0, c -65:	65.9219	86.2656
Length   24, alignment 24, c -65:	69.1719	87.0781
Length   24, alignment  0, c -65:	65.9219	87.0625
Length   25, alignment 25, c -65:	68.3594	88.7031
Length   25, alignment  0, c -65:	68.3594	88.7031
Length   26, alignment 26, c -65:	69.1719	90.3281
Length   26, alignment  0, c -65:	69.9844	90.3281
Length   27, alignment 27, c -65:	70	93.5781
Length   27, alignment  0, c -65:	69.1719	91.1406
Length   28, alignment 28, c -65:	72.4375	93.5781
Length   28, alignment  0, c -65:	71.6094	93.5781
Length   29, alignment 29, c -65:	73.25	95.2188
Length   29, alignment  0, c -65:	72.4375	96.0312
Length   30, alignment 30, c -65:	74.0625	96.8281
Length   30, alignment  0, c -65:	74.0469	97.6562
Length   31, alignment 31, c -65:	74.0469	98.4688
Length   31, alignment  0, c -65:	74.0625	98.4688
Length   32, alignment  0, c -65:	78.9531	100.109
Length   32, alignment 32, c -65:	74.875	100.094
Length   64, alignment  0, c -65:	120.453	153
Length   64, alignment  0, c -65:	118.812	152.172
Length   96, alignment  0, c -65:	153.812	207.531
Length   96, alignment 32, c -65:	153	206.703
Length  128, alignment  0, c -65:	185.547	259.609
Length  128, alignment  0, c -65:	185.547	260.422
Length  160, alignment  0, c -65:	219.734	314.125
Length  160, alignment 32, c -65:	220.531	312.5
Length  192, alignment  0, c -65:	252.281	367.031
Length  192, alignment  0, c -65:	253.094	367.031
Length  224, alignment  0, c -65:	286.469	419.922
Length  224, alignment 32, c -65:	286.469	420.734
Length  256, alignment  0, c -65:	319.812	472.828
Length  256, alignment  0, c -65:	319	473.625
Length  288, alignment  0, c -65:	352.375	526.516
Length  288, alignment 32, c -65:	354	526.531
Length  320, alignment  0, c -65:	386.547	581.062
Length  320, alignment  0, c -65:	386.562	580.25
Length  352, alignment  0, c -65:	419.109	633.141
Length  352, alignment 32, c -65:	419.094	633.141
Length  384, alignment  0, c -65:	451.656	686.031
Length  384, alignment  0, c -65:	453.297	686.859
Length  416, alignment  0, c -65:	486.656	740.562
Length  416, alignment 32, c -65:	485.828	739.75
Length  448, alignment  0, c -65:	519.219	794.266
Length  448, alignment  0, c -65:	520.016	794.266
Length  480, alignment  0, c -65:	552.562	846.359
Length  480, alignment 32, c -65:	553.375	846.344
Length   14, alignment  1, c -65:	56.9688	71.6094
Length 1024, alignment  3, c -65:	1119.8	1753.75
Length   64, alignment  4, c -65:	120.438	153
Length   25, alignment  2, c -65:	67.5469	89.5312
Length    1, alignment  0, c  0:	45.5625	37.4375
Length    2, alignment  0, c  0:	48.0156	42.3281
Length    4, alignment  0, c  0:	44.7656	43.9531
Length    8, alignment  0, c  0:	50.4688	51.2812
Length   16, alignment  0, c  0:	60.2344	73.2344
Length   32, alignment  0, c  0:	77.3125	100.109
Length   64, alignment  0, c  0:	120.438	154.625
Length  128, alignment  0, c  0:	185.547	260.422
Length  256, alignment  0, c  0:	319	474.453
Length  512, alignment  0, c  0:	585.938	899.25
Length 1024, alignment  0, c  0:	1119.78	1753.75
Length 2048, alignment  0, c  0:	2187.5	3461.09
Length 4096, alignment  0, c  0:	4319.67	6875.81
Length 8192, alignment  0, c  0:	8851.73	13706
Length 16384, alignment  0, c  0:	17173.7	27403.2
Length 32768, alignment  0, c  0:	34293.6	54955.2
Length    1, alignment  1, c  0:	45.5625	36.625
Length    2, alignment  2, c  0:	46.3906	40.6875
Length    3, alignment  3, c  0:	47.2031	43.9531
Length    3, alignment  0, c  0:	46.3906	43.9531
Length    4, alignment  4, c  0:	45.5625	43.9531
Length    5, alignment  5, c  0:	48.0156	45.5781
Length    5, alignment  0, c  0:	47.2031	45.5781
Length    6, alignment  6, c  0:	49.6406	47.1875
Length    6, alignment  0, c  0:	47.2031	46.375
Length    7, alignment  7, c  0:	49.6406	48.8281
Length    7, alignment  0, c  0:	50.4688	48.8281
Length    8, alignment  8, c  0:	52.0938	49.6406
Length    9, alignment  9, c  0:	52.9062	55.3281
Length    9, alignment  0, c  0:	52.0781	55.3438
Length   10, alignment 10, c  0:	53.7188	63.4688
Length   10, alignment  0, c  0:	53.7188	62.6562
Length   11, alignment 11, c  0:	52.8906	64.2969
Length   11, alignment  0, c  0:	53.7188	65.9219
Length   12, alignment 12, c  0:	57.7812	66.7344
Length   12, alignment  0, c  0:	55.3438	66.7188
Length   13, alignment 13, c  0:	56.1562	68.3594
Length   13, alignment  0, c  0:	55.3281	68.3594
Length   14, alignment 14, c  0:	58.5938	69.9844
Length   14, alignment  0, c  0:	56.1562	69.9844
Length   15, alignment 15, c  0:	56.9688	72.4375
Length   15, alignment  0, c  0:	56.1562	71.6094
Length   16, alignment 16, c  0:	58.5938	72.4375
Length   17, alignment 17, c  0:	60.2188	75.6875
Length   17, alignment  0, c  0:	60.2188	75.6875
Length   18, alignment 18, c  0:	61.8594	76.5
Length   18, alignment  0, c  0:	61.8438	77.3125
Length   19, alignment 19, c  0:	61.0312	79.75
Length   19, alignment  0, c  0:	60.2188	78.9375
Length   20, alignment 20, c  0:	63.4844	80.5625
Length   20, alignment  0, c  0:	61.8438	80.5781
Length   21, alignment 21, c  0:	63.4688	81.3906
Length   21, alignment  0, c  0:	64.2812	82.1875
Length   22, alignment 22, c  0:	65.1094	83
Length   22, alignment  0, c  0:	65.1094	83.8125
Length   23, alignment 23, c  0:	65.9062	83.8125
Length   23, alignment  0, c  0:	65.9219	83
Length   24, alignment 24, c  0:	66.7344	87.0781
Length   24, alignment  0, c  0:	68.3594	87.0781
Length   25, alignment 25, c  0:	68.3594	87.8906
Length   25, alignment  0, c  0:	68.3594	87.8906
Length   26, alignment 26, c  0:	70.7969	91.1562
Length   26, alignment  0, c  0:	70	91.1406
Length   27, alignment 27, c  0:	70.7969	91.9531
Length   27, alignment  0, c  0:	69.1719	91.9688
Length   28, alignment 28, c  0:	71.625	92.7812
Length   28, alignment  0, c  0:	71.6094	93.5938
Length   29, alignment 29, c  0:	72.4375	94.4062
Length   29, alignment  0, c  0:	72.4375	95.2031
Length   30, alignment 30, c  0:	77.3125	96.0312
Length   30, alignment  0, c  0:	74.0469	96.8438
Length   31, alignment 31, c  0:	73.2344	99.2812
Length   31, alignment  0, c  0:	74.0469	98.4688
Length   32, alignment  0, c  0:	75.6875	99.2812
Length   32, alignment 32, c  0:	75.6875	99.2812
Length   64, alignment  0, c  0:	118	152.188
Length   64, alignment  0, c  0:	119.625	152.984
Length   96, alignment  0, c  0:	152.984	207.516
Length   96, alignment 32, c  0:	153.812	206.703
Length  128, alignment  0, c  0:	186.359	260.406
Length  128, alignment  0, c  0:	185.547	260.422
Length  160, alignment  0, c  0:	220.531	314.125
Length  160, alignment 32, c  0:	218.906	313.328
Length  192, alignment  0, c  0:	253.906	366.219
Length  192, alignment  0, c  0:	253.094	366.219
Length  224, alignment  0, c  0:	287.281	419.922
Length  224, alignment 32, c  0:	286.469	419.922
Length  256, alignment  0, c  0:	319.828	472.828
Length  256, alignment  0, c  0:	319.812	474.453
Length  288, alignment  0, c  0:	353.203	526.531
Length  288, alignment 32, c  0:	353.188	526.531
Length  320, alignment  0, c  0:	386.547	580.234
Length  320, alignment  0, c  0:	385.75	580.234
Length  352, alignment  0, c  0:	419.922	633.141
Length  352, alignment 32, c  0:	419.922	632.328
Length  384, alignment  0, c  0:	453.281	687.656
Length  384, alignment  0, c  0:	452.469	686.844
Length  416, alignment  0, c  0:	486.656	740.547
Length  416, alignment 32, c  0:	485.828	740.562
Length  448, alignment  0, c  0:	519.203	793.453
Length  448, alignment  0, c  0:	519.203	792.641
Length  480, alignment  0, c  0:	552.562	847.984
Length  480, alignment 32, c  0:	553.375	846.344
Length   14, alignment  1, c  0:	56.9688	69.1719
Length 1024, alignment  3, c  0:	1119.8	1752.92
Length   64, alignment  4, c  0:	119.625	152.984
Length   25, alignment  2, c  0:	68.3594	88.7031
Length    1, alignment  0, c 65:	45.5625	36.6094
Length    2, alignment  0, c 65:	46.3906	42.3125
Length    4, alignment  0, c 65:	45.5781	43.9531
Length    8, alignment  0, c 65:	51.2656	52.0938
Length   16, alignment  0, c 65:	59.4062	72.4219
Length   32, alignment  0, c 65:	78.9375	101.719
Length   64, alignment  0, c 65:	119.625	152.172
Length  128, alignment  0, c 65:	186.359	260.422
Length  256, alignment  0, c 65:	319.812	473.641
Length  512, alignment  0, c 65:	585.938	900.062
Length 1024, alignment  0, c 65:	1122.23	1753.73
Length 2048, alignment  0, c 65:	2198.89	3460.28
Length 4096, alignment  0, c 65:	4360.34	6875.81
Length 8192, alignment  0, c 65:	8642.58	13997.4
Length 16384, alignment  0, c 65:	17388.5	27402.3
Length 32768, alignment  0, c 65:	34508.5	54979.7
Length    1, alignment  1, c 65:	46.375	37.4375
Length    2, alignment  2, c 65:	46.3906	40.7031
Length    3, alignment  3, c 65:	46.3906	43.9531
Length    3, alignment  0, c 65:	47.2031	41.5
Length    4, alignment  4, c 65:	45.5781	43.9531
Length    5, alignment  5, c 65:	48.0156	47.2031
Length    5, alignment  0, c 65:	46.3906	46.3906
Length    6, alignment  6, c 65:	49.6406	45.5781
Length    6, alignment  0, c 65:	49.6406	46.3906
Length    7, alignment  7, c 65:	50.4531	49.6406
Length    7, alignment  0, c 65:	48.8281	48.8281
Length    8, alignment  8, c 65:	51.2812	52.0781
Length    9, alignment  9, c 65:	51.2656	55.3438
Length    9, alignment  0, c 65:	52.0781	52.0781
Length   10, alignment 10, c 65:	53.7031	63.4688
Length   10, alignment  0, c 65:	53.7188	64.2812
Length   11, alignment 11, c 65:	52.8906	64.2812
Length   11, alignment  0, c 65:	52.9062	64.2969
Length   12, alignment 12, c 65:	55.3438	66.7344
Length   12, alignment  0, c 65:	54.5312	66.7344
Length   13, alignment 13, c 65:	55.3438	68.3594
Length   13, alignment  0, c 65:	54.5312	68.3594
Length   14, alignment 14, c 65:	56.9531	69.9844
Length   14, alignment  0, c 65:	56.1562	69.1719
Length   15, alignment 15, c 65:	56.9688	72.4219
Length   15, alignment  0, c 65:	56.9688	73.25
Length   16, alignment 16, c 65:	60.2188	74.0625
Length   17, alignment 17, c 65:	59.4062	74.0469
Length   17, alignment  0, c 65:	60.2188	74.875
Length   18, alignment 18, c 65:	62.6562	75.6719
Length   18, alignment  0, c 65:	61.0312	75.6875
Length   19, alignment 19, c 65:	61.8594	76.5
Length   19, alignment  0, c 65:	61.0312	77.2969
Length   20, alignment 20, c 65:	64.2969	79.75
Length   20, alignment  0, c 65:	64.2969	79.75
Length   21, alignment 21, c 65:	63.4688	82.1875
Length   21, alignment  0, c 65:	63.4844	81.375
Length   22, alignment 22, c 65:	65.9219	83.8281
Length   22, alignment  0, c 65:	65.1094	83
Length   23, alignment 23, c 65:	65.9219	86.2656
Length   23, alignment  0, c 65:	65.9219	85.4531
Length   24, alignment 24, c 65:	68.3594	87.0781
Length   24, alignment  0, c 65:	66.7344	86.2656
Length   25, alignment 25, c 65:	67.5469	87.8906
Length   25, alignment  0, c 65:	67.5469	87.8906
Length   26, alignment 26, c 65:	70.7969	90.3438
Length   26, alignment  0, c 65:	69.9844	91.1406
Length   27, alignment 27, c 65:	70	91.1406
Length   27, alignment  0, c 65:	69.9844	91.9688
Length   28, alignment 28, c 65:	72.4375	94.4062
Length   28, alignment  0, c 65:	71.625	93.5938
Length   29, alignment 29, c 65:	72.4219	95.2188
Length   29, alignment  0, c 65:	72.4219	95.2188
Length   30, alignment 30, c 65:	74.875	96.0312
Length   30, alignment  0, c 65:	74.0469	96.0312
Length   31, alignment 31, c 65:	73.25	98.4844
Length   31, alignment  0, c 65:	74.0625	98.4688
Length   32, alignment  0, c 65:	78.125	100.094
Length   32, alignment 32, c 65:	75.6719	100.109
Length   64, alignment  0, c 65:	119.625	154.625
Length   64, alignment  0, c 65:	120.453	153.812
Length   96, alignment  0, c 65:	153	206.703
Length   96, alignment 32, c 65:	152.984	206.703
Length  128, alignment  0, c 65:	187.172	260.406
Length  128, alignment  0, c 65:	185.547	260.406
Length  160, alignment  0, c 65:	219.734	314.125
Length  160, alignment 32, c 65:	219.719	314.125
Length  192, alignment  0, c 65:	253.906	366.203
Length  192, alignment  0, c 65:	253.094	367.031
Length  224, alignment  0, c 65:	286.453	419.922
Length  224, alignment 32, c 65:	286.453	419.922
Length  256, alignment  0, c 65:	319.812	473.641
Length  256, alignment  0, c 65:	319.812	473.641
Length  288, alignment  0, c 65:	352.375	526.531
Length  288, alignment 32, c 65:	353.188	527.344
Length  320, alignment  0, c 65:	385.75	580.234
Length  320, alignment  0, c 65:	385.734	581.047
Length  352, alignment  0, c 65:	419.922	634.766
Length  352, alignment 32, c 65:	419.109	633.141
Length  384, alignment  0, c 65:	453.281	686.031
Length  384, alignment  0, c 65:	451.672	687.672
Length  416, alignment  0, c 65:	485.844	741.375
Length  416, alignment 32, c 65:	485.016	740.547
Length  448, alignment  0, c 65:	519.203	793.453
Length  448, alignment  0, c 65:	519.203	793.453
Length  480, alignment  0, c 65:	552.578	847.172
Length  480, alignment 32, c 65:	553.375	846.359
Length   14, alignment  1, c 65:	56.9688	69.9844
Length 1024, alignment  3, c 65:	1120.61	1754.55
Length   64, alignment  4, c 65:	118.812	152.984
Length   25, alignment  2, c 65:	69.1719	87.8906
Length    1, alignment  0, c 130:	45.5781	38.25
Length    2, alignment  0, c 130:	47.1875	40.6875
Length    4, alignment  0, c 130:	45.5625	43.9375
Length    8, alignment  0, c 130:	50.4531	52.8906
Length   16, alignment  0, c 130:	58.5938	73.25
Length   32, alignment  0, c 130:	77.3125	100.094
Length   64, alignment  0, c 130:	119.641	153.797
Length  128, alignment  0, c 130:	186.359	260.422
Length  256, alignment  0, c 130:	319.016	472.828
Length  512, alignment  0, c 130:	586.75	900.891
Length 1024, alignment  0, c 130:	1123.05	1752.94
Length 2048, alignment  0, c 130:	2186.69	3461.09
Length 4096, alignment  0, c 130:	4322.91	6876.62
Length 8192, alignment  0, c 130:	8588.05	13918.5
Length 16384, alignment  0, c 130:	17173.7	27403.2
Length 32768, alignment  0, c 130:	34294.4	54745.3
Length    1, alignment  1, c 130:	46.3906	39.0625
Length    2, alignment  2, c 130:	46.3906	40.6875
Length    3, alignment  3, c 130:	46.375	44.75
Length    3, alignment  0, c 130:	45.5625	44.7656
Length    4, alignment  4, c 130:	46.3906	44.7656
Length    5, alignment  5, c 130:	46.375	47.2031
Length    5, alignment  0, c 130:	46.375	44.7656
Length    6, alignment  6, c 130:	48.0156	48.0156
Length    6, alignment  0, c 130:	48.0156	47.2031
Length    7, alignment  7, c 130:	48.8281	48.8281
Length    7, alignment  0, c 130:	162.766	48.8281
Length    8, alignment  8, c 130:	50.4531	52.0781
Length    9, alignment  9, c 130:	51.2656	52.0938
Length    9, alignment  0, c 130:	52.0781	53.7031
Length   10, alignment 10, c 130:	53.7188	63.4688
Length   10, alignment  0, c 130:	54.5156	62.6562
Length   11, alignment 11, c 130:	52.9062	64.2969
Length   11, alignment  0, c 130:	53.7031	64.2812
Length   12, alignment 12, c 130:	55.3438	66.7344
Length   12, alignment  0, c 130:	53.7188	66.7344
Length   13, alignment 13, c 130:	54.5312	68.3594
Length   13, alignment  0, c 130:	53.7188	67.5469
Length   14, alignment 14, c 130:	56.9688	70.7969
Length   14, alignment  0, c 130:	56.1406	70.7969
Length   15, alignment 15, c 130:	56.1562	71.625
Length   15, alignment  0, c 130:	56.9688	72.4375
Length   16, alignment 16, c 130:	58.5938	74.0469
Length   17, alignment 17, c 130:	60.2188	75.6875
Length   17, alignment  0, c 130:	59.4062	74.8594
Length   18, alignment 18, c 130:	62.6719	76.5
Length   18, alignment  0, c 130:	61.0312	77.3125
Length   19, alignment 19, c 130:	61.0312	78.9375
Length   19, alignment  0, c 130:	61.0469	78.125
Length   20, alignment 20, c 130:	63.4844	79.75
Length   20, alignment  0, c 130:	63.4688	78.9531
Length   21, alignment 21, c 130:	63.4844	82.1875
Length   21, alignment  0, c 130:	64.2812	83
Length   22, alignment 22, c 130:	65.9062	83.8125
Length   22, alignment  0, c 130:	65.1094	83
Length   23, alignment 23, c 130:	65.0938	86.25
Length   23, alignment  0, c 130:	65.9219	84.6406
Length   24, alignment 24, c 130:	68.3594	87.0781
Length   24, alignment  0, c 130:	66.7344	87.8906
Length   25, alignment 25, c 130:	68.3594	87.8906
Length   25, alignment  0, c 130:	68.3594	87.8906
Length   26, alignment 26, c 130:	69.9844	89.5156
Length   26, alignment  0, c 130:	69.9844	91.1406
Length   27, alignment 27, c 130:	69.9844	91.9531
Length   27, alignment  0, c 130:	69.1719	91.9531
Length   28, alignment 28, c 130:	74.0469	93.5781
Length   28, alignment  0, c 130:	71.6094	94.4062
Length   29, alignment 29, c 130:	72.4375	95.2188
Length   29, alignment  0, c 130:	72.4375	95.2031
Length   30, alignment 30, c 130:	76.5	97.6562
Length   30, alignment  0, c 130:	73.25	96.0156
Length   31, alignment 31, c 130:	74.0469	97.6562
Length   31, alignment  0, c 130:	74.0625	99.2812
Length   32, alignment  0, c 130:	77.3125	100.094
Length   32, alignment 32, c 130:	76.5	99.2812
Length   64, alignment  0, c 130:	120.438	153.812
Length   64, alignment  0, c 130:	119.625	153.812
Length   96, alignment  0, c 130:	153	207.516
Length   96, alignment 32, c 130:	152.188	205.891
Length  128, alignment  0, c 130:	186.359	260.406
Length  128, alignment  0, c 130:	185.547	261.234
Length  160, alignment  0, c 130:	218.922	313.312
Length  160, alignment 32, c 130:	218.906	313.312
Length  192, alignment  0, c 130:	253.094	367.844
Length  192, alignment  0, c 130:	252.281	367.016
Length  224, alignment  0, c 130:	286.453	419.922
Length  224, alignment 32, c 130:	285.641	419.922
Length  256, alignment  0, c 130:	319.812	473.625
Length  256, alignment  0, c 130:	319.016	473.625
Length  288, alignment  0, c 130:	352.391	526.531
Length  288, alignment 32, c 130:	352.375	526.531
Length  320, alignment  0, c 130:	386.547	580.234
Length  320, alignment  0, c 130:	386.562	580.25
Length  352, alignment  0, c 130:	419.109	632.328
Length  352, alignment 32, c 130:	419.094	633.125
Length  384, alignment  0, c 130:	453.281	686.844
Length  384, alignment  0, c 130:	452.469	686.844
Length  416, alignment  0, c 130:	486.656	739.75
Length  416, alignment 32, c 130:	485.016	740.562
Length  448, alignment  0, c 130:	520.031	793.453
Length  448, alignment  0, c 130:	519.203	794.266
Length  480, alignment  0, c 130:	552.578	847.172
Length  480, alignment 32, c 130:	554.188	845.547
Length   14, alignment  1, c 130:	57.7812	70.7969
Length 1024, alignment  3, c 130:	1120.61	1754.56
Length   64, alignment  4, c 130:	119.625	153.797
Length   25, alignment  2, c 130:	69.1719	88.7031
Length 1056, alignment  0, c 195:	1152.34	1806.64
Length 1056, alignment 33, c 195:	1153.98	1806.64
Length 1184, alignment  0, c 195:	1286.62	2019.86
Length 1184, alignment 37, c 195:	1287.44	2020.67
Length 1312, alignment  0, c 195:	1420.09	2233.88
Length 1312, alignment 41, c 195:	1423.33	2233.88
Length 1440, alignment  0, c 195:	1562.5	2446.28
Length 1440, alignment 45, c 195:	1554.36	2447.92
Length 1568, alignment  0, c 195:	1686.19	2659.5
Length 1568, alignment 49, c 195:	1686.2	2660.33
Length 1696, alignment  0, c 195:	1819.67	2873.55
Length 1696, alignment 53, c 195:	1825.36	2874.36
Length 1824, alignment  0, c 195:	1953.12	3087.56
Length 1824, alignment 57, c 195:	1953.12	3319.5
Length 1952, alignment  0, c 195:	2087.41	3301.59
Length 1952, alignment 61, c 195:	2086.59	3300.78
Length 2080, alignment  0, c 195:	2220.86	3513.98
Length 2080, alignment  1, c 195:	2220.86	3514.8
Length 2208, alignment  0, c 195:	2355.95	3727.22
Length 2208, alignment  5, c 195:	2354.33	3728.83
Length 2336, alignment  0, c 195:	2494.3	3941.23
Length 2336, alignment  9, c 195:	2486.97	3942.88
Length 2464, alignment  0, c 195:	2628.58	4153.64
Length 2464, alignment 13, c 195:	2628.58	4154.47
Length 2592, alignment  0, c 195:	2761.23	4368.48
Length 2592, alignment 17, c 195:	2761.23	4368.5
Length 2720, alignment  0, c 195:	2888.19	4580.89
Length 2720, alignment 21, c 195:	2887.38	4582.53
Length 2848, alignment  0, c 195:	3019.2	4794.09
Length 2848, alignment 25, c 195:	3021.64	4794.92
Length 2976, alignment  0, c 195:	3153.48	5008.14
Length 2976, alignment 29, c 195:	3153.48	5008.14
Length 3104, alignment  0, c 195:	3287.77	5383.31
Length 3104, alignment 33, c 195:	3286.94	5221.36
Length 3232, alignment  0, c 195:	3421.23	5435.38
Length 3232, alignment 37, c 195:	3420.41	5437.02
Length 3360, alignment  0, c 195:	3553.88	5649.42
Length 3360, alignment 41, c 195:	3553.88	5647.78
Length 3488, alignment  0, c 195:	3688.14	5862.62
Length 3488, alignment 45, c 195:	3687.33	5863.44
Length 3616, alignment  0, c 195:	3821.61	6077.47
Length 3616, alignment 49, c 195:	3821.61	6076.66
Length 3744, alignment  0, c 195:	3955.08	6290.7
Length 3744, alignment 53, c 195:	3955.08	6289.06
Length 3872, alignment  0, c 195:	4086.92	6502.27
Length 3872, alignment 57, c 195:	4087.73	6501.47
Length 4000, alignment  0, c 195:	4220.39	6920.58
Length 4000, alignment 61, c 195:	4221.2	6716.3
Length 4128, alignment  0, c 195:	4354.66	6928.72
Length 4128, alignment  1, c 195:	4354.66	6928.7
Length 4256, alignment  0, c 195:	4488.11	7143.56
Length 4256, alignment  5, c 195:	4488.12	7141.92
Length 4384, alignment  0, c 195:	4620.77	7356.77
Length 4384, alignment  9, c 195:	4621.58	7357.58
Length 4512, alignment  0, c 195:	4755.05	7569.98
Length 4512, alignment 13, c 195:	4754.22	7569.17
Length 4640, alignment  0, c 195:	4887.7	7781.58
Length 4640, alignment 17, c 195:	4886.89	7782.39
Length 4768, alignment  0, c 195:	5227.05	7999.67
Length 4768, alignment 21, c 195:	5021.97	7998.05
Length 4896, alignment  0, c 195:	5155.44	8208
Length 4896, alignment 25, c 195:	5154.61	8210.45
Length 5024, alignment  0, c 195:	5288.89	8422.05
Length 5024, alignment 29, c 195:	5288.09	8422.03
Length 5152, alignment  0, c 195:	5422.38	8636.89
Length 5152, alignment 33, c 195:	5422.38	8637.69
Length 5280, alignment  0, c 195:	5555	8850.09
