                       	bcopy	simple_bcopy
Length    1, alignment  0/32:	81.375	46.3906
Length    1, alignment 32/ 0:	55.3281	41.5
Length    1, alignment  0/ 0:	52.8906	41.5
Length    1, alignment  0/ 0:	54.5312	40.6875
Length    2, alignment  0/32:	53.7031	48.8281
Length    2, alignment 32/ 0:	54.5312	48.0156
Length    2, alignment  0/ 1:	55.3438	47.2031
Length    2, alignment  1/ 0:	55.3438	46.3906
Length    4, alignment  0/32:	81.375	57.7812
Length    4, alignment 32/ 0:	81.375	55.3438
Length    4, alignment  0/ 2:	69.1719	56.9688
Length    4, alignment  2/ 0:	69.1719	56.9688
Length    8, alignment  0/32:	83.8281	61.8594
Length    8, alignment 32/ 0:	92.7656	67.5469
Length    8, alignment  0/ 3:	82.2031	61.0312
Length    8, alignment  3/ 0:	73.2344	75.6719
Length   16, alignment  0/32:	90.3281	91.9688
Length   16, alignment 32/ 0:	91.1406	91.9688
Length   16, alignment  0/ 4:	87.8906	91.1406
Length   16, alignment  4/ 0:	91.1406	92.7656
Length   32, alignment  0/32:	85.4375	132.656
Length   32, alignment 32/ 0:	76.5	132.641
Length   32, alignment  0/ 5:	104.172	132.656
Length   32, alignment  5/ 0:	86.2656	133.469
Length   64, alignment  0/32:	87.0781	220.547
Length   64, alignment 32/ 0:	84.6406	214.031
Length   64, alignment  0/ 6:	130.219	220.547
Length   64, alignment  6/ 0:	100.906	214.031
Length  128, alignment  0/32:	108.234	371.906
Length  128, alignment 32/ 0:	105.781	372.719
Length  128, alignment  0/ 7:	176.594	371.922
Length  128, alignment  7/ 0:	139.969	381.672
Length  256, alignment  0/32:	149.734	691.734
Length  256, alignment 32/ 0:	141.594	693.359
Length  256, alignment  0/ 8:	143.234	692.547
Length  256, alignment  8/ 0:	138.344	702.312
Length  512, alignment  0/32:	218.906	1340.33
Length  512, alignment 32/ 0:	214.031	1340.33
Length  512, alignment  0/ 9:	377.609	1331.38
Length  512, alignment  9/ 0:	362.141	1342.78
Length 1024, alignment  0/32:	349.125	2620.45
Length 1024, alignment 32/ 0:	346.672	2623.7
Length 1024, alignment  0/10:	647.781	3376.47
Length 1024, alignment 10/ 0:	621.75	2621.25
Length 2048, alignment  0/32:	624.188	5187.17
Length 2048, alignment 32/ 0:	614.422	5194.5
Length 2048, alignment  0/11:	1189.78	5194.5
Length 2048, alignment 11/ 0:	1156.41	5187.19
Length 4096, alignment  0/32:	1149.09	10336.1
Length 4096, alignment 32/ 0:	1153.97	10330.4
Length 4096, alignment  0/12:	1370.44	10334.5
Length 4096, alignment 12/ 0:	1264.64	10329.6
Length    0, alignment  0/32:	56.1562	40.6875
Length    0, alignment 32/ 0:	53.7188	42.3125
Length    0, alignment  0/ 0:	53.7188	41.5
Length    0, alignment  0/ 0:	54.5156	40.6875
Length    1, alignment  0/32:	54.5312	42.3125
Length    1, alignment 32/ 0:	54.5312	40.6875
Length    1, alignment  0/ 1:	54.5156	42.3281
Length    1, alignment  1/ 0:	54.5156	41.5
Length    2, alignment  0/32:	54.5312	48.8281
Length    2, alignment 32/ 0:	53.7031	46.3906
Length    2, alignment  0/ 2:	54.5312	47.2031
Length    2, alignment  2/ 0:	52.9062	47.2031
Length    3, alignment  0/32:	54.5312	52.8906
Length    3, alignment 32/ 0:	54.5156	59.4062
Length    3, alignment  0/ 3:	53.7031	51.2656
Length    3, alignment  3/ 0:	53.7031	49.6406
Length    4, alignment  0/32:	80.5625	56.9688
Length    4, alignment 32/ 0:	81.375	56.9688
Length    4, alignment  0/ 4:	81.3906	56.1562
Length    4, alignment  4/ 0:	80.5625	54.5312
Length    5, alignment  0/32:	81.3906	57.7812
Length    5, alignment 32/ 0:	80.5625	58.5938
Length    5, alignment  0/ 5:	68.3594	56.1562
Length    5, alignment  5/ 0:	66.7344	58.5938
Length    6, alignment  0/32:	81.375	58.5938
Length    6, alignment 32/ 0:	80.5625	61.0312
Length    6, alignment  0/ 6:	77.2969	59.4062
Length    6, alignment  6/ 0:	67.5469	61.0469
Length    7, alignment  0/32:	88.7031	61.0312
Length    7, alignment 32/ 0:	82.1875	64.2969
