                            	memccpy	simple_memccpy	stupid_memccpy
Length   16, n   16, char 12, alignment  1/ 1:	199.375	118	200.203
Length   16, n   16, char 23, alignment  1/ 1:	175.781	113.109	194.5
Length   16, n   16, char 28, alignment  1/ 2:	158.688	113.922	192.062
Length   16, n   16, char 31, alignment  2/ 1:	173.344	113.109	186.359
Length    2, n    4, char 1, alignment  7/ 2:	86.25	47.2031	150.547
Length    4, n    2, char 17, alignment  2/ 7:	78.9375	50.4531	139.156
Length    2, n    4, char 0, alignment  7/ 2:	86.2656	47.2031	141.594
Length    4, n    2, char 1, alignment  2/ 7:	78.125	49.6406	139.156
Length   16, n   16, char 12, alignment  2/ 2:	169.266	113.922	188.797
Length   16, n   16, char 23, alignment  2/ 2:	179.859	113.938	189.609
Length   16, n   16, char 28, alignment  2/ 4:	153.812	114.75	174.141
Length   16, n   16, char 31, alignment  4/ 2:	159.5	113.109	183.109
Length    4, n    8, char 1, alignment  6/ 4:	118.812	56.9688	153
Length    8, n    4, char 17, alignment  4/ 6:	94.4062	58.5938	145.672
Length    4, n    8, char 0, alignment  6/ 4:	118	55.3438	154.625
Length    8, n    4, char 2, alignment  4/ 6:	94.3906	57.7656	144.047
Length   16, n   16, char 12, alignment  3/ 3:	170.078	113.938	200.188
Length   16, n   16, char 23, alignment  3/ 3:	169.281	113.109	187.984
Length   16, n   16, char 28, alignment  3/ 6:	156.25	113.125	183.922
Length   16, n   16, char 31, alignment  6/ 3:	157.875	122.891	182.297
Length    8, n   16, char 1, alignment  5/ 6:	134.281	78.9375	170.906
Length   16, n    8, char 17, alignment  6/ 5:	133.453	83.8281	179.844
Length    8, n   16, char 0, alignment  5/ 6:	135.906	80.5781	170.078
Length   16, n    8, char 3, alignment  6/ 5:	132.656	83.0156	178.219
Length   16, n   16, char 12, alignment  4/ 4:	161.938	113.109	183.109
Length   16, n   16, char 23, alignment  4/ 4:	171.703	113.125	181.484
Length   16, n   16, char 28, alignment  4/ 0:	161.938	112.297	180.672
Length   16, n   16, char 31, alignment  0/ 4:	161.141	113.922	179.859
Length   16, n   32, char 1, alignment  4/ 0:	162.75	113.938	179.844
Length   32, n   16, char 17, alignment  0/ 4:	142.422	116.359	167.656
Length   16, n   32, char 0, alignment  4/ 0:	162.766	113.938	188.797
Length   32, n   16, char 4, alignment  0/ 4:	139.969	117.188	167.641
Length   16, n   16, char 12, alignment  5/ 5:	184.734	113.938	191.25
Length   16, n   16, char 23, alignment  5/ 5:	167.641	113.125	190.422
Length   16, n   16, char 28, alignment  5/ 2:	155.438	113.125	183.922
Length   16, n   16, char 31, alignment  2/ 5:	156.25	113.938	187.172
Length   32, n   64, char 1, alignment  3/ 2:	218.094	180.656	233.562
Length   64, n   32, char 17, alignment  2/ 3:	214.844	192.062	235.188
Length   32, n   64, char 0, alignment  3/ 2:	216.469	179.859	242.516
Length   64, n   32, char 5, alignment  2/ 3:	214.031	184.734	234.375
Length   16, n   16, char 12, alignment  6/ 6:	169.281	113.922	186.359
Length   16, n   16, char 23, alignment  6/ 6:	169.266	113.109	186.359
Length   16, n   16, char 28, alignment  6/ 4:	151.375	113.125	180.672
Length   16, n   16, char 31, alignment  4/ 6:	159.5	113.938	184.734
Length   64, n  128, char 1, alignment  2/ 4:	280.766	314.125	303.547
Length  128, n   64, char 17, alignment  4/ 2:	280.75	316.562	291.344
Length   64, n  128, char 0, alignment  2/ 4:	281.578	312.5	303.547
Length  128, n   64, char 6, alignment  4/ 2:	278.312	317.391	289.719
Length   16, n   16, char 12, alignment  7/ 7:	178.219	113.109	184.734
Length   16, n   16, char 23, alignment  7/ 7:	169.266	113.125	184.734
Length   16, n   16, char 28, alignment  7/ 6:	156.25	113.938	185.547
Length   16, n   16, char 31, alignment  6/ 7:	158.688	113.109	183.109
Length  128, n  256, char 1, alignment  1/ 6:	472.016	580.25	445.156
Length  256, n  128, char 17, alignment  6/ 1:	464.672	582.672	450.031
Length  128, n  256, char 0, alignment  1/ 6:	452.484	590.016	447.578
Length  256, n  128, char 7, alignment  6/ 1:	465.484	584.312	450.031
Length    8, n   16, char 1, alignment  0/ 0:	140.797	79.75	162.75
