                       	memcmp	simple_memcmp
Length    1, alignment  1/ 1:	126.953	48.8281
Length    1, alignment  1/ 1:	66.7344	43.9531
Length    1, alignment  1/ 1:	62.6562	42.3125
Length    2, alignment  2/ 2:	74.0469	48.0156
Length    2, alignment  2/ 2:	69.1719	49.6406
Length    2, alignment  2/ 2:	69.1719	48.0156
Length    3, alignment  3/ 3:	83.8281	53.7031
Length    3, alignment  3/ 3:	83.8125	55.3438
Length    3, alignment  3/ 3:	83	52.9062
Length    4, alignment  4/ 4:	78.9375	57.7812
Length    4, alignment  4/ 4:	74.0625	57.7812
Length    4, alignment  4/ 4:	74.0625	56.9688
Length    5, alignment  5/ 5:	92.7656	67.5469
Length    5, alignment  5/ 5:	91.9531	60.2188
Length    5, alignment  5/ 5:	92.7812	58.5938
Length    6, alignment  6/ 6:	87.0781	73.25
Length    6, alignment  6/ 6:	82.1875	70.7969
Length    6, alignment  6/ 6:	80.5781	70.7969
Length    7, alignment  7/ 7:	82.2031	78.9375
Length    7, alignment  7/ 7:	82.1875	75.6875
Length    7, alignment  7/ 7:	83	76.5
Length    8, alignment  8/ 8:	78.125	82.1875
Length    8, alignment  8/ 8:	74.0469	80.5625
Length    8, alignment  8/ 8:	73.2344	80.5625
Length    9, alignment  9/ 9:	94.4062	86.2656
Length    9, alignment  9/ 9:	94.4062	84.6406
Length    9, alignment  9/ 9:	101.734	84.625
Length   10, alignment 10/10:	88.7031	89.5156
Length   10, alignment 10/10:	80.5625	90.3281
Length   10, alignment 10/10:	80.5625	88.7031
Length   11, alignment 11/11:	83.8281	92.7656
Length   11, alignment 11/11:	83	92.7812
Length   11, alignment 11/11:	83.8281	92.7656
Length   12, alignment 12/12:	78.9375	96.8438
Length   12, alignment 12/12:	74.0625	96.8438
Length   12, alignment 12/12:	74.0625	97.6562
Length   13, alignment 13/13:	92.7656	102.547
Length   13, alignment 13/13:	92.7812	100.922
Length   13, alignment 13/13:	91.9531	100.094
Length   14, alignment 14/14:	87.0781	106.609
Length   14, alignment 14/14:	80.5625	106.609
Length   14, alignment 14/14:	80.5625	104.969
Length   15, alignment 15/15:	82.1875	109.875
Length   15, alignment 15/15:	82.1875	109.875
