                       	memmem	simple_memmem
String 00000, offset 0:	355.641	173.344
String 00000, offset 7:	287.266	179.047
String 00000, offset 14:	297.047	201.828
String 00000, offset 21:	312.5	252.266
String 00000, offset 28:	316.562	269.375
String 00000, offset 35:	361.328	307.625
String 00000, offset 42:	354.016	350.75
String 00000, offset 49:	364.594	376.797
String 00000, offset 56:	368.656	408.531
String 00000, offset 63:	404.469	445.141
String 00000, offset 70:	406.094	487.469
String 00000, offset 77:	415.844	514.328
String 00000, offset 84:	422.359	547.688
String 00000, offset 91:	458.156	588.391
String 00000, offset 98:	467.125	620.938
String 00000, offset 105:	467.938	657.547
String 00000, offset 112:	474.438	687.672
String 00000, offset 119:	502.109	733.25
String 00112233, offset 0:	324.719	118
String 00112233, offset 7:	346.672	165.188
String 00112233, offset 14:	355.641	206.719
String 00112233, offset 21:	367.031	233.562
String 00112233, offset 28:	392.25	266.938
String 00112233, offset 35:	419.922	314.938
String 00112233, offset 42:	422.359	340.156
String 00112233, offset 49:	430.5	375.172
String 00112233, offset 56:	447.594	406.891
String 00112233, offset 63:	472.016	453.297
String 00112233, offset 70:	476.891	480.141
String 00112233, offset 77:	486.656	515.141
String 00112233, offset 84:	493.969	546.875
String 00112233, offset 91:	533.047	589.203
String 00112233, offset 98:	539.562	620.922
String 00112233, offset 105:	546.875	655.938
String 00112233, offset 112:	552.562	686.844
String 00112233, offset 119:	585.938	725.094
String 0123456789, offset 0:	330.406	126.953
String 0123456789, offset 7:	356.438	166.016
String 0123456789, offset 14:	373.531	198.562
String 0123456789, offset 21:	373.547	235.188
String 0123456789, offset 28:	389.812	267.75
String 0123456789, offset 35:	423.984	307.625
String 0123456789, offset 42:	423.984	349.125
String 0123456789, offset 49:	434.578	377.594
String 0123456789, offset 56:	441.906	407.703
String 0123456789, offset 63:	478.516	445.969
String 0123456789, offset 70:	476.891	488.281
String 0123456789, offset 77:	487.469	522.469
String 0123456789, offset 84:	493.969	548.5
String 0123456789, offset 91:	521.641	590
String 0123456789, offset 98:	529.781	621.75
String 0123456789, offset 105:	548.5	656.75
String 0123456789, offset 112:	555.016	687.656
String 0123456789, offset 119:	582.688	727.531
