                       	memmove	simple_memmove
Length    1, alignment  0/32:	132.641	42.3125
Length    1, alignment 32/ 0:	92.7812	36.6094
Length    1, alignment  0/ 0:	91.1562	36.625
Length    1, alignment  0/ 0:	91.1406	36.625
Length    2, alignment  0/32:	108.234	44.75
Length    2, alignment 32/ 0:	91.1406	41.5
Length    2, alignment  0/ 1:	78.125	45.5781
Length    2, alignment  1/ 0:	89.5156	40.6875
Length    4, alignment  0/32:	104.172	54.5312
Length    4, alignment 32/ 0:	89.5312	44.75
Length    4, alignment  0/ 2:	96.0312	52.8906
Length    4, alignment  2/ 0:	98.4688	43.9375
Length    8, alignment  0/32:	98.4688	64.2969
Length    8, alignment 32/ 0:	87.8906	54.5156
Length    8, alignment  0/ 3:	100.922	63.4844
Length    8, alignment  3/ 0:	88.7031	52.0938
Length   16, alignment  0/32:	93.5781	85.4531
Length   16, alignment 32/ 0:	89.5156	83
Length   16, alignment  0/ 4:	100.094	87.0781
Length   16, alignment  4/ 0:	90.3438	83.0156
Length   32, alignment  0/32:	98.4688	136.719
Length   32, alignment 32/ 0:	88.7031	123.703
Length   32, alignment  0/ 5:	105.781	126.953
Length   32, alignment  5/ 0:	90.3281	123.703
Length   64, alignment  0/32:	117.188	206.703
Length   64, alignment 32/ 0:	81.375	204.266
Length   64, alignment  0/ 6:	115.562	206.703
Length   64, alignment  6/ 0:	90.3281	202.625
Length  128, alignment  0/32:	128.594	367.016
Length  128, alignment 32/ 0:	96.8438	364.578
Length  128, alignment  0/ 7:	135.094	373.531
Length  128, alignment  7/ 0:	109.047	364.578
Length  256, alignment  0/32:	162.766	686.859
Length  256, alignment 32/ 0:	128.578	690.906
Length  256, alignment  0/ 8:	157.891	695.797
Length  256, alignment  8/ 0:	128.594	685.234
Length  512, alignment  0/32:	218.109	1333.83
Length  512, alignment 32/ 0:	186.359	1332.2
Length  512, alignment  0/ 9:	262.859	1334.64
Length  512, alignment  9/ 0:	230.297	1330.56
Length 1024, alignment  0/32:	355.625	2613.92
Length 1024, alignment 32/ 0:	312.5	2610.67
Length 1024, alignment  0/10:	434.562	2613.94
Length 1024, alignment 10/ 0:	395.5	2618.81
Length 2048, alignment  0/32:	586.75	5198.58
Length 2048, alignment 32/ 0:	560.703	5184.73
Length 2048, alignment  0/11:	760.906	5189.61
Length 2048, alignment 11/ 0:	722.656	5186.36
Length 4096, alignment  0/32:	1067.7	10322.3
Length 4096, alignment 32/ 0:	1040.86	10327.2
Length 4096, alignment  0/12:	1119.78	10985.5
Length 4096, alignment 12/ 0:	1094.56	10320.6
Length    0, alignment  0/32:	61.8438	37.4375
Length    0, alignment 32/ 0:	61.8438	37.4375
Length    0, alignment  0/ 0:	61.8438	37.4375
Length    0, alignment  0/ 0:	61.0312	36.625
Length    1, alignment  0/32:	102.531	39.0625
Length    1, alignment 32/ 0:	91.1562	37.4219
Length    1, alignment  0/ 1:	73.25	39.0625
Length    1, alignment  1/ 0:	90.3438	35.8125
