                        	memset	builtin_memset	simple_memset
Length    1, alignment  0, c -65:	96.8281	59.4062	37.4375
Length    2, alignment  0, c -65:	55.3281	56.1562	39.875
Length    4, alignment  0, c -65:	54.5312	56.1562	43.125
Length    8, alignment  0, c -65:	54.5156	55.3438	50.4531
Length   16, alignment  0, c -65:	53.7188	56.1406	72.4219
Length   32, alignment  0, c -65:	55.3438	54.5312	98.4688
Length   64, alignment  0, c -65:	61.8438	61.8438	161.953
Length  128, alignment  0, c -65:	75.6719	75.6875	258.781
Length  256, alignment  0, c -65:	118	110.672	472
Length  512, alignment  0, c -65:	162.766	180.672	899.25
Length 1024, alignment  0, c -65:	277.5	270.984	1761.88
Length 2048, alignment  0, c -65:	482.578	488.281	3475.75
Length 4096, alignment  0, c -65:	919.594	914.719	6893.72
Length 8192, alignment  0, c -65:	1773.28	1775.72	13750
Length 16384, alignment  0, c -65:	3479	3495.28	27470.7
Length 32768, alignment  0, c -65:	6948.23	6940.09	55660.8
Length 65536, alignment  0, c -65:	13824.9	13846.8	109987
Length 131072, alignment  0, c -65:	27583.8	27584.6	220135
Length    1, alignment  1, c -65:	54.5156	56.1562	35.8125
Length    2, alignment  2, c -65:	59.4062	58.5938	39.0625
Length    3, alignment  3, c -65:	57.7812	56.1406	41.5
Length    3, alignment  0, c -65:	53.7188	56.1562	40.7031
Length    4, alignment  4, c -65:	52.8906	56.1562	42.3281
Length    5, alignment  5, c -65:	63.4688	61.8594	44.7656
Length    5, alignment  0, c -65:	53.7188	56.1406	44.7656
Length    6, alignment  6, c -65:	57.7812	60.2344	46.3906
Length    6, alignment  0, c -65:	53.7188	56.1562	46.375
Length    7, alignment  7, c -65:	55.3281	56.9688	56.9688
Length    7, alignment  0, c -65:	53.7188	56.1406	56.1562
Length    8, alignment  8, c -65:	55.3438	55.3438	50.4531
Length    9, alignment  9, c -65:	64.2812	65.0938	52.0781
Length    9, alignment  0, c -65:	54.5156	55.3438	51.2656
Length   10, alignment 10, c -65:	58.5938	57.7812	62.6562
Length   10, alignment  0, c -65:	55.3438	56.1562	61.8594
Length   11, alignment 11, c -65:	56.9688	55.3281	62.6562
Length   11, alignment  0, c -65:	54.5312	55.3438	64.2812
Length   12, alignment 12, c -65:	53.7031	56.1562	64.2812
Length   12, alignment  0, c -65:	52.0938	56.1562	65.9219
Length   13, alignment 13, c -65:	63.4844	63.4688	66.7344
Length   13, alignment  0, c -65:	54.5312	56.1406	67.5469
Length   14, alignment 14, c -65:	58.5938	59.4062	69.1719
Length   14, alignment  0, c -65:	53.7031	54.5312	69.1719
Length   15, alignment 15, c -65:	54.5312	56.1562	69.9844
Length   15, alignment  0, c -65:	54.5312	64.2812	69.9844
Length   16, alignment 16, c -65:	52.9062	55.3438	71.6094
Length   17, alignment 17, c -65:	62.6562	61.0312	74.0469
Length   17, alignment  0, c -65:	53.7031	56.1562	74.875
Length   18, alignment 18, c -65:	59.4062	60.2188	74.875
Length   18, alignment  0, c -65:	54.5156	56.1562	75.6875
Length   19, alignment 19, c -65:	56.1562	55.3281	78.125
Length   19, alignment  0, c -65:	53.7188	56.1562	76.5
Length   20, alignment 20, c -65:	52.9062	52.8906	78.125
Length   20, alignment  0, c -65:	53.7188	56.1562	87.8906
Length   21, alignment 21, c -65:	63.4688	61.8438	78.9375
Length   21, alignment  0, c -65:	54.5312	56.1406	80.5625
