                    	rawmemchr	simple_rawmemchr
Length   32, alignment  0:	131.031	212.406
Length   64, alignment  1:	129.391	376.797
Length   32, alignment  0:	104.156	207.516
Length   64, alignment  1:	125.328	368.656
Length   64, alignment  0:	136.719	367.828
Length   64, alignment  2:	121.25	367.016
Length   64, alignment  0:	126.953	367.031
Length   64, alignment  2:	123.688	367.844
Length  128, alignment  0:	176.594	687.672
Length   64, alignment  3:	118.812	375.172
Length  128, alignment  0:	175.781	695
Length   64, alignment  3:	118.812	367.031
Length  256, alignment  0:	256.344	1334.64
Length   64, alignment  4:	117.188	367.031
Length  256, alignment  0:	255.531	1336.27
Length   64, alignment  4:	117.188	367.031
Length  512, alignment  0:	415.844	2615.56
Length   64, alignment  5:	113.125	367.844
Length  512, alignment  0:	424.812	2616.38
Length   64, alignment  5:	113.938	367.031
Length 1024, alignment  0:	746.25	5182.3
Length   64, alignment  6:	102.547	367.844
Length 1024, alignment  0:	744.641	5188.81
Length   64, alignment  6:	103.359	366.203
Length    1, alignment  0:	41.5	41.5
Length    1, alignment  0:	39.875	40.6875
Length    2, alignment  0:	44.7656	43.125
Length    2, alignment  0:	44.7656	43.9531
Length    3, alignment  0:	47.2031	48.8281
Length    3, alignment  0:	46.375	48.0156
Length    4, alignment  0:	48.8281	54.5156
Length    4, alignment  0:	48.0156	52.0781
Length    5, alignment  0:	50.4531	58.5938
Length    5, alignment  0:	49.6406	58.5938
Length    6, alignment  0:	51.2656	64.2969
Length    6, alignment  0:	50.4531	62.6562
Length    7, alignment  0:	55.3281	67.5469
Length    7, alignment  0:	52.9062	76.4844
Length    8, alignment  0:	56.9688	84.6406
Length    8, alignment  0:	54.5156	84.6406
Length    9, alignment  0:	57.7656	92.7656
Length    9, alignment  0:	56.9531	91.1406
Length   10, alignment  0:	71.6094	118.828
Length   10, alignment  0:	71.6094	96.8438
Length   11, alignment  0:	75.6875	101.734
Length   11, alignment  0:	75.6719	102.531
Length   12, alignment  0:	77.3125	106.609
Length   12, alignment  0:	77.2969	108.234
Length   13, alignment  0:	79.75	111.484
Length   13, alignment  0:	79.75	112.297
Length   14, alignment  0:	83.0156	116.375
Length   14, alignment  0:	83	116.375
Length   15, alignment  0:	85.4531	122.078
Length   15, alignment  0:	85.4531	122.078
Length   16, alignment  0:	95.2031	126.125
Length   16, alignment  0:	95.2188	126.953
Length   17, alignment  0:	93.5781	140.781
Length   17, alignment  0:	94.4062	131.844
Length   18, alignment  0:	94.3906	136.719
Length   18, alignment  0:	94.3906	136.719
Length   19, alignment  0:	95.2188	141.609
Length   19, alignment  0:	94.4062	142.422
Length   20, alignment  0:	95.2188	147.297
Length   20, alignment  0:	104.984	148.125
Length   21, alignment  0:	94.4062	152.188
Length   21, alignment  0:	94.4062	150.562
Length   22, alignment  0:	94.4062	156.25
Length   22, alignment  0:	95.2031	166.828
Length   23, alignment  0:	94.4062	162.75
Length   23, alignment  0:	96.0156	162.766
Length   24, alignment  0:	99.2812	166.828
Length   24, alignment  0:	101.734	166.828
Length   25, alignment  0:	99.2812	171.719
Length   25, alignment  0:	99.2812	171.703
Length   26, alignment  0:	99.2812	177.406
Length   26, alignment  0:	99.2812	177.406
Length   27, alignment  0:	99.2812	182.281
Length   27, alignment  0:	109.047	182.297
Length   28, alignment  0:	99.2812	186.359
Length   28, alignment  0:	99.2812	187.172
Length   29, alignment  0:	99.2812	192.047
Length   29, alignment  0:	99.2812	192.875
Length   30, alignment  0:	99.2812	197.75
Length   30, alignment  0:	99.2812	205.078
Length   31, alignment  0:	99.2812	201.812
Length   31, alignment  0:	97.6562	210.781
