                       	stpcpy	simple_stpcpy
Length    0, alignments in bytes  0/ 0:	74.875	40.6875
Length    0, alignments in bytes  0/ 0:	52.0781	37.4375
Length    0, alignments in bytes  0/ 0:	51.2656	36.6094
Length    0, alignments in bytes  0/ 0:	52.0938	48.0156
Length    1, alignments in bytes  0/ 0:	55.3438	43.1406
Length    1, alignments in bytes  0/ 0:	55.3438	40.6875
Length    1, alignments in bytes  0/ 1:	55.3438	41.5
Length    1, alignments in bytes  1/ 0:	56.1562	40.6875
Length    2, alignments in bytes  0/ 0:	61.8438	44.7656
Length    2, alignments in bytes  0/ 0:	61.0469	44.7656
Length    2, alignments in bytes  0/ 2:	60.2188	43.9531
Length    2, alignments in bytes  2/ 0:	61.0469	43.1406
Length    3, alignments in bytes  0/ 0:	65.1094	47.2031
Length    3, alignments in bytes  0/ 0:	63.4844	47.2031
Length    3, alignments in bytes  0/ 3:	64.2812	46.3906
Length    3, alignments in bytes  3/ 0:	63.4688	46.3906
Length    4, alignments in bytes  0/ 0:	68.3594	49.6406
Length    4, alignments in bytes  0/ 0:	66.7344	48.8281
Length    4, alignments in bytes  0/ 4:	67.5469	48.8281
Length    4, alignments in bytes  4/ 0:	66.7344	48.0156
Length    5, alignments in bytes  0/ 0:	69.1719	52.8906
Length    5, alignments in bytes  0/ 0:	69.9844	50.4531
Length    5, alignments in bytes  0/ 5:	70.7969	50.4531
Length    5, alignments in bytes  5/ 0:	69.1719	51.2656
Length    6, alignments in bytes  0/ 0:	73.25	53.7188
Length    6, alignments in bytes  0/ 0:	73.2344	53.7188
Length    6, alignments in bytes  0/ 6:	73.25	54.5312
Length    6, alignments in bytes  6/ 0:	72.4219	54.5312
Length    7, alignments in bytes  0/ 0:	79.75	58.5938
Length    7, alignments in bytes  0/ 0:	78.125	57.7812
Length    7, alignments in bytes  0/ 7:	78.9375	57.7812
Length    7, alignments in bytes  7/ 0:	81.375	56.1562
Length    8, alignments in bytes  0/ 0:	83.0156	70.7969
Length    8, alignments in bytes  0/ 0:	83.8125	69.9844
Length    8, alignments in bytes  0/ 0:	84.6406	70
Length    8, alignments in bytes  0/ 0:	83.8281	69.1719
Length    9, alignments in bytes  0/ 0:	87.0625	70.7969
Length    9, alignments in bytes  0/ 0:	86.2656	69.9844
Length    9, alignments in bytes  0/ 1:	86.2656	72.4375
Length    9, alignments in bytes  1/ 0:	85.4531	71.6094
Length   10, alignments in bytes  0/ 0:	89.5156	73.2344
Length   10, alignments in bytes  0/ 0:	89.5156	74.8594
Length   10, alignments in bytes  0/ 2:	88.7031	74.0625
Length   10, alignments in bytes  2/ 0:	96.8438	74.0625
Length   11, alignments in bytes  0/ 0:	91.9688	77.3125
Length   11, alignments in bytes  0/ 0:	91.1406	84.6406
Length   11, alignments in bytes  0/ 3:	91.1406	76.5
Length   11, alignments in bytes  3/ 0:	91.1406	76.5
Length   12, alignments in bytes  0/ 0:	93.5781	79.75
Length   12, alignments in bytes  0/ 0:	93.5938	78.9375
Length   12, alignments in bytes  0/ 4:	94.4062	78.9375
Length   12, alignments in bytes  4/ 0:	100.109	79.7656
Length   13, alignments in bytes  0/ 0:	96.8438	82.2031
Length   13, alignments in bytes  0/ 0:	96.0312	81.375
Length   13, alignments in bytes  0/ 5:	96.8438	82.2031
Length   13, alignments in bytes  5/ 0:	107.422	81.3906
Length   14, alignments in bytes  0/ 0:	99.2812	84.6406
Length   14, alignments in bytes  0/ 0:	106.609	85.4531
Length   14, alignments in bytes  0/ 6:	98.4688	83.8125
Length   14, alignments in bytes  6/ 0:	102.531	92.7812
Length   15, alignments in bytes  0/ 0:	101.719	87.8906
Length   15, alignments in bytes  0/ 0:	100.906	87.0781
Length   15, alignments in bytes  0/ 7:	100.094	87.8906
Length   15, alignments in bytes  7/ 0:	106.609	87.0781
Length   16, alignments in bytes  0/ 0:	109.859	89.5312
Length   16, alignments in bytes  7/ 2:	113.125	88.7031
Length   32, alignments in bytes  0/ 0:	124.5	129.406
Length   32, alignments in bytes  6/ 4:	126.953	129.391
Length   64, alignments in bytes  0/ 0:	158.703	209.156
Length   64, alignments in bytes  5/ 6:	170.078	210.781
Length  128, alignments in bytes  0/ 0:	211.578	369.469
Length  128, alignments in bytes  4/ 0:	202.641	378.422
Length  256, alignments in bytes  0/ 0:	1133.62	690.906
Length  256, alignments in bytes  3/ 2:	390.625	689.281
Length  512, alignments in bytes  0/ 0:	532.219	1338.72
Length  512, alignments in bytes  2/ 4:	642.906	1329.75
Length 1024, alignments in bytes  0/ 0:	959.469	2617.19
Length 1024, alignments in bytes  1/ 6:	1178.38	2624.52
Length   16, alignments in bytes  1/ 2:	112.297	89.5156
Length   16, alignments in bytes  2/ 1:	113.938	98.4844
Length   16, alignments in bytes  1/ 1:	111.484	89.5156
Length   16, alignments in bytes  1/ 1:	110.672	89.5156
Length   32, alignments in bytes  2/ 4:	135.094	130.219
Length   32, alignments in bytes  4/ 2:	127.781	130.219
Length   32, alignments in bytes  2/ 2:	124.516	129.391
Length   32, alignments in bytes  2/ 2:	124.5	130.219
Length   64, alignments in bytes  3/ 6:	179.844	209.953
Length   64, alignments in bytes  6/ 3:	169.266	209.953
Length   64, alignments in bytes  3/ 3:	160.312	209.156
Length   64, alignments in bytes  3/ 3:	159.5	218.906
Length  128, alignments in bytes  4/ 0:	203.453	370.281
Length  128, alignments in bytes  0/ 4:	211.594	368.656
Length  128, alignments in bytes  4/ 4:	204.266	378.422
Length  128, alignments in bytes  4/ 4:	203.453	371.094
Length  256, alignments in bytes  5/ 2:	370.281	690.109
Length  256, alignments in bytes  2/ 5:	378.422	690.094
Length  256, alignments in bytes  5/ 5:	311.688	690.109
Length  256, alignments in bytes  5/ 5:	310.875	690.109
Length  512, alignments in bytes  6/ 4:	635.594	1337.08
Length  512, alignments in bytes  4/ 6:	635.578	1330.58
Length  512, alignments in bytes  6/ 6:	524.078	1336.27
Length  512, alignments in bytes  6/ 6:	533.844	1328.94
Length 1024, alignments in bytes  7/ 6:	1177.56	2617.19
Length 1024, alignments in bytes  6/ 7:	1170.25	2626.14
Length 1024, alignments in bytes  7/ 7:	970.047	2619.62
Length 1024, alignments in bytes  7/ 7:	957.844	2618
Length   16, alignments in bytes  0/ 4:	109.047	88.7031
Length   16, alignments in bytes  4/ 0:	101.734	89.5156
Length   16, alignments in bytes  4/ 4:	100.922	88.7031
Length   16, alignments in bytes  2/ 2:	113.109	90.3438
Length   16, alignments in bytes  2/ 6:	111.5	89.5156
Length   16, alignments in bytes  6/ 2:	111.484	88.7031
Length   16, alignments in bytes  1/ 7:	114.734	89.5156
Length   16, alignments in bytes  7/ 1:	112.312	90.3281
Length   16, alignments in bytes  3/ 4:	123.703	88.7031
Length   16, alignments in bytes  4/ 3:	108.234	90.3438
Length   16, alignments in bytes  5/ 7:	108.234	88.7031
Length   16, alignments in bytes  7/ 5:	111.484	89.5156
Length   20, alignments in bytes  0/ 4:	112.312	99.2812
Length   20, alignments in bytes  4/ 0:	106.594	99.2812
Length   20, alignments in bytes  4/ 4:	115.562	100.109
Length   20, alignments in bytes  2/ 2:	113.922	100.109
Length   20, alignments in bytes  2/ 6:	112.297	99.2812
Length   20, alignments in bytes  6/ 2:	108.234	99.2812
Length   20, alignments in bytes  1/ 7:	118.812	99.2812
Length   20, alignments in bytes  7/ 1:	113.938	100.906
Length   20, alignments in bytes  3/ 4:	121.25	100.094
Length   20, alignments in bytes  4/ 3:	116.375	98.4688
Length   20, alignments in bytes  5/ 7:	118.016	100.094
Length   20, alignments in bytes  7/ 5:	114.734	99.2812
Length   24, alignments in bytes  0/ 4:	116.375	109.859
Length   24, alignments in bytes  4/ 0:	117.188	109.047
Length   24, alignments in bytes  4/ 4:	108.234	109.062
Length   24, alignments in bytes  2/ 2:	118	109.047
Length   24, alignments in bytes  2/ 6:	118	109.859
Length   24, alignments in bytes  6/ 2:	109.859	109.875
Length   24, alignments in bytes  1/ 7:	126.953	109.875
Length   24, alignments in bytes  7/ 1:	119.625	109.859
Length   24, alignments in bytes  3/ 4:	126.141	109.047
Length   24, alignments in bytes  4/ 3:	120.453	109.047
Length   24, alignments in bytes  5/ 7:	119.641	109.062
Length   24, alignments in bytes  7/ 5:	119.641	109.875
Length   28, alignments in bytes  0/ 4:	118	119.641
Length   28, alignments in bytes  4/ 0:	113.109	119.641
Length   28, alignments in bytes  4/ 4:	113.109	119.625
Length   28, alignments in bytes  2/ 2:	119.625	120.453
Length   28, alignments in bytes  2/ 6:	129.391	119.625
Length   28, alignments in bytes  6/ 2:	114.75	119.625
Length   28, alignments in bytes  1/ 7:	130.219	120.453
Length   28, alignments in bytes  7/ 1:	125.328	121.25
