                            	strcat	simple_strcat
Length    0/   0, alignment  0/ 0:	85.4375	43.125
Length    0/   0, alignment  0/ 0:	65.0938	39.0625
Length    0/   0, alignment  0/ 0:	63.4844	39.0625
Length    0/   0, alignment  0/ 0:	64.2969	39.0625
Length    1/   1, alignment  0/ 0:	71.6094	45.5625
Length    1/   1, alignment  0/ 0:	71.6094	47.2031
Length    1/   1, alignment  0/ 1:	70.7969	47.1875
Length    1/   1, alignment  1/ 0:	70.7969	46.3906
Length    2/   2, alignment  0/ 0:	78.125	57.7812
Length    2/   2, alignment  0/ 0:	78.9375	56.1562
Length    2/   2, alignment  0/ 2:	78.9531	55.3281
Length    2/   2, alignment  2/ 0:	78.9375	55.3438
Length    3/   3, alignment  0/ 0:	83.0156	64.2812
Length    3/   3, alignment  0/ 0:	82.2031	64.2812
Length    3/   3, alignment  0/ 3:	82.1875	62.6562
Length    3/   3, alignment  3/ 0:	82.2031	62.6719
Length    4/   4, alignment  0/ 0:	88.7188	71.6094
Length    4/   4, alignment  0/ 0:	87.0781	70.7969
Length    4/   4, alignment  0/ 4:	86.2656	69.9844
Length    4/   4, alignment  4/ 0:	87.0781	70.7969
Length    5/   5, alignment  0/ 0:	91.1562	80.5625
Length    5/   5, alignment  0/ 0:	90.3281	79.7656
Length    5/   5, alignment  0/ 5:	90.3281	80.5625
Length    5/   5, alignment  5/ 0:	90.3281	78.9375
Length    6/   6, alignment  0/ 0:	96.0312	89.5156
Length    6/   6, alignment  0/ 0:	96.0312	87.0625
Length    6/   6, alignment  0/ 6:	94.4062	86.2656
Length    6/   6, alignment  6/ 0:	95.2188	87.0625
Length    7/   7, alignment  0/ 0:	101.719	103.359
Length    7/   7, alignment  0/ 0:	107.422	103.359
Length    7/   7, alignment  0/ 7:	99.2812	102.547
Length    7/   7, alignment  7/ 0:	97.6562	103.359
Length    8/   8, alignment  0/ 0:	109.047	122.078
Length    8/   8, alignment  0/ 0:	109.047	128.578
Length    8/   8, alignment  0/ 0:	109.859	120.453
Length    8/   8, alignment  0/ 0:	109.859	122.062
Length    9/   9, alignment  0/ 0:	117.188	130.203
Length    9/   9, alignment  0/ 0:	116.375	129.391
Length    9/   9, alignment  0/ 1:	114.75	129.406
Length    9/   9, alignment  1/ 0:	115.562	130.203
Length   10/  10, alignment  0/ 0:	134.281	137.531
Length   10/  10, alignment  0/ 0:	134.266	136.719
Length   10/  10, alignment  0/ 2:	133.469	137.531
Length   10/  10, alignment  2/ 0:	134.281	137.531
Length   11/  11, alignment  0/ 0:	136.719	144.859
Length   11/  11, alignment  0/ 0:	136.719	144.859
Length   11/  11, alignment  0/ 3:	136.719	144.859
Length   11/  11, alignment  3/ 0:	136.719	144.859
Length   12/  12, alignment  0/ 0:	142.406	151.359
Length   12/  12, alignment  0/ 0:	141.594	151.375
Length   12/  12, alignment  0/ 4:	148.922	152.188
Length   12/  12, alignment  4/ 0:	150.547	151.375
Length   13/  13, alignment  0/ 0:	146.484	160.312
Length   13/  13, alignment  0/ 0:	148.109	158.688
Length   13/  13, alignment  0/ 5:	148.922	160.328
Length   13/  13, alignment  5/ 0:	154.625	159.5
Length   14/  14, alignment  0/ 0:	152.172	166.828
Length   14/  14, alignment  0/ 0:	153.797	167.641
Length   14/  14, alignment  0/ 6:	142.422	167.641
Length   14/  14, alignment  6/ 0:	150.547	166.828
Length   15/  15, alignment  0/ 0:	158.688	174.156
Length   15/  15, alignment  0/ 0:	158.703	182.281
Length   15/  15, alignment  0/ 7:	142.406	174.969
Length   15/  15, alignment  7/ 0:	155.438	183.922
Length   16/  16, alignment  0/ 0:	178.219	182.297
Length   16/  16, alignment  7/ 2:	171.719	182.297
Length   16/   4, alignment  0/ 0:	135.094	120.438
Length   16/   4, alignment  7/ 2:	135.094	120.438
Length   32/  32, alignment  0/ 0:	200.188	302.734
Length   32/  32, alignment  6/ 4:	193.688	302.734
Length   32/   8, alignment  0/ 0:	153	182.297
Length   32/   8, alignment  6/ 4:	157.078	183.094
Length   64/  64, alignment  0/ 0:	249.828	550.125
Length   64/  64, alignment  5/ 6:	238.453	550.125
Length   64/  16, alignment  0/ 0:	226.234	302.734
Length   64/  16, alignment  5/ 6:	221.344	301.922
Length  128/ 128, alignment  0/ 0:	347.5	1031.91
Length  128/ 128, alignment  4/ 0:	338.531	1022.95
Length  128/  32, alignment  0/ 0:	294.609	542
Length  128/  32, alignment  4/ 0:	287.266	542.797
Length  256/ 256, alignment  0/ 0:	528.969	2769.36
Length  256/ 256, alignment  3/ 2:	580.234	1990.56
Length  256/  64, alignment  0/ 0:	425.625	1021.31
Length  256/  64, alignment  3/ 2:	474.438	1031.08
Length  512/ 512, alignment  0/ 0:	874.828	3916.83
Length  512/ 512, alignment  2/ 4:	979.828	3918.47
Length  512/ 128, alignment  0/ 0:	667.328	1989.75
Length  512/ 128, alignment  2/ 4:	770.672	1988.92
Length 1024/1024, alignment  0/ 0:	1569.83	7785.64
Length 1024/1024, alignment  1/ 6:	1765.14	7771.81
Length 1024/ 256, alignment  0/ 0:	1169.44	3916.84
Length 1024/ 256, alignment  1/ 6:	1366.38	3916.83
Length   16/   1, alignment  1/ 2:	128.578	106.609
Length   16/   1, alignment  2/ 1:	126.141	108.25
Length   16/  10, alignment  1/ 1:	159.516	152.172
Length   16/  10, alignment  1/ 1:	159.516	151.359
Length   32/   1, alignment  2/ 4:	152.188	157.875
Length   32/   1, alignment  4/ 2:	144.859	158.688
Length   32/  10, alignment  2/ 2:	180.672	192.062
Length   32/  10, alignment  2/ 2:	179.859	192.062
Length   64/   1, alignment  3/ 6:	174.969	262.047
Length   64/   1, alignment  6/ 3:	186.359	262.859
Length   64/  10, alignment  3/ 3:	224.609	271.812
Length   64/  10, alignment  3/ 3:	225.422	273.438
Length  128/   1, alignment  4/ 0:	249.828	478.516
Length  128/   1, alignment  0/ 4:	259.609	470.391
Length  128/  10, alignment  4/ 4:	279.953	432.125
Length  128/  10, alignment  4/ 4:	280.766	432.125
Length  256/   1, alignment  5/ 2:	393.875	882.969
Length  256/   1, alignment  2/ 5:	343.422	891.109
Length  256/  10, alignment  5/ 5:	414.234	751.141
Length  256/  10, alignment  5/ 5:	413.406	751.953
Length  512/   1, alignment  6/ 4:	653.469	1709.8
Length  512/   1, alignment  4/ 6:	652.672	1726.88
Length  512/  10, alignment  6/ 6:	689.281	1398.94
Length  512/  10, alignment  6/ 6:	681.969	1401.36
Length 1024/   1, alignment  7/ 6:	965.172	3353.67
Length 1024/   1, alignment  6/ 7:	1186.53	3371.58
Length 1024/  10, alignment  7/ 7:	1216.62	2679.84
Length 1024/  10, alignment  7/ 7:	1209.3	2688.81
