                    	strchr	simple_STRCHR	stupid_STRCHR
Length   32, alignment in bytes  0:	185.547	161.141	1382.66
Length   32, alignment in bytes  1:	119.641	156.25	1354.98
Length   64, alignment in bytes  0:	153	261.234	1518.55
Length   64, alignment in bytes  2:	146.484	262.047	1513.67
Length  128, alignment in bytes  0:	223.797	475.266	1836.75
Length  128, alignment in bytes  3:	215.656	475.25	1831.88
Length  256, alignment in bytes  0:	350.75	901.688	2483.73
Length  256, alignment in bytes  4:	332.844	902.516	2466.64
Length  512, alignment in bytes  0:	582.688	1765.14	3767.09
Length  512, alignment in bytes  5:	576.984	1762.69	3751.62
Length 1024, alignment in bytes  0:	1062.81	3478.19	6331.39
Length 1024, alignment in bytes  6:	1041.67	3477.38	6308.59
Length 2048, alignment in bytes  0:	2030.44	6898.59	12129.7
Length 2048, alignment in bytes  7:	2006.84	6900.23	11450.2
Length   64, alignment in bytes  1:	157.875	262.047	572.922
Length   64, alignment in bytes  1:	148.922	262.031	573.734
Length   64, alignment in bytes  2:	146.484	262.047	572.109
Length   64, alignment in bytes  2:	146.484	262.859	572.922
Length   64, alignment in bytes  3:	144.859	262.047	568.047
Length   64, alignment in bytes  3:	143.234	262.047	569.656
Length   64, alignment in bytes  4:	140.781	262.859	566.406
Length   64, alignment in bytes  4:	141.609	262.047	566.406
Length   64, alignment in bytes  5:	139.156	262.859	560.703
Length   64, alignment in bytes  5:	141.609	262.859	560.719
Length   64, alignment in bytes  6:	130.219	262.047	553.391
Length   64, alignment in bytes  6:	128.578	262.859	554.203
Length   64, alignment in bytes  7:	126.953	262.031	552.578
Length   64, alignment in bytes  7:	126.141	262.859	561.531
Length    0, alignment in bytes  0:	44.75	35.8125	63.4688
Length    0, alignment in bytes  0:	43.125	34.1719	72.4375
Length    1, alignment in bytes  0:	47.2031	42.3125	71.6094
Length    1, alignment in bytes  0:	47.2031	41.5	80.5781
Length    2, alignment in bytes  0:	50.4688	47.2031	77.3125
Length    2, alignment in bytes  0:	50.4531	48.0156	77.3125
Length    3, alignment in bytes  0:	54.5156	52.0781	85.4375
Length    3, alignment in bytes  0:	53.7188	51.2656	83.0156
Length    4, alignment in bytes  0:	56.1406	56.9531	89.5156
Length    4, alignment in bytes  0:	56.9688	55.3438	89.5312
Length    5, alignment in bytes  0:	59.4062	58.5938	106.609
Length    5, alignment in bytes  0:	67.5312	57.7812	105.797
Length    6, alignment in bytes  0:	61.8438	68.3594	113.109
Length    6, alignment in bytes  0:	61.0312	67.5469	114.75
Length    7, alignment in bytes  0:	65.0938	72.4219	120.453
Length    7, alignment in bytes  0:	64.2812	72.4219	119.641
Length    8, alignment in bytes  0:	69.1719	74.0625	127.766
Length    8, alignment in bytes  0:	65.9219	75.6875	126.953
Length    9, alignment in bytes  0:	71.6094	78.9375	144.047
Length    9, alignment in bytes  0:	69.9844	78.125	145.672
Length   10, alignment in bytes  0:	82.1875	81.375	152.984
Length   10, alignment in bytes  0:	80.5781	81.375	162.75
Length   11, alignment in bytes  0:	83.8281	84.6406	161.141
Length   11, alignment in bytes  0:	83.8281	85.4531	161.953
Length   12, alignment in bytes  0:	86.2656	89.5312	168.453
Length   12, alignment in bytes  0:	87.0781	88.7031	167.641
Length   13, alignment in bytes  0:	88.7188	91.9688	176.594
Length   13, alignment in bytes  0:	88.7031	91.9688	176.594
Length   14, alignment in bytes  0:	100.094	94.4062	183.922
Length   14, alignment in bytes  0:	92.7812	96.0312	192.062
Length   15, alignment in bytes  0:	95.2188	98.4844	196.125
Length   15, alignment in bytes  0:	94.4062	98.4688	196.125
Length   16, alignment in bytes  0:	106.609	100.906	200.188
Length   16, alignment in bytes  0:	106.609	102.531	201.016
Length   17, alignment in bytes  0:	106.609	115.562	205.891
Length   17, alignment in bytes  0:	106.609	105.797	206.703
Length   18, alignment in bytes  0:	106.609	109.047	211.594
Length   18, alignment in bytes  0:	105.797	109.047	210.766
Length   19, alignment in bytes  0:	105.797	111.484	215.656
Length   19, alignment in bytes  0:	105.797	113.938	216.469
Length   20, alignment in bytes  0:	106.609	115.562	221.344
Length   20, alignment in bytes  0:	106.609	115.562	220.547
Length   21, alignment in bytes  0:	106.609	118.828	226.234
Length   21, alignment in bytes  0:	106.609	118	226.234
Length   22, alignment in bytes  0:	106.609	122.078	240.078
Length   22, alignment in bytes  0:	105.797	122.078	231.125
Length   23, alignment in bytes  0:	105.797	125.328	240.891
Length   23, alignment in bytes  0:	105.781	125.328	248.203
Length   24, alignment in bytes  0:	113.938	127.766	244.141
Length   24, alignment in bytes  0:	122.062	129.406	244.953
Length   25, alignment in bytes  0:	113.938	131.844	258.781
Length   25, alignment in bytes  0:	114.75	131.844	249.828
Length   26, alignment in bytes  0:	114.75	135.906	255.547
Length   26, alignment in bytes  0:	113.938	135.094	254.719
Length   27, alignment in bytes  0:	113.938	137.531	260.406
Length   27, alignment in bytes  0:	113.938	138.344	260.406
Length   28, alignment in bytes  0:	113.938	142.422	265.297
Length   28, alignment in bytes  0:	113.938	142.422	274.25
Length   29, alignment in bytes  0:	113.938	144.859	269.375
Length   29, alignment in bytes  0:	122.078	145.672	269.359
Length   30, alignment in bytes  0:	113.938	148.109	274.25
Length   30, alignment in bytes  0:	113.938	148.922	275.062
Length   31, alignment in bytes  0:	113.109	151.375	284.828
Length   31, alignment in bytes  0:	113.938	152.188	284.016
Length   32, alignment in bytes  0:	122.891	156.25	290.531
Length   32, alignment in bytes  1:	126.141	155.438	287.281
Length   64, alignment in bytes  0:	152.984	262.047	474.438
Length   64, alignment in bytes  2:	145.672	262.047	461.422
Length  128, alignment in bytes  0:	222.172	624.188	840.672
Length  128, alignment in bytes  3:	216.469	476.078	831.703
Length  256, alignment in bytes  0:	344.234	910.656	1537.28
Length  256, alignment in bytes  4:	332.844	901.688	1536.47
Length  512, alignment in bytes  0:	590.828	1763.52	2959.8
Length  512, alignment in bytes  5:	577.797	1762.7	2943.53
Length 1024, alignment in bytes  0:	1070.14	3479	5798.34
Length 1024, alignment in bytes  6:	1041.66	3477.38	5777.17
Length 2048, alignment in bytes  0:	2029.61	6908.38	11491.7
Length 2048, alignment in bytes  7:	2006.83	6905.11	11448.6
Length   64, alignment in bytes  1:	148.109	262.859	463.875
Length   64, alignment in bytes  1:	148.109	262.031	473.641
Length   64, alignment in bytes  2:	146.484	262.031	476.078
Length   64, alignment in bytes  2:	146.484	262.047	476.891
Length   64, alignment in bytes  3:	144.859	262.047	474.453
Length   64, alignment in bytes  3:	143.234	261.234	474.453
Length   64, alignment in bytes  4:	141.594	262.031	472.828
Length   64, alignment in bytes  4:	141.594	261.234	472
Length   64, alignment in bytes  5:	138.344	262.859	467.922
Length   64, alignment in bytes  5:	138.344	262.047	469.562
Length   64, alignment in bytes  6:	129.391	262.859	460.609
Length   64, alignment in bytes  6:	130.203	262.047	451.656
Length   64, alignment in bytes  7:	126.953	262.031	449.219
Length   64, alignment in bytes  7:	126.141	262.859	450.031
Length    0, alignment in bytes  0:	43.125	33.3594	61.0312
Length    0, alignment in bytes  0:	43.9531	33.3594	61.8438
Length    1, alignment in bytes  0:	48.0156	42.3125	68.3594
Length    1, alignment in bytes  0:	46.3906	41.5	69.1719
Length    2, alignment in bytes  0:	52.0938	48.0156	74.875
Length    2, alignment in bytes  0:	51.2656	48.0156	74.8594
Length    3, alignment in bytes  0:	53.7031	52.0938	90.3281
Length    3, alignment in bytes  0:	52.8906	52.0781	95.2188
Length    4, alignment in bytes  0:	56.9688	61.8594	87.0781
Length    4, alignment in bytes  0:	55.3438	61.0312	87.0781
Length    5, alignment in bytes  0:	58.5938	66.7344	106.609
Length    5, alignment in bytes  0:	58.5938	58.5938	104.156
Length    6, alignment in bytes  0:	61.8438	69.1719	111.484
Length    6, alignment in bytes  0:	68.3594	68.3594	112.312
Length    7, alignment in bytes  0:	64.2812	72.4219	118.828
Length    7, alignment in bytes  0:	65.1094	71.6094	118
Length    8, alignment in bytes  0:	67.5312	75.6875	126.141
Length    8, alignment in bytes  0:	66.7344	74.875	125.328
Length    9, alignment in bytes  0:	71.6094	78.9375	133.469
Length    9, alignment in bytes  0:	69.1719	78.125	133.453
Length   10, alignment in bytes  0:	81.3906	83.0156	148.922
Length   10, alignment in bytes  0:	82.2031	81.375	158.688
Length   11, alignment in bytes  0:	84.625	84.6406	159.516
Length   11, alignment in bytes  0:	83.8281	84.625	158.703
Length   12, alignment in bytes  0:	89.5156	88.7031	176.594
Length   12, alignment in bytes  0:	87.0781	88.7031	166.828
Length   13, alignment in bytes  0:	88.7031	101.719	174.969
Length   13, alignment in bytes  0:	89.5156	91.9531	174.156
Length   14, alignment in bytes  0:	92.7656	96.0312	181.484
Length   14, alignment in bytes  0:	92.7812	95.2188	182.281
Length   15, alignment in bytes  0:	94.3906	98.4688	188.812
Length   15, alignment in bytes  0:	104.156	98.4688	189.609
Length   16, alignment in bytes  0:	106.609	102.531	209.953
Length   16, alignment in bytes  0:	105.797	101.719	201.016
Length   17, alignment in bytes  0:	105.797	104.984	205.891
Length   17, alignment in bytes  0:	105.797	106.609	205.891
Length   18, alignment in bytes  0:	105.781	108.234	211.578
Length   18, alignment in bytes  0:	106.609	108.234	210.781
Length   19, alignment in bytes  0:	106.594	111.484	215.656
Length   19, alignment in bytes  0:	105.797	113.125	216.469
Length   20, alignment in bytes  0:	106.609	123.688	220.547
Length   20, alignment in bytes  0:	106.609	113.938	221.359
Length   21, alignment in bytes  0:	106.609	118.812	226.234
Length   21, alignment in bytes  0:	107.422	127.766	225.422
Length   22, alignment in bytes  0:	107.422	122.078	231.125
Length   22, alignment in bytes  0:	106.609	122.062	230.297
Length   23, alignment in bytes  0:	106.594	133.453	236.016
