                    	strchrnul	simple_STRCHRNUL	stupid_STRCHRNUL
Length   32, alignment in bytes  0:	192.062	131.828	1385.89
Length   32, alignment in bytes  1:	140.797	126.141	1346.84
Length   64, alignment in bytes  0:	199.375	205.891	1507.97
Length   64, alignment in bytes  2:	214.031	205.078	1503.09
Length  128, alignment in bytes  0:	362.969	366.219	2405.59
Length  128, alignment in bytes  3:	369.453	365.391	1820.47
Length  256, alignment in bytes  0:	652.656	686.031	2468.27
Length  256, alignment in bytes  4:	652.672	686.031	2456.86
Length  512, alignment in bytes  0:	1186.53	1325.67	3746.73
Length  512, alignment in bytes  5:	1201.17	1325.69	3734.55
Length 1024, alignment in bytes  0:	2295.73	2604.98	6308.59
Length 1024, alignment in bytes  6:	2305.5	2604.98	6286.62
Length 2048, alignment in bytes  0:	4512.53	5166.02	11429
Length 2048, alignment in bytes  7:	4519.86	5166.02	11405.4
Length   64, alignment in bytes  1:	209.141	205.906	572.922
Length   64, alignment in bytes  1:	205.891	205.078	572.094
Length   64, alignment in bytes  2:	211.594	205.891	568.844
Length   64, alignment in bytes  2:	210.781	205.891	569.672
Length   64, alignment in bytes  3:	207.516	205.891	566.406
Length   64, alignment in bytes  3:	205.891	205.891	566.406
Length   64, alignment in bytes  4:	198.562	205.078	564.781
Length   64, alignment in bytes  4:	196.125	205.078	564.781
Length   64, alignment in bytes  5:	207.516	205.078	559.078
Length   64, alignment in bytes  5:	206.703	204.266	560.703
Length   64, alignment in bytes  6:	211.594	205.078	552.562
Length   64, alignment in bytes  6:	210.781	205.906	552.578
Length   64, alignment in bytes  7:	206.703	205.078	550.125
Length   64, alignment in bytes  7:	205.891	205.078	549.328
Length    0, alignment in bytes  0:	54.5156	32.5469	61.8438
Length    0, alignment in bytes  0:	52.9062	33.3594	61.0312
Length    1, alignment in bytes  0:	60.2344	35	70.7969
Length    1, alignment in bytes  0:	59.4062	34.1875	69.9844
Length    2, alignment in bytes  0:	63.4844	39.875	76.5
Length    2, alignment in bytes  0:	61.8594	39.875	75.6875
Length    3, alignment in bytes  0:	65.1094	42.3281	84.6406
Length    3, alignment in bytes  0:	64.2969	42.3281	81.3906
Length    4, alignment in bytes  0:	62.6562	45.5781	88.7031
Length    4, alignment in bytes  0:	61.8594	44.75	89.5156
Length    5, alignment in bytes  0:	67.5469	48.0156	105.797
Length    5, alignment in bytes  0:	67.5469	46.3906	104.984
Length    6, alignment in bytes  0:	70.7969	49.6562	112.297
Length    6, alignment in bytes  0:	69.9844	49.6406	112.297
Length    7, alignment in bytes  0:	73.25	54.5312	119.625
Length    7, alignment in bytes  0:	75.6875	52.8906	118.812
Length    8, alignment in bytes  0:	71.6094	54.5312	125.312
Length    8, alignment in bytes  0:	70.8125	55.3438	125.328
Length    9, alignment in bytes  0:	77.3125	57.7812	143.234
Length    9, alignment in bytes  0:	76.5	56.9531	144.047
Length   10, alignment in bytes  0:	81.3906	70.7969	152.984
Length   10, alignment in bytes  0:	80.5781	69.9844	152.172
Length   11, alignment in bytes  0:	80.5625	72.4375	159.516
Length   11, alignment in bytes  0:	83	73.2344	159.516
Length   12, alignment in bytes  0:	81.375	74.8594	166.828
Length   12, alignment in bytes  0:	78.9375	74.875	166.828
Length   13, alignment in bytes  0:	85.4531	78.9375	174.969
Length   13, alignment in bytes  0:	85.4375	76.5	174.969
Length   14, alignment in bytes  0:	90.3281	79.75	181.469
Length   14, alignment in bytes  0:	90.3438	80.5625	181.469
Length   15, alignment in bytes  0:	92.7656	83.0156	193.688
Length   15, alignment in bytes  0:	90.3281	82.1875	194.5
Length   16, alignment in bytes  0:	87.8906	85.4375	199.391
Length   16, alignment in bytes  0:	87.0625	85.4531	199.391
Length   17, alignment in bytes  0:	92.7656	87.8906	203.453
Length   17, alignment in bytes  0:	93.5781	87.8906	203.453
Length   18, alignment in bytes  0:	96.8438	90.3281	210.781
Length   18, alignment in bytes  0:	97.6562	91.9531	209.953
Length   19, alignment in bytes  0:	101.734	91.9688	214.031
Length   19, alignment in bytes  0:	97.6562	91.9531	215.656
Length   20, alignment in bytes  0:	96.8438	96.0156	218.922
Length   20, alignment in bytes  0:	96.8438	95.2188	220.547
Length   21, alignment in bytes  0:	101.734	98.4688	224.609
Length   21, alignment in bytes  0:	100.906	97.6562	224.609
Length   22, alignment in bytes  0:	114.75	100.906	229.5
Length   22, alignment in bytes  0:	114.75	100.109	229.484
Length   23, alignment in bytes  0:	106.594	102.547	238.453
Length   23, alignment in bytes  0:	109.859	103.359	237.625
Length   24, alignment in bytes  0:	112.297	105.797	243.328
Length   24, alignment in bytes  0:	112.312	105.781	242.516
Length   25, alignment in bytes  0:	109.875	108.234	248.203
Length   25, alignment in bytes  0:	109.875	107.422	248.203
Length   26, alignment in bytes  0:	124.516	111.484	253.906
Length   26, alignment in bytes  0:	125.312	111.484	253.906
Length   27, alignment in bytes  0:	123.688	113.125	258.797
Length   27, alignment in bytes  0:	122.875	112.297	257.969
Length   28, alignment in bytes  0:	122.078	115.562	262.859
Length   28, alignment in bytes  0:	122.062	117.188	262.859
Length   29, alignment in bytes  0:	125.328	117.188	268.562
Length   29, alignment in bytes  0:	125.312	118	269.359
Length   30, alignment in bytes  0:	132.656	120.438	272.625
Length   30, alignment in bytes  0:	133.453	120.453	273.438
Length   31, alignment in bytes  0:	135.094	122.891	282.391
Length   31, alignment in bytes  0:	135.906	122.891	283.203
Length   32, alignment in bytes  0:	131.031	126.141	288.891
Length   32, alignment in bytes  1:	131.828	126.141	285.656
Length   64, alignment in bytes  0:	196.938	205.891	467.938
Length   64, alignment in bytes  2:	211.594	205.891	460.609
Length  128, alignment in bytes  0:	360.5	366.203	826.828
Length  128, alignment in bytes  3:	339.359	365.391	820.312
Length  256, alignment in bytes  0:	628.266	685.219	1533.2
Length  256, alignment in bytes  4:	628.25	686.031	1524.25
