                       	__strcpy_chk	normal_strcpy	simple_strcpy_chk
Length    0, alignment  0/ 0:	92.7656	48.8281	39.875
Length    0, alignment  0/ 0:	74.875	44.7656	39.875
Length    0, alignment  0/ 0:	65.0938	44.75	38.25
Length    0, alignment  0/ 0:	63.4844	47.2031	39.0625
Length    1, alignment  0/ 0:	66.7344	48.8281	43.9375
Length    1, alignment  0/ 0:	66.7344	48.8281	43.1406
Length    1, alignment  0/ 1:	65.9219	49.6406	43.9375
Length    1, alignment  1/ 0:	65.9219	49.6406	43.9531
Length    2, alignment  0/ 0:	69.9844	52.9062	51.2656
Length    2, alignment  0/ 0:	69.9844	51.2656	50.4531
Length    2, alignment  0/ 2:	69.9844	52.0781	59.4062
Length    2, alignment  2/ 0:	70	52.0781	49.6406
Length    3, alignment  0/ 0:	100.109	54.5156	54.5312
Length    3, alignment  0/ 0:	99.2812	53.7031	55.3438
Length    3, alignment  0/ 3:	84.6406	54.5156	55.3438
Length    3, alignment  3/ 0:	89.5156	53.7188	54.5156
Length    4, alignment  0/ 0:	114.734	57.7656	58.5938
Length    4, alignment  0/ 0:	104.156	56.1562	58.5938
Length    4, alignment  0/ 4:	104.984	56.1562	58.5938
Length    4, alignment  4/ 0:	104.969	56.1562	58.5938
Length    5, alignment  0/ 0:	105.797	60.2344	69.1719
Length    5, alignment  0/ 0:	104.984	59.4062	68.3594
Length    5, alignment  0/ 5:	92.7812	58.5938	70.8125
Length    5, alignment  5/ 0:	92.7656	58.5938	69.1719
Length    6, alignment  0/ 0:	108.234	63.4844	75.6875
Length    6, alignment  0/ 0:	106.609	61.8594	74.875
Length    6, alignment  0/ 6:	104.156	62.6562	74.875
Length    6, alignment  6/ 0:	95.2031	61.8594	74.0469
Length    7, alignment  0/ 0:	111.484	70.7969	78.125
Length    7, alignment  0/ 0:	112.297	70.7969	78.9375
Length    7, alignment  0/ 7:	106.594	70.8125	78.125
Length    7, alignment  7/ 0:	104.156	70.7969	78.9375
Length    8, alignment  0/ 0:	113.109	73.2344	80.5625
Length    8, alignment  0/ 0:	112.312	73.25	82.2031
Length    8, alignment  0/ 0:	114.75	74.0625	81.375
Length    8, alignment  0/ 0:	113.938	83	81.375
Length    9, alignment  0/ 0:	115.562	75.6875	84.6406
Length    9, alignment  0/ 0:	123.703	76.5	85.4531
Length    9, alignment  0/ 1:	111.484	75.6719	86.2656
Length    9, alignment  1/ 0:	104.156	74.875	85.4375
Length   10, alignment  0/ 0:	127.766	78.125	88.7031
Length   10, alignment  0/ 0:	127.766	78.125	89.5312
Length   10, alignment  0/ 2:	126.953	78.9375	89.5312
Length   10, alignment  2/ 0:	118.812	78.125	90.3438
Length   11, alignment  0/ 0:	134.281	81.375	92.7656
Length   11, alignment  0/ 0:	134.281	81.375	92.7812
Length   11, alignment  0/ 3:	137.531	79.75	91.9688
Length   11, alignment  3/ 0:	126.953	81.3906	92.7656
Length   12, alignment  0/ 0:	138.359	83.8281	97.6562
Length   12, alignment  0/ 0:	137.531	84.625	96.0312
Length   12, alignment  0/ 4:	137.531	83	95.2188
Length   12, alignment  4/ 0:	148.109	89.5156	96.8438
Length   13, alignment  0/ 0:	148.922	85.4531	97.6562
Length   13, alignment  0/ 0:	139.156	85.4531	98.4688
Length   13, alignment  0/ 5:	135.094	86.2656	99.2812
Length   13, alignment  5/ 0:	134.281	102.547	99.2969
Length   14, alignment  0/ 0:	143.234	88.7031	102.531
Length   14, alignment  0/ 0:	142.422	87.8906	103.359
Length   14, alignment  0/ 6:	141.609	87.8906	102.531
Length   14, alignment  6/ 0:	120.438	96.0312	103.359
Length   15, alignment  0/ 0:	159.5	90.3281	106.609
Length   15, alignment  0/ 0:	148.922	91.1562	104.984
Length   15, alignment  0/ 7:	154.625	90.3438	106.609
Length   15, alignment  7/ 0:	123.688	98.4688	105.797
Length   16, alignment  0/ 0:	158.703	99.2812	109.875
Length   16, alignment  7/ 2:	131.844	105.797	109.062
Length   32, alignment  0/ 0:	153	114.734	161.938
Length   32, alignment  6/ 4:	140.781	122.062	162.75
Length   64, alignment  0/ 0:	179.031	148.109	269.359
Length   64, alignment  5/ 6:	215.656	162.766	268.547
Length  128, alignment  0/ 0:	240.062	211.594	482.594
Length  128, alignment  4/ 0:	232.75	203.453	482.594
Length  256, alignment  0/ 0:	341.797	309.25	909.016
Length  256, alignment  3/ 2:	435.391	374.359	917.156
Length  512, alignment  0/ 0:	552.578	522.453	1770.84
Length  512, alignment  2/ 4:	714.516	640.469	1773.28
Length 1024, alignment  0/ 0:	952.156	948.891	3498.53
Length 1024, alignment  1/ 6:	1249.19	1177.56	3484.7
Length   16, alignment  1/ 2:	152.172	113.938	108.234
Length   16, alignment  2/ 1:	158.688	109.047	109.062
Length   16, alignment  1/ 1:	165.188	100.906	109.062
Length   16, alignment  1/ 1:	164.391	100.094	108.234
Length   32, alignment  2/ 4:	158.703	126.953	162.766
Length   32, alignment  4/ 2:	170.906	119.625	161.953
Length   32, alignment  2/ 2:	183.922	115.562	162.766
Length   32, alignment  2/ 2:	183.922	113.938	163.562
Length   64, alignment  3/ 6:	222.969	173.344	269.359
Length   64, alignment  6/ 3:	196.125	162.766	268.562
Length   64, alignment  3/ 3:	200.188	158.703	269.375
Length   64, alignment  3/ 3:	200.203	150.547	278.328
Length  128, alignment  4/ 0:	234.375	192.859	943.203
Length  128, alignment  0/ 4:	243.328	211.578	482.594
Length  128, alignment  4/ 4:	237.625	201.812	483.406
Length  128, alignment  4/ 4:	236	192.859	482.594
Length  256, alignment  5/ 2:	417.469	371.906	909.016
Length  256, alignment  2/ 5:	432.125	373.531	917.969
Length  256, alignment  5/ 5:	376.781	310.875	909.016
Length  256, alignment  5/ 5:	377.594	302.734	909.016
Length  512, alignment  6/ 4:	662.422	638.016	1772.45
Length  512, alignment  4/ 6:	691.734	628.266	1771.66
Length  512, alignment  6/ 6:	603.031	515.141	1771.64
Length  512, alignment  6/ 6:	572.109	515.953	1771.66
Length 1024, alignment  7/ 6:	1233.72	1163.73	3476.56
Length 1024, alignment  6/ 7:	1171.06	1163.75	3485.52
Length 1024, alignment  7/ 7:	945.641	940.766	3485.52
Length 1024, alignment  7/ 7:	940.75	951.328	3485.52
Length    0, alignment  0/ 0:	63.4688	44.75	37.4375
Length    0, alignment  0/ 0:	63.4844	44.75	38.25
Length    0, alignment  0/ 0:	64.2812	44.75	37.4375
Length    0, alignment  0/ 0:	73.2344	45.5781	38.25
Length    1, alignment  0/ 0:	67.5312	49.6406	43.125
Length    1, alignment  0/ 0:	65.9219	48.8281	43.9531
Length    1, alignment  0/ 1:	66.7188	48.8281	43.9531
Length    1, alignment  1/ 0:	65.9219	48.8281	43.1406
Length    2, alignment  0/ 0:	69.9844	52.0781	50.4531
Length    2, alignment  0/ 0:	70.7969	51.2812	50.4531
Length    2, alignment  0/ 2:	69.1719	51.2656	48.8281
Length    2, alignment  2/ 0:	70	51.2656	49.6406
Length    3, alignment  0/ 0:	100.094	55.3281	54.5156
Length    3, alignment  0/ 0:	100.109	54.5312	55.3438
Length    3, alignment  0/ 3:	84.6406	54.5156	53.7031
Length    3, alignment  3/ 0:	89.5156	53.7188	54.5312
Length    4, alignment  0/ 0:	106.609	58.5938	58.5938
Length    4, alignment  0/ 0:	104.969	56.9688	58.5938
Length    4, alignment  0/ 4:	104.984	56.1406	58.5938
Length    4, alignment  4/ 0:	104.969	56.9688	58.5938
Length    5, alignment  0/ 0:	104.969	59.4062	69.1719
Length    5, alignment  0/ 0:	104.984	61.0469	70.7969
Length    5, alignment  0/ 5:	91.9688	59.4062	69.1875
Length    5, alignment  5/ 0:	93.5938	58.5938	69.1719
Length    6, alignment  0/ 0:	107.422	60.2188	75.6875
Length    6, alignment  0/ 0:	116.375	61.8438	74.0625
Length    6, alignment  0/ 6:	105.797	62.6562	74.875
Length    6, alignment  6/ 0:	95.2031	61.8438	74.8594
Length    7, alignment  0/ 0:	112.297	71.6094	78.125
Length    7, alignment  0/ 0:	111.484	70.7969	78.9375
Length    7, alignment  0/ 7:	107.422	71.6094	78.125
Length    7, alignment  7/ 0:	102.531	70.7969	78.125
Length    8, alignment  0/ 0:	115.562	72.4375	82.2031
Length    8, alignment  0/ 0:	113.109	73.2344	81.3906
Length    8, alignment  0/ 0:	113.125	74.0625	82.2031
Length    8, alignment  0/ 0:	113.922	73.25	81.375
Length    9, alignment  0/ 0:	115.562	76.5	84.625
Length    9, alignment  0/ 0:	125.328	74.8594	84.625
Length    9, alignment  0/ 1:	113.938	75.6875	86.2656
Length    9, alignment  1/ 0:	104.984	76.5	85.4375
Length   10, alignment  0/ 0:	129.406	78.125	88.7031
Length   10, alignment  0/ 0:	127.766	77.3125	87.8906
Length   10, alignment  0/ 2:	126.953	78.125	88.7031
Length   10, alignment  2/ 0:	118.812	78.9375	88.7031
Length   11, alignment  0/ 0:	135.906	79.75	91.9531
Length   11, alignment  0/ 0:	135.094	81.375	92.7812
Length   11, alignment  0/ 3:	137.531	81.375	91.9531
Length   11, alignment  3/ 0:	126.953	81.3906	91.9688
Length   12, alignment  0/ 0:	137.547	83	104.172
Length   12, alignment  0/ 0:	138.344	83.8125	95.2031
Length   12, alignment  0/ 4:	137.531	83	95.2031
Length   12, alignment  4/ 0:	146.484	90.3438	95.2031
Length   13, alignment  0/ 0:	140.797	86.2656	100.094
Length   13, alignment  0/ 0:	139.172	85.4375	99.2812
Length   13, alignment  0/ 5:	135.906	86.2656	99.2812
Length   13, alignment  5/ 0:	139.156	101.734	99.2969
Length   14, alignment  0/ 0:	142.422	87.8906	102.547
Length   14, alignment  0/ 0:	142.422	87.8906	102.531
Length   14, alignment  0/ 6:	142.422	88.7031	102.547
Length   14, alignment  6/ 0:	122.062	96.8438	102.547
Length   15, alignment  0/ 0:	148.109	90.3281	104.969
Length   15, alignment  0/ 0:	148.109	89.5156	105.797
Length   15, alignment  0/ 7:	153.797	90.3281	105.797
Length   15, alignment  7/ 0:	131.828	98.4688	104.984
Length   16, alignment  0/ 0:	159.516	99.2812	109.047
Length   16, alignment  7/ 2:	130.219	105.797	109.047
Length   32, alignment  0/ 0:	153	113.109	161.938
Length   32, alignment  6/ 4:	143.234	122.891	163.578
Length   64, alignment  0/ 0:	177.406	148.109	268.547
Length   64, alignment  5/ 6:	205.891	161.125	269.375
Length  128, alignment  0/ 0:	240.891	202.641	482.578
Length  128, alignment  4/ 0:	233.547	193.688	482.594
Length  256, alignment  0/ 0:	351.562	310.047	908.203
Length  256, alignment  3/ 2:	433.766	374.344	917.156
Length  512, alignment  0/ 0:	738.922	524.078	1773.27
Length  512, alignment  2/ 4:	699.062	638.828	1762.7
Length 1024, alignment  0/ 0:	958.656	948.891	3485.52
Length 1024, alignment  1/ 6:	1250	1171.06	3486.33
Length   16, alignment  1/ 2:	152.188	104.172	109.062
Length   16, alignment  2/ 1:	158.688	109.047	109.859
Length   16, alignment  1/ 1:	164.391	101.719	109.047
Length   16, alignment  1/ 1:	165.203	99.2812	109.859
Length   32, alignment  2/ 4:	158.688	129.406	162.75
Length   32, alignment  4/ 2:	173.344	118	161.141
Length   32, alignment  2/ 2:	184.734	116.375	163.578
Length   32, alignment  2/ 2:	184.734	114.75	170.906
Length   64, alignment  3/ 6:	218.094	173.328	269.359
Length   64, alignment  6/ 3:	186.359	162.766	269.375
Length   64, alignment  3/ 3:	193.672	150.547	269.375
Length   64, alignment  3/ 3:	195.312	151.375	269.359
Length  128, alignment  4/ 0:	233.562	192.047	490.719
Length  128, alignment  0/ 4:	243.328	201.812	490.734
Length  128, alignment  4/ 4:	237.625	193.672	490.719
Length  128, alignment  4/ 4:	236.828	192.047	490.734
Length  256, alignment  5/ 2:	417.469	361.328	909.844
Length  256, alignment  2/ 5:	440.266	371.906	908.203
Length  256, alignment  5/ 5:	375.969	302.734	917.969
Length  256, alignment  5/ 5:	369.469	301.906	909.016
Length  512, alignment  6/ 4:	655.109	630.688	1770.03
Length  512, alignment  4/ 6:	677.078	636.391	1781.42
Length  512, alignment  6/ 6:	580.25	515.953	1770.84
Length  512, alignment  6/ 6:	585.125	515.141	1771.66
Length 1024, alignment  7/ 6:	1225.59	1163.73	3484.69
Length 1024, alignment  6/ 7:	1162.11	1163.73	3483.06
Length 1024, alignment  7/ 7:	944.828	950.531	3484.7
Length 1024, alignment  7/ 7:	951.328	950.516	3476.56
Length    0, alignment  0/ 0:	77.3125	44.7656	39.0625
Length    0, alignment  0/ 0:	64.2969	43.9531	39.0625
Length    0, alignment  0/ 0:	63.4844	44.7656	38.25
Length    1, alignment  0/ 0:	69.9844	50.4531	44.7656
Length    1, alignment  0/ 1:	66.7344	48.8281	43.9531
Length    1, alignment  1/ 0:	66.7344	48.8281	43.1406
