                                	strcspn	simple_strcspn	stupid_strcspn
Length  512, alignment  0, rej len  0:	1173.5	2605.8	2955.73
Length  512, alignment  0, rej len  0:	1142.58	2604.98	2954.92
Length  512, alignment  0, rej len  1:	1198.72	5163.58	4671.22
Length  512, alignment  1, rej len  1:	1215	5168.47	4676.92
Length  512, alignment  0, rej len  2:	1457.52	6874.19	8147.78
Length  512, alignment  2, rej len  2:	1457.52	7165.53	7831.22
Length  512, alignment  0, rej len  3:	1460.77	8586.42	11336.3
Length  512, alignment  3, rej len  3:	1462.41	8582.36	10223.8
Length  512, alignment  0, rej len  4:	1466.48	10297.9	12809.2
Length  512, alignment  4, rej len  4:	1465.66	10298.7	16792.8
Length  512, alignment  0, rej len  5:	1469.72	12221.7	20521.7
Length  512, alignment  5, rej len  5:	1469.73	12007.7	15357.2
Length  512, alignment  0, rej len  6:	1648.77	17028.8	22733.6
Length  512, alignment  6, rej len  6:	1472.97	17028.8	22194
Length  512, alignment  0, rej len  7:	1478.67	18957.5	25316.6
Length  512, alignment  7, rej len  7:	1477.05	19012.9	25456.5
Length  512, alignment  0, rej len  8:	1482.75	20920.4	27875.2
Length  512, alignment  0, rej len  8:	1481.94	20731.6	27884.9
Length  512, alignment  0, rej len  9:	1493.33	23553.1	30625
Length  512, alignment  1, rej len  9:	1494.14	22426.8	30412.6
Length  512, alignment  0, rej len 10:	1498.22	24154.5	33394.4
Length  512, alignment  2, rej len 10:	1637.38	24167.5	33037.9
Length  512, alignment  0, rej len 11:	1500.64	25856.1	35791
Length  512, alignment  3, rej len 11:	1503.91	25848.8	35555
Length  512, alignment  0, rej len 12:	1507.16	27662	38115.2
Length  512, alignment  4, rej len 12:	1506.36	27585.4	38314.6
Length  512, alignment  0, rej len 13:	1511.23	29484.9	40730.8
Length  512, alignment  5, rej len 13:	1513.67	29264.3	41980
Length  512, alignment  0, rej len 14:	1515.3	30996.9	43475.8
Length  512, alignment  6, rej len 14:	1514.48	31256.5	43447.3
Length  512, alignment  0, rej len 15:	1518.55	32691.2	46021.3
Length  512, alignment  7, rej len 15:	1519.38	32704.3	46012.4
Length  512, alignment  0, rej len 16:	1524.25	35065.9	48384.6
Length  512, alignment  0, rej len 16:	1522.62	34580.9	48805.3
Length  512, alignment  0, rej len 17:	1527.5	36090.5	50935
Length  512, alignment  1, rej len 17:	1526.7	36540.5	50996.9
Length  512, alignment  0, rej len 18:	1534.02	37801.1	53839.5
Length  512, alignment  2, rej len 18:	1532.39	37817.4	53714.2
Length  512, alignment  0, rej len 19:	1536.45	39749.4	56130.4
Length  512, alignment  3, rej len 19:	1537.27	39678.5	56382.6
Length  512, alignment  0, rej len 20:	1542.16	41416.8	58641.8
Length  512, alignment  4, rej len 20:	1539.7	41426.6	58829.8
Length  512, alignment  0, rej len 21:	1542.97	42937	61569.8
Length  512, alignment  5, rej len 21:	1543.78	42976.1	61440.4
Length  512, alignment  0, rej len 22:	1547.86	44969.1	63986.8
Length  512, alignment  6, rej len 22:	1549.48	44637.9	64388
Length  512, alignment  0, rej len 23:	1553.55	46348.5	66604
Length  512, alignment  7, rej len 23:	1554.36	46349.3	66321.6
Length  512, alignment  0, rej len 24:	1556.81	48472.5	68933.1
