                    	strlen	simple_STRLEN	builtin_strlen
Length    1, alignment  1:	69.1719	39.0625	46.3906
Length    1, alignment  0:	43.9531	35	44.75
Length    2, alignment  2:	48.0156	39.0625	51.2656
Length    2, alignment  0:	47.1875	39.0625	51.2812
Length    3, alignment  3:	48.8281	43.125	54.5312
Length    3, alignment  0:	49.6406	42.3281	56.1562
Length    4, alignment  4:	52.8906	42.3125	56.1562
Length    4, alignment  0:	51.2812	43.1406	56.9688
Length    5, alignment  5:	53.7031	46.375	58.5938
Length    5, alignment  0:	53.7031	45.5781	58.5938
Length    6, alignment  6:	54.5156	47.2031	61.0312
Length    6, alignment  0:	54.5156	47.2031	60.2188
Length    7, alignment  7:	56.9688	52.0781	61.0312
Length    7, alignment  0:	56.1562	50.4531	61.8438
Length    4, alignment  0:	51.2656	42.3125	57.7812
Length    4, alignment  7:	50.4531	41.5	57.7812
Length    4, alignment  2:	50.4531	41.5	56.9688
Length    2, alignment  2:	47.2031	39.0625	51.2656
Length    8, alignment  0:	58.5938	53.7188	63.4688
Length    8, alignment  7:	58.5938	52.0781	63.4688
Length    8, alignment  3:	56.1562	51.2656	64.2812
Length    5, alignment  3:	52.9062	45.5625	57.7812
Length   16, alignment  0:	94.4062	85.4531	96.0312
Length   16, alignment  7:	69.9844	84.6406	70.7969
Length   16, alignment  4:	84.625	85.4531	84.625
Length   10, alignment  4:	76.5	67.5469	78.125
Length   32, alignment  0:	102.547	125.312	104.156
Length   32, alignment  7:	78.125	125.328	78.9375
Length   32, alignment  5:	89.5156	124.516	89.5156
Length   21, alignment  5:	86.25	98.4844	86.2656
Length   64, alignment  0:	120.438	204.266	124.5
Length   64, alignment  7:	95.2188	204.266	97.6562
Length   64, alignment  6:	99.2969	205.891	100.094
Length   42, alignment  6:	88.7031	150.547	90.3281
Length  128, alignment  0:	165.203	364.578	166.828
Length  128, alignment  7:	140.797	366.219	142.422
Length  128, alignment  7:	140.781	365.406	142.422
Length   85, alignment  7:	119.625	258.797	121.266
Length  256, alignment  0:	231.938	685.219	232.734
Length  256, alignment  7:	207.516	685.219	208.344
Length  256, alignment  8:	231.938	685.219	233.562
Length  170, alignment  8:	186.359	470.375	188
Length  512, alignment  0:	364.578	1325.69	367.031
Length  512, alignment  7:	340.984	1325.67	342.609
Length  512, alignment  9:	362.141	1324.88	365.391
Length  341, alignment  9:	270.984	898.438	272.625
Length 1024, alignment  0:	631.516	2605.8	633.141
Length 1024, alignment  7:	607.094	2605.8	609.531
Length 1024, alignment 10:	626.625	2604.98	628.25
Length  682, alignment 10:	445.969	1750.5	449.219
Length 2048, alignment  0:	1164.55	5165.2	1165.38
Length 2048, alignment  7:	1140.95	5166.02	1141.77
Length 2048, alignment 11:	1156.41	5165.2	1158.86
Length 1365, alignment 11:	803.219	3457.84	804.859
Length 4096, alignment  0:	2232.25	10869.1	2236.33
Length 4096, alignment  7:	2208.66	10285.7	2208.66
Length 4096, alignment 12:	2221.67	10285.7	2224.12
Length 2730, alignment 12:	1508.78	6870.12	1511.23
