                       	strncasecmp	simple_strncasecmp	stupid_strncasecmp
Length    1, alignment  1/ 1:	100.906	40.6875	115.562
Length    1, alignment  1/ 1:	67.5469	74.875	106.609
Length    1, alignment  1/ 1:	63.4844	70	102.547
Length    1, alignment  1/ 1:	63.4844	69.9844	102.547
Length    1, alignment  1/ 1:	75.6875	81.3906	112.297
Length    1, alignment  1/ 1:	61.8438	70.7969	100.922
Length    1, alignment  1/ 1:	64.2812	69.1719	103.359
Length    2, alignment  2/ 2:	65.9062	73.25	111.5
Length    2, alignment  2/ 2:	75.6875	81.375	120.438
Length    2, alignment  2/ 2:	75.6719	78.9375	116.375
Length    2, alignment  2/ 2:	74.0625	78.125	117.188
Length    2, alignment  2/ 2:	87.0781	101.719	130.203
Length    2, alignment  2/ 2:	73.2344	78.125	116.375
Length    2, alignment  2/ 2:	73.2344	78.125	115.562
Length    3, alignment  3/ 3:	78.125	81.375	126.953
Length    3, alignment  3/ 3:	87.0781	92.7656	138.359
Length    3, alignment  3/ 3:	86.2656	90.3438	133.469
Length    3, alignment  3/ 3:	87.0781	89.5156	131.828
Length    3, alignment  3/ 3:	104.984	118	147.297
Length    3, alignment  3/ 3:	86.2656	91.1562	135.094
Length    3, alignment  3/ 3:	85.4531	89.5156	131.016
Length    4, alignment  4/ 4:	87.8906	93.5938	141.594
Length    4, alignment  4/ 4:	108.234	115.562	152.172
Length    4, alignment  4/ 4:	96.0312	115.547	149.734
Length    4, alignment  4/ 4:	94.3906	116.375	148.109
Length    4, alignment  4/ 4:	119.625	795.094	164.391
Length    4, alignment  4/ 4:	99.2812	116.375	148.109
Length    4, alignment  4/ 4:	96.0312	115.562	148.922
Length    5, alignment  5/ 5:	109.062	115.547	157.062
Length    5, alignment  5/ 5:	122.078	129.406	166.828
Length    5, alignment  5/ 5:	117.188	127.781	164.391
Length    5, alignment  5/ 5:	117.188	126.953	165.203
Length    5, alignment  5/ 5:	131.016	140.797	180.672
Length    5, alignment  5/ 5:	117.188	127.766	165.203
Length    5, alignment  5/ 5:	117.188	126.953	163.578
Length    6, alignment  6/ 6:	122.891	130.219	170.078
Length    6, alignment  6/ 6:	136.719	141.594	184.734
Length    6, alignment  6/ 6:	131.016	138.344	185.547
Length    6, alignment  6/ 6:	131.016	139.156	185.547
Length    6, alignment  6/ 6:	141.594	152.172	197.766
Length    6, alignment  6/ 6:	131.016	137.531	184.734
Length    6, alignment  6/ 6:	130.219	137.531	183.922
Length    7, alignment  7/ 7:	133.453	142.422	188.797
Length    7, alignment  7/ 7:	144.031	152.984	201.828
Length    7, alignment  7/ 7:	142.406	148.938	200.188
Length    7, alignment  7/ 7:	141.609	149.734	199.391
Length    7, alignment  7/ 7:	152.172	164.391	210.781
Length    7, alignment  7/ 7:	141.594	149.734	199.375
Length    7, alignment  7/ 7:	142.422	149.734	197.75
Length    8, alignment  0/ 0:	144.047	153.797	208.328
Length    8, alignment  0/ 0:	155.438	165.203	214.031
Length    8, alignment  0/ 0:	151.359	161.953	213.219
Length    8, alignment  0/ 0:	152.984	161.938	213.219
