                    	strrchr	simple_strrchr
Length 2048, alignment in bytes  0:	2434.08	7235.52
Length 2048, alignment in bytes  1:	2438.16	6872.56
Length 2048, alignment in bytes  0:	2412.92	7356.77
Length 2048, alignment in bytes  2:	2432.47	6873.38
Length 2048, alignment in bytes  0:	2412.92	6871.75
Length 2048, alignment in bytes  3:	2421.06	6872.56
Length 2048, alignment in bytes  0:	2411.3	6872.56
Length 2048, alignment in bytes  4:	2421.88	6872.56
Length 2048, alignment in bytes  0:	2412.11	7539.88
Length 2048, alignment in bytes  5:	2418.62	6872.56
Length 2048, alignment in bytes  0:	2412.11	6872.55
Length 2048, alignment in bytes  6:	2414.56	6871.75
Length 2048, alignment in bytes  0:	2412.92	6871.75
Length 2048, alignment in bytes  7:	2408.03	6871.73
Length  256, alignment in bytes  1:	383.297	898.438
Length  256, alignment in bytes  1:	383.297	897.625
Length  256, alignment in bytes  2:	379.234	898.438
Length  256, alignment in bytes  2:	378.422	898.438
Length  256, alignment in bytes  3:	369.469	898.438
Length  256, alignment in bytes  3:	367.828	898.438
Length  256, alignment in bytes  4:	370.266	899.25
Length  256, alignment in bytes  4:	368.641	898.438
Length  256, alignment in bytes  5:	365.391	900.062
Length  256, alignment in bytes  5:	363.766	899.25
Length  256, alignment in bytes  6:	359.703	899.25
Length  256, alignment in bytes  6:	359.703	899.25
Length  256, alignment in bytes  7:	354.812	897.625
Length  256, alignment in bytes  7:	354.828	899.25
Length    1, alignment in bytes  0:	53.7031	36.6094
Length    1, alignment in bytes  0:	53.7188	37.4375
Length    2, alignment in bytes  0:	53.7031	43.1406
Length    2, alignment in bytes  0:	53.7031	43.1406
Length    3, alignment in bytes  0:	53.7031	45.5781
Length    3, alignment in bytes  0:	53.7188	43.9531
Length    4, alignment in bytes  0:	58.5938	47.2031
Length    4, alignment in bytes  0:	56.9688	47.2031
Length    5, alignment in bytes  0:	57.7812	52.0938
Length    5, alignment in bytes  0:	57.7812	50.4531
Length    6, alignment in bytes  0:	57.7812	53.7031
Length    6, alignment in bytes  0:	56.9531	52.8906
Length    7, alignment in bytes  0:	57.7812	59.4062
Length    7, alignment in bytes  0:	56.9688	56.9688
Length    8, alignment in bytes  0:	65.1094	59.4062
Length    8, alignment in bytes  0:	63.4688	61.0312
Length    9, alignment in bytes  0:	64.2969	63.4844
Length    9, alignment in bytes  0:	63.4688	64.2812
Length   10, alignment in bytes  0:	62.6719	76.5
Length   10, alignment in bytes  0:	64.2812	77.3125
Length   11, alignment in bytes  0:	63.4688	82.1875
Length   11, alignment in bytes  0:	63.4688	81.375
Length   12, alignment in bytes  0:	69.1719	87.0781
Length   12, alignment in bytes  0:	66.7344	84.6406
Length   13, alignment in bytes  0:	67.5469	89.5156
Length   13, alignment in bytes  0:	67.5469	88.7031
Length   14, alignment in bytes  0:	66.7344	91.9531
Length   14, alignment in bytes  0:	67.5469	91.9531
Length   15, alignment in bytes  0:	68.3594	96.0312
Length   15, alignment in bytes  0:	67.5469	96.8438
Length   16, alignment in bytes  0:	75.6875	99.2969
Length   16, alignment in bytes  0:	74.875	98.4688
Length   17, alignment in bytes  0:	74.875	101.719
Length   17, alignment in bytes  0:	75.6875	102.547
Length   18, alignment in bytes  0:	75.6875	105.797
Length   18, alignment in bytes  0:	74.8594	105.797
Length   19, alignment in bytes  0:	74.875	109.047
Length   19, alignment in bytes  0:	75.6875	108.234
Length   20, alignment in bytes  0:	77.3125	112.312
Length   20, alignment in bytes  0:	77.3125	112.312
Length   21, alignment in bytes  0:	78.9375	113.938
Length   21, alignment in bytes  0:	77.3125	115.547
Length   22, alignment in bytes  0:	77.3125	118.812
Length   22, alignment in bytes  0:	77.3125	118
Length   23, alignment in bytes  0:	78.125	121.25
Length   23, alignment in bytes  0:	77.3125	121.266
