                       	strtok	oldstrtok
Length    4/2, alignment  0/ 0, found:	638.016	1115.73
Length    4/2, alignment  0/ 0, fail:	555.828	1035.16
Length    4/2, alignment  0/ 3, found:	556.641	1022.94
Length    4/2, alignment  0/ 3, fail:	555.828	1031.89
Length    4/2, alignment  0/ 9, found:	554.203	1022.12
Length    4/2, alignment  0/ 9, fail:	563.969	1018.06
Length    4/2, alignment  0/15, found:	563.156	1014
Length    4/2, alignment  0/15, fail:	554.203	1018.88
Length    4/2, alignment  3/ 0, found:	554.203	1025.39
Length    4/2, alignment  3/ 0, fail:	555.828	1027.02
Length    4/2, alignment  3/ 3, found:	555	1022.12
Length    4/2, alignment  3/ 3, fail:	555.016	1018.06
Length    4/2, alignment  3/ 9, found:	563.969	1012.38
Length    4/2, alignment  3/ 9, fail:	554.203	1018.88
Length    4/2, alignment  3/15, found:	555.016	1022.14
Length    4/2, alignment  3/15, fail:	555	1031.09
Length    4/2, alignment  9/ 0, found:	555.016	1021.31
Length    4/2, alignment  9/ 0, fail:	555.828	1018.08
Length    4/2, alignment  9/ 3, found:	563.156	1013.19
Length    4/2, alignment  9/ 3, fail:	563.156	1018.88
Length    4/2, alignment  9/ 9, found:	555.016	1022.14
Length    4/2, alignment  9/ 9, fail:	555.828	1046.55
Length    4/2, alignment  9/15, found:	555.016	1023.77
Length    4/2, alignment  9/15, fail:	556.641	1027.02
Length    4/2, alignment 15/ 0, found:	563.969	1014
Length    4/2, alignment 15/ 0, fail:	564.781	1021.31
Length    4/2, alignment 15/ 3, found:	554.188	1012.36
Length    4/2, alignment 15/ 3, fail:	554.188	1029.45
Length    4/2, alignment 15/ 9, found:	555.016	1022.14
Length    4/2, alignment 15/ 9, fail:	555	1029.47
Length    4/2, alignment 15/15, found:	554.203	1013.19
Length    4/2, alignment 15/15, fail:	563.969	1019.7
Length    6/2, alignment  0/ 0, found:	559.891	1014.81
Length    6/2, alignment  0/ 0, fail:	569.672	1049.8
Length    6/2, alignment  0/ 3, found:	550.953	1023.77
Length    6/2, alignment  0/ 3, fail:	568.031	1048.19
Length    6/2, alignment  0/ 9, found:	551.766	1014.81
Length    6/2, alignment  0/ 9, fail:	576.172	1040.03
Length    6/2, alignment  0/15, found:	559.906	1014.81
Length    6/2, alignment  0/15, fail:	569.656	1048.17
Length    6/2, alignment  3/ 0, found:	550.125	1022.95
Length    6/2, alignment  3/ 0, fail:	568.844	1048.17
Length    6/2, alignment  3/ 3, found:	550.938	1014.81
Length    6/2, alignment  3/ 3, fail:	579.422	1040.03
Length    6/2, alignment  3/ 9, found:	559.078	1014.81
Length    6/2, alignment  3/ 9, fail:	568.031	1048.98
Length    6/2, alignment  3/15, found:	550.953	1022.94
Length    6/2, alignment  3/15, fail:	568.844	1760.25
Length    6/2, alignment  9/ 0, found:	551.766	1014
Length    6/2, alignment  9/ 0, fail:	568.859	1047.36
Length    6/2, alignment  9/ 3, found:	550.938	1022.95
Length    6/2, alignment  9/ 3, fail:	568.031	1049
Length    6/2, alignment  9/ 9, found:	550.141	1013.17
Length    6/2, alignment  9/ 9, fail:	577.797	1038.41
Length    6/2, alignment  9/15, found:	550.125	1014.81
Length    6/2, alignment  9/15, fail:	568.844	1048.17
Length    6/2, alignment 15/ 0, found:	550.125	1027.02
Length    6/2, alignment 15/ 0, fail:	567.219	1047.36
Length    6/2, alignment 15/ 3, found:	550.125	1015.62
Length    6/2, alignment 15/ 3, fail:	576.984	1040.03
Length    6/2, alignment 15/ 9, found:	550.125	1015.62
Length    6/2, alignment 15/ 9, fail:	568.047	1047.36
Length    6/2, alignment 15/15, found:	549.312	1023.75
Length    6/2, alignment 15/15, fail:	568.031	1049.8
Length    8/2, alignment  0/ 0, found:	569.656	1041.67
Length    8/2, alignment  0/ 0, fail:	586.75	1054.69
Length    8/2, alignment  0/ 3, found:	569.672	1040.86
Length    8/2, alignment  0/ 3, fail:	576.984	1061.2
Length    8/2, alignment  0/ 9, found:	570.484	1048.98
Length    8/2, alignment  0/ 9, fail:	576.172	1063.64
Length    8/2, alignment  0/15, found:	581.047	1041.67
Length    8/2, alignment  0/15, fail:	585.938	1052.23
Length    8/2, alignment  3/ 0, found:	568.844	1049.81
Length    8/2, alignment  3/ 0, fail:	567.219	1053.88
Length    8/2, alignment  3/ 3, found:	568.844	1050.62
Length    8/2, alignment  3/ 3, fail:	578.625	1057.12
Length    8/2, alignment  3/ 9, found:	590.812	1042.47
Length    8/2, alignment  3/ 9, fail:	568.844	1062
Length    8/2, alignment  3/15, found:	569.656	1050.62
Length    8/2, alignment  3/15, fail:	568.031	1052.25
Length    8/2, alignment  9/ 0, found:	579.422	1041.67
Length    8/2, alignment  9/ 0, fail:	585.125	1051.42
Length    8/2, alignment  9/ 3, found:	570.484	1051.44
Length    8/2, alignment  9/ 3, fail:	576.984	1062.83
Length    8/2, alignment  9/ 9, found:	569.672	1051.44
Length    8/2, alignment  9/ 9, fail:	576.984	1053.88
Length    8/2, alignment  9/15, found:	578.609	1042.48
Length    8/2, alignment  9/15, fail:	576.984	1053.05
Length    8/2, alignment 15/ 0, found:	570.469	1049.8
Length    8/2, alignment 15/ 0, fail:	568.031	1050.62
Length    8/2, alignment 15/ 3, found:	570.484	1052.25
Length    8/2, alignment 15/ 3, fail:	576.984	1043.3
Length    8/2, alignment 15/ 9, found:	578.609	1040.84
Length    8/2, alignment 15/ 9, fail:	568.047	1051.42
Length    8/2, alignment 15/15, found:	569.656	1049
Length    8/2, alignment 15/15, fail:	568.844	1052.23
Length   10/2, alignment  0/ 0, found:	559.094	1018.06
Length   10/2, alignment  0/ 0, fail:	586.75	1057.14
Length   10/2, alignment  0/ 3, found:	568.844	1018.06
Length   10/2, alignment  0/ 3, fail:	576.984	1066.08
Length   10/2, alignment  0/ 9, found:	559.906	1029.45
Length   10/2, alignment  0/ 9, fail:	577.797	1065.27
Length   10/2, alignment  0/15, found:	558.266	1018.89
Length   10/2, alignment  0/15, fail:	587.562	1056.31
Length   10/2, alignment  3/ 0, found:	558.266	1018.06
Length   10/2, alignment  3/ 0, fail:	576.984	1062.83
Length   10/2, alignment  3/ 3, found:	558.266	1026.22
Length   10/2, alignment  3/ 3, fail:	576.984	1062.81
Length   10/2, alignment  3/ 9, found:	565.594	1018.88
Length   10/2, alignment  3/ 9, fail:	585.938	1056.31
Length   10/2, alignment  3/15, found:	559.078	1018.88
Length   10/2, alignment  3/15, fail:	577.812	1063.64
Length   10/2, alignment  9/ 0, found:	559.094	1027.83
Length   10/2, alignment  9/ 0, fail:	576.172	1064.45
Length   10/2, alignment  9/ 3, found:	567.219	1019.7
Length   10/2, alignment  9/ 3, fail:	751.953	1055.5
Length   10/2, alignment  9/ 9, found:	558.266	1027.83
Length   10/2, alignment  9/ 9, fail:	576.984	1067.7
Length   10/2, alignment  9/15, found:	557.453	1024.58
Length   10/2, alignment  9/15, fail:	585.125	1055.5
Length   10/2, alignment 15/ 0, found:	567.219	1018.06
Length   10/2, alignment 15/ 0, fail:	576.984	1065.27
Length   10/2, alignment 15/ 3, found:	559.078	1027.83
Length   10/2, alignment 15/ 3, fail:	576.172	1062.83
Length   10/2, alignment 15/ 9, found:	557.469	1017.25
Length   10/2, alignment 15/ 9, fail:	586.75	1054.69
Length   10/2, alignment 15/15, found:	567.234	1017.25
Length   10/2, alignment 15/15, fail:	576.984	1062.83
Length   12/2, alignment  0/ 0, found:	578.609	1055.52
Length   12/2, alignment  0/ 0, fail:	585.938	1093.75
Length   12/2, alignment  0/ 3, found:	598.953	1047.36
Length   12/2, alignment  0/ 3, fail:	597.328	1084.81
Length   12/2, alignment  0/ 9, found:	577.797	1055.52
Length   12/2, alignment  0/ 9, fail:	585.938	1092.12
Length   12/2, alignment  0/15, found:	578.609	1054.69
Length   12/2, alignment  0/15, fail:	596.516	1084.8
Length   12/2, alignment  3/ 0, found:	587.562	1045.73
Length   12/2, alignment  3/ 0, fail:	577	1088.88
Length   12/2, alignment  3/ 3, found:	577.797	1054.69
Length   12/2, alignment  3/ 3, fail:	577	1084.8
Length   12/2, alignment  3/ 9, found:	577.797	1047.38
Length   12/2, alignment  3/ 9, fail:	587.562	1076.67
Length   12/2, alignment  3/15, found:	577.797	1056.31
Length   12/2, alignment  3/15, fail:	576.984	1083.98
Length   12/2, alignment  9/ 0, found:	576.984	1055.5
Length   12/2, alignment  9/ 0, fail:	585.938	1085.61
Length   12/2, alignment  9/ 3, found:	585.938	1045.73
Length   12/2, alignment  9/ 3, fail:	586.75	1093.75
Length   12/2, alignment  9/ 9, found:	577.797	1054.69
Length   12/2, alignment  9/ 9, fail:	585.938	1093.75
Length   12/2, alignment  9/15, found:	587.562	1045.73
Length   12/2, alignment  9/15, fail:	595.703	1084.8
Length   12/2, alignment 15/ 0, found:	578.609	1054.69
Length   12/2, alignment 15/ 0, fail:	576.984	1084.8
Length   12/2, alignment 15/ 3, found:	578.609	1055.5
Length   12/2, alignment 15/ 3, fail:	585.125	1076.66
Length   12/2, alignment 15/ 9, found:	588.375	1045.73
Length   12/2, alignment 15/ 9, fail:	577.797	1085.61
Length   12/2, alignment 15/15, found:	577.797	1055.5
Length   12/2, alignment 15/15, fail:	577.797	1085.61
Length   14/2, alignment  0/ 0, found:	577.797	1050.62
Length   14/2, alignment  0/ 0, fail:	596.531	1090.5
Length   14/2, alignment  0/ 3, found:	578.625	1058.75
Length   14/2, alignment  0/ 3, fail:	585.938	1098.64
Length   14/2, alignment  0/ 9, found:	578.609	1060.39
Length   14/2, alignment  0/ 9, fail:	586.75	1090.5
Length   14/2, alignment  0/15, found:	588.375	1049.81
Length   14/2, alignment  0/15, fail:	585.938	1098.62
Length   14/2, alignment  3/ 0, found:	586.75	1068.52
Length   14/2, alignment  3/ 0, fail:	586.75	1104.33
Length   14/2, alignment  3/ 3, found:	587.562	1058.77
Length   14/2, alignment  3/ 3, fail:	596.516	1094.56
Length   14/2, alignment  3/ 9, found:	586.766	1068.52
Length   14/2, alignment  3/ 9, fail:	585.938	1103.52
Length   14/2, alignment  3/15, found:	587.562	1068.52
Length   14/2, alignment  3/15, fail:	594.078	1094.56
Length   14/2, alignment  9/ 0, found:	586.75	1049.8
Length   14/2, alignment  9/ 0, fail:	585.938	1099.45
Length   14/2, alignment  9/ 3, found:	578.625	1057.12
Length   14/2, alignment  9/ 3, fail:	585.938	1100.25
Length   14/2, alignment  9/ 9, found:	586.75	1048.17
Length   14/2, alignment  9/ 9, fail:	595.703	1089.69
Length   14/2, alignment  9/15, found:	580.25	1060.39
Length   14/2, alignment  9/15, fail:	586.75	1111.66
Length   14/2, alignment 15/ 0, found:	598.141	1059.56
Length   14/2, alignment 15/ 0, fail:	598.953	1089.69
Length   14/2, alignment 15/ 3, found:	586.75	1069.33
Length   14/2, alignment 15/ 3, fail:	586.75	1099.45
Length   14/2, alignment 15/ 9, found:	587.562	1060.38
Length   14/2, alignment 15/ 9, fail:	594.078	1089.69
Length   14/2, alignment 15/15, found:	595.703	1059.56
Length   14/2, alignment 15/15, fail:	586.75	1098.62
Length   16/2, alignment  0/ 0, found:	587.562	1071.78
Length   16/2, alignment  0/ 0, fail:	597.328	1110.84
Length   16/2, alignment  0/ 3, found:	596.516	1063.64
Length   16/2, alignment  0/ 3, fail:	598.141	1118.98
Length   16/2, alignment  0/ 9, found:	587.562	1072.58
Length   16/2, alignment  0/ 9, fail:	595.703	1119.8
Length   16/2, alignment  0/15, found:	588.375	1063.64
Length   16/2, alignment  0/15, fail:	604.656	1111.66
Length   16/2, alignment  3/ 0, found:	586.75	1073.41
Length   16/2, alignment  3/ 0, fail:	586.75	1103.52
Length   16/2, alignment  3/ 3, found:	586.75	1072.59
Length   16/2, alignment  3/ 3, fail:	594.078	1094.56
Length   16/2, alignment  3/ 9, found:	598.141	1064.45
Length   16/2, alignment  3/ 9, fail:	585.938	1107.58
Length   16/2, alignment  3/15, found:	587.562	1071.77
Length   16/2, alignment  3/15, fail:	586.75	1106.77
Length   16/2, alignment  9/ 0, found:	597.344	1062.83
Length   16/2, alignment  9/ 0, fail:	607.094	1108.39
Length   16/2, alignment  9/ 3, found:	586.75	1073.41
Length   16/2, alignment  9/ 3, fail:	595.703	1117.34
Length   16/2, alignment  9/ 9, found:	586.766	1064.45
Length   16/2, alignment  9/ 9, fail:	604.656	1108.39
Length   16/2, alignment  9/15, found:	587.562	1072.59
Length   16/2, alignment  9/15, fail:	594.891	1117.36
Length   16/2, alignment 15/ 0, found:	587.562	1071.78
Length   16/2, alignment 15/ 0, fail:	586.75	1095.38
Length   16/2, alignment 15/ 3, found:	595.703	1063.64
Length   16/2, alignment 15/ 3, fail:	586.75	1105.14
Length   16/2, alignment 15/ 9, found:	586.75	1070.95
Length   16/2, alignment 15/ 9, fail:	585.938	1099.45
Length   16/2, alignment 15/15, found:	594.891	1064.45
Length   16/2, alignment 15/15, fail:	594.891	1097.81
Length   18/2, alignment  0/ 0, found:	587.562	1089.67
Length   18/2, alignment  0/ 0, fail:	603.844	1125.48
Length   18/2, alignment  0/ 3, found:	589.188	1079.91
Length   18/2, alignment  0/ 3, fail:	611.984	1114.91
Length   18/2, alignment  0/ 9, found:	589.188	1087.23
Length   18/2, alignment  0/ 9, fail:	604.656	1123.05
Length   18/2, alignment  0/15, found:	587.578	1088.05
Length   18/2, alignment  0/15, fail:	612.797	1118.16
Length   18/2, alignment  3/ 0, found:	596.516	1096.19
Length   18/2, alignment  3/ 0, fail:	593.25	1110.03
Length   18/2, alignment  3/ 3, found:	595.703	1095.38
Length   18/2, alignment  3/ 3, fail:	594.078	1099.45
Length   18/2, alignment  3/ 9, found:	616.047	1086.42
Length   18/2, alignment  3/ 9, fail:	593.266	1108.39
Length   18/2, alignment  3/15, found:	595.703	1096.2
Length   18/2, alignment  3/15, fail:	593.25	1107.58
Length   18/2, alignment  9/ 0, found:	596.516	1075.84
Length   18/2, alignment  9/ 0, fail:	613.609	1112.47
Length   18/2, alignment  9/ 3, found:	588.375	1085.61
Length   18/2, alignment  9/ 3, fail:	602.203	1123.86
Length   18/2, alignment  9/ 9, found:	587.562	1076.66
Length   18/2, alignment  9/ 9, fail:	612.797	1114.91
Length   18/2, alignment  9/15, found:	587.562	1085.61
Length   18/2, alignment  9/15, fail:	603.016	1277.67
Length   18/2, alignment 15/ 0, found:	597.344	1088.88
Length   18/2, alignment 15/ 0, fail:	603.031	1098.64
Length   18/2, alignment 15/ 3, found:	595.703	1096.2
Length   18/2, alignment 15/ 3, fail:	593.25	1109.22
Length   18/2, alignment 15/ 9, found:	595.703	1096.19
Length   18/2, alignment 15/ 9, fail:	603.031	1099.44
Length   18/2, alignment 15/15, found:	603.844	1088.05
Length   18/2, alignment 15/15, fail:	593.25	1102.7
Length   20/2, alignment  0/ 0, found:	595.703	1101.89
Length   20/2, alignment  0/ 0, fail:	602.203	1115.72
Length   20/2, alignment  0/ 3, found:	605.469	1092.94
Length   20/2, alignment  0/ 3, fail:	602.203	1125.48
Length   20/2, alignment  0/ 9, found:	595.703	1100.25
Length   20/2, alignment  0/ 9, fail:	603.031	1124.67
Length   20/2, alignment  0/15, found:	605.469	1096.19
Length   20/2, alignment  0/15, fail:	613.594	1113.28
Length   20/2, alignment  3/ 0, found:	597.328	1104.33
Length   20/2, alignment  3/ 0, fail:	594.078	1106.77
Length   20/2, alignment  3/ 3, found:	595.703	1094.58
Length   20/2, alignment  3/ 3, fail:	603.844	1098.62
Length   20/2, alignment  3/ 9, found:	595.703	1102.7
Length   20/2, alignment  3/ 9, fail:	593.266	1108.39
Length   20/2, alignment  3/15, found:	596.516	1101.89
Length   20/2, alignment  3/15, fail:	602.219	1097.81
Length   20/2, alignment  9/ 0, found:	603.031	1094.56
Length   20/2, alignment  9/ 0, fail:	603.031	1121.42
Length   20/2, alignment  9/ 3, found:	596.516	1103.52
Length   20/2, alignment  9/ 3, fail:	603.016	1112.47
Length   20/2, alignment  9/ 9, found:	605.469	1095.38
Length   20/2, alignment  9/ 9, fail:	603.844	1118.97
Length   20/2, alignment  9/15, found:	596.516	1103.52
Length   20/2, alignment  9/15, fail:	603.031	1121.41
Length   20/2, alignment 15/ 0, found:	605.469	1088.05
Length   20/2, alignment 15/ 0, fail:	594.078	1098.64
Length   20/2, alignment 15/ 3, found:	595.703	1098.64
Length   20/2, alignment 15/ 3, fail:	594.078	1106.77
Length   20/2, alignment 15/ 9, found:	595.703	1088.05
Length   20/2, alignment 15/ 9, fail:	601.391	1101.89
Length   20/2, alignment 15/15, found:	596.516	1096.19
Length   20/2, alignment 15/15, fail:	594.078	1108.41
Length   22/2, alignment  0/ 0, found:	595.703	1118.97
Length   22/2, alignment  0/ 0, fail:	614.422	1116.55
Length   22/2, alignment  0/ 3, found:	597.328	1100.27
Length   22/2, alignment  0/ 3, fail:	603.031	1121.42
Length   22/2, alignment  0/ 9, found:	596.516	1107.58
Length   22/2, alignment  0/ 9, fail:	603.844	1115.72
Length   22/2, alignment  0/15, found:	603.828	1098.62
Length   22/2, alignment  0/15, fail:	603.844	1124.67
Length   22/2, alignment  3/ 0, found:	606.281	1123.86
Length   22/2, alignment  3/ 0, fail:	595.703	1099.44
Length   22/2, alignment  3/ 3, found:	614.422	1114.91
Length   22/2, alignment  3/ 3, fail:	594.891	1106.77
Length   22/2, alignment  3/ 9, found:	604.656	1123.05
Length   22/2, alignment  3/ 9, fail:	595.703	1099.45
Length   22/2, alignment  3/15, found:	616.047	1116.53
Length   22/2, alignment  3/15, fail:	594.891	1107.59
Length   22/2, alignment  9/ 0, found:	596.516	1106.77
Length   22/2, alignment  9/ 0, fail:	603.844	1121.42
Length   22/2, alignment  9/ 3, found:	604.656	1099.44
Length   22/2, alignment  9/ 3, fail:	613.609	1112.47
Length   22/2, alignment  9/ 9, found:	596.516	1110.03
Length   22/2, alignment  9/ 9, fail:	604.656	1121.42
Length   22/2, alignment  9/15, found:	596.516	1099.44
Length   22/2, alignment  9/15, fail:	613.609	1112.47
Length   22/2, alignment 15/ 0, found:	604.656	1263.03
Length   22/2, alignment 15/ 0, fail:	594.891	1107.58
Length   22/2, alignment 15/ 3, found:	614.422	1097.02
Length   22/2, alignment 15/ 3, fail:	604.656	1099.45
Length   22/2, alignment 15/ 9, found:	605.469	1107.59
Length   22/2, alignment 15/ 9, fail:	594.891	1110.02
Length   22/2, alignment 15/15, found:	606.281	1095.38
Length   22/2, alignment 15/15, fail:	603.031	1100.27
Length   24/2, alignment  0/ 0, found:	606.281	1128.75
Length   24/2, alignment  0/ 0, fail:	604.641	1126.31
Length   24/2, alignment  0/ 3, found:	605.469	1129.56
Length   24/2, alignment  0/ 3, fail:	612.797	1118.98
Length   24/2, alignment  0/ 9, found:	605.469	1120.61
Length   24/2, alignment  0/ 9, fail:	603.031	1125.48
Length   24/2, alignment  0/15, found:	605.469	1128.73
Length   24/2, alignment  0/15, fail:	611.984	1114.91
Length   24/2, alignment  3/ 0, found:	614.422	1114.91
Length   24/2, alignment  3/ 0, fail:	595.703	1108.39
Length   24/2, alignment  3/ 3, found:	604.656	1124.67
Length   24/2, alignment  3/ 3, fail:	594.891	1100.27
Length   24/2, alignment  3/ 9, found:	612.797	1115.72
Length   24/2, alignment  3/ 9, fail:	594.078	1111.66
Length   24/2, alignment  3/15, found:	604.656	1124.67
Length   24/2, alignment  3/15, fail:	594.078	1110.02
Length   24/2, alignment  9/ 0, found:	613.609	1120.61
Length   24/2, alignment  9/ 0, fail:	603.844	1124.67
Length   24/2, alignment  9/ 3, found:	604.656	1127.92
Length   24/2, alignment  9/ 3, fail:	603.828	1121.42
Length   24/2, alignment  9/ 9, found:	623.375	1120.59
Length   24/2, alignment  9/ 9, fail:	613.609	1116.55
