                       	wcpcpy	simple_wcpcpy
Length    0, alignments in bytes  0/ 0:	65.9062	39.875
Length    0, alignments in bytes  0/ 0:	41.5	34.1875
Length    0, alignments in bytes  0/ 0:	41.5	32.5469
Length    0, alignments in bytes  0/ 0:	41.5156	33.375
Length    1, alignments in bytes  0/ 0:	46.3906	37.4375
Length    1, alignments in bytes  0/ 0:	44.75	39.0625
Length    1, alignments in bytes  0/ 4:	45.5781	38.25
Length    1, alignments in bytes  4/ 0:	44.7656	37.4375
Length    2, alignments in bytes  0/ 0:	48.0156	40.6875
Length    2, alignments in bytes  0/ 0:	48.0156	41.5
Length    2, alignments in bytes  0/ 8:	48.0156	40.6875
Length    2, alignments in bytes  8/ 0:	48.0156	39.875
Length    3, alignments in bytes  0/ 0:	51.2656	43.9375
Length    3, alignments in bytes  0/ 0:	49.6406	43.1406
Length    3, alignments in bytes  0/12:	49.6406	43.1406
Length    3, alignments in bytes 12/ 0:	48.8281	52.0781
Length    4, alignments in bytes  0/ 0:	55.3281	46.3906
Length    4, alignments in bytes  0/ 0:	53.7188	45.5781
Length    4, alignments in bytes  0/16:	53.7031	46.375
Length    4, alignments in bytes 16/ 0:	52.8906	45.5781
Length    5, alignments in bytes  0/ 0:	55.3438	50.4531
Length    5, alignments in bytes  0/ 0:	56.1406	49.6406
Length    5, alignments in bytes  0/20:	56.1406	47.1875
Length    5, alignments in bytes 20/ 0:	63.4688	48.8281
Length    6, alignments in bytes  0/ 0:	58.5938	55.3438
Length    6, alignments in bytes  0/ 0:	57.7812	49.6406
Length    6, alignments in bytes  0/24:	58.5938	50.4688
Length    6, alignments in bytes 24/ 0:	57.7812	51.2656
Length    7, alignments in bytes  0/ 0:	60.2188	55.3281
Length    7, alignments in bytes  0/ 0:	61.0312	54.5312
Length    7, alignments in bytes  0/28:	60.2188	56.1406
Length    7, alignments in bytes 28/ 0:	60.2188	55.3438
Length    8, alignments in bytes  0/ 0:	71.625	67.5469
Length    8, alignments in bytes  0/ 0:	72.4375	68.3594
Length    8, alignments in bytes  0/ 0:	72.4375	67.5469
Length    8, alignments in bytes  0/ 0:	72.4219	67.5469
Length    9, alignments in bytes  0/ 0:	76.5	67.5469
Length    9, alignments in bytes  0/ 0:	75.6719	68.3594
Length    9, alignments in bytes  0/ 4:	75.6719	69.1719
Length    9, alignments in bytes  4/ 0:	76.5	69.1719
Length   10, alignments in bytes  0/ 0:	79.75	72.4219
Length   10, alignments in bytes  0/ 0:	77.3125	70.7969
Length   10, alignments in bytes  0/ 8:	78.125	70.8125
Length   10, alignments in bytes  8/ 0:	78.125	70.7969
Length   11, alignments in bytes  0/ 0:	80.5781	73.25
Length   11, alignments in bytes  0/ 0:	81.375	74.0469
Length   11, alignments in bytes  0/12:	80.5625	73.25
Length   11, alignments in bytes 12/ 0:	81.3906	74.0469
Length   12, alignments in bytes  0/ 0:	84.6406	76.5
Length   12, alignments in bytes  0/ 0:	83.8125	76.5
Length   12, alignments in bytes  0/16:	83.8281	76.5
Length   12, alignments in bytes 16/ 0:	91.9531	76.5
Length   13, alignments in bytes  0/ 0:	85.4531	78.9375
Length   13, alignments in bytes  0/ 0:	85.4531	78.125
Length   13, alignments in bytes  0/20:	86.2656	78.125
Length   13, alignments in bytes 20/ 0:	86.2656	78.9375
Length   14, alignments in bytes  0/ 0:	89.5156	80.5781
Length   14, alignments in bytes  0/ 0:	87.8906	81.375
Length   14, alignments in bytes  0/24:	88.7031	82.2031
Length   14, alignments in bytes 24/ 0:	88.7031	81.375
Length   15, alignments in bytes  0/ 0:	90.3281	83.0156
Length   15, alignments in bytes  0/ 0:	91.1562	84.625
Length   15, alignments in bytes  0/28:	90.3281	84.625
Length   15, alignments in bytes 28/ 0:	91.1562	85.4531
Length   16, alignments in bytes  0/ 0:	94.4062	86.2656
Length   16, alignments in bytes 28/ 8:	93.5781	86.2656
Length   32, alignments in bytes  0/ 0:	133.469	126.953
Length   32, alignments in bytes 24/16:	133.469	125.328
Length   64, alignments in bytes  0/ 0:	214.031	206.703
Length   64, alignments in bytes 20/24:	222.156	206.703
Length  128, alignments in bytes  0/ 0:	374.359	380.031
Length  128, alignments in bytes 16/ 0:	373.531	365.406
Length  256, alignments in bytes  0/ 0:	694.188	686.031
Length  256, alignments in bytes 12/ 8:	696.625	695.797
Length  512, alignments in bytes  0/ 0:	1345.22	1334.64
Length  512, alignments in bytes  8/16:	1341.95	1335.45
Length 1024, alignments in bytes  0/ 0:	2644.86	2615.56
Length 1024, alignments in bytes  4/24:	2625.33	2613.94
Length   16, alignments in bytes  4/ 8:	94.4062	87.0781
Length   16, alignments in bytes  8/ 4:	95.2188	87.0781
Length   16, alignments in bytes  4/ 4:	94.3906	86.2656
Length   16, alignments in bytes  4/ 4:	93.5781	86.2656
Length   32, alignments in bytes  8/16:	141.609	126.141
Length   32, alignments in bytes 16/ 8:	134.281	126.141
Length   32, alignments in bytes  8/ 8:	143.234	126.141
Length   32, alignments in bytes  8/ 8:	134.281	125.328
Length   64, alignments in bytes 12/24:	222.984	206.719
Length   64, alignments in bytes 24/12:	214.031	206.703
Length   64, alignments in bytes 12/12:	214.844	206.703
Length   64, alignments in bytes 12/12:	214.031	205.891
Length  128, alignments in bytes 16/ 0:	374.344	367.016
Length  128, alignments in bytes  0/16:	383.297	366.203
Length  128, alignments in bytes 16/16:	374.359	367.016
Length  128, alignments in bytes 16/16:	375.156	367.031
