                            	wcscat	simple_wcscat
Length    0/   0, alignment  0/ 0:	68.3594	43.9375
Length    0/   0, alignment  0/ 0:	45.5625	39.0625
Length    0/   0, alignment  0/ 0:	44.75	39.875
Length    0/   0, alignment  0/ 0:	44.75	39.0625
Length    1/   1, alignment  0/ 0:	56.1562	48.0156
Length    1/   1, alignment  0/ 0:	56.9688	46.3906
Length    1/   1, alignment  0/ 1:	54.5312	48.0156
Length    1/   1, alignment  1/ 0:	55.3438	55.3281
Length    2/   2, alignment  0/ 0:	64.2969	56.1562
Length    2/   2, alignment  0/ 0:	61.0312	56.1406
Length    2/   2, alignment  0/ 2:	61.8438	55.3438
Length    2/   2, alignment  2/ 0:	61.8594	56.1406
Length    3/   3, alignment  0/ 0:	73.2344	65.9219
Length    3/   3, alignment  0/ 0:	71.6094	64.2969
Length    3/   3, alignment  0/ 3:	70.7969	63.4844
Length    3/   3, alignment  3/ 0:	71.6094	62.6562
Length    4/   4, alignment  0/ 0:	82.1875	71.6094
Length    4/   4, alignment  0/ 0:	83	71.625
Length    4/   4, alignment  0/ 4:	77.3125	70.8125
Length    4/   4, alignment  4/ 0:	81.375	69.9844
Length    5/   5, alignment  0/ 0:	89.5156	81.375
Length    5/   5, alignment  0/ 0:	87.0781	78.9375
Length    5/   5, alignment  0/ 5:	87.8906	79.75
Length    5/   5, alignment  5/ 0:	86.2656	78.9531
Length    6/   6, alignment  0/ 0:	98.4844	88.7031
Length    6/   6, alignment  0/ 0:	96.8438	88.7188
Length    6/   6, alignment  0/ 6:	97.6562	90.3438
Length    6/   6, alignment  6/ 0:	96.8438	87.8906
Length    7/   7, alignment  0/ 0:	102.531	96.0312
Length    7/   7, alignment  0/ 0:	101.719	96.0312
Length    7/   7, alignment  0/ 7:	102.531	96.0312
Length    7/   7, alignment  7/ 0:	103.344	95.2188
Length    8/   8, alignment  0/ 0:	118.812	113.109
Length    8/   8, alignment  0/ 0:	117.188	112.312
Length    8/   8, alignment  0/ 0:	118.016	113.125
Length    8/   8, alignment  0/ 0:	118	120.453
Length    9/   9, alignment  0/ 0:	136.719	129.406
Length    9/   9, alignment  0/ 0:	136.719	139.969
Length    9/   9, alignment  0/ 1:	135.906	129.406
Length    9/   9, alignment  1/ 0:	135.094	130.203
Length   10/  10, alignment  0/ 0:	144.047	138.344
Length   10/  10, alignment  0/ 0:	144.047	137.547
Length   10/  10, alignment  0/ 2:	144.031	136.719
Length   10/  10, alignment  2/ 0:	144.047	137.531
Length   11/  11, alignment  0/ 0:	151.359	145.672
Length   11/  11, alignment  0/ 0:	150.562	145.672
Length   11/  11, alignment  0/ 3:	151.375	144.031
Length   11/  11, alignment  3/ 0:	151.375	144.859
Length   12/  12, alignment  0/ 0:	158.688	153.812
Length   12/  12, alignment  0/ 0:	158.703	152.188
Length   12/  12, alignment  0/ 4:	160.328	153
Length   12/  12, alignment  4/ 0:	158.688	152.188
Length   13/  13, alignment  0/ 0:	165.203	1011.55
Length   13/  13, alignment  0/ 0:	168.453	161.125
Length   13/  13, alignment  0/ 5:	165.203	169.281
Length   13/  13, alignment  5/ 0:	166.016	159.5
Length   14/  14, alignment  0/ 0:	174.156	176.594
Length   14/  14, alignment  0/ 0:	174.156	167.641
Length   14/  14, alignment  0/ 6:	174.141	166.844
Length   14/  14, alignment  6/ 0:	174.156	167.641
Length   15/  15, alignment  0/ 0:	181.484	175.781
Length   15/  15, alignment  0/ 0:	180.672	176.594
Length   15/  15, alignment  0/ 7:	189.625	175.781
Length   15/  15, alignment  7/ 0:	180.656	174.969
Length   16/  16, alignment  0/ 0:	188.797	183.109
Length   16/  16, alignment  7/ 2:	188.797	183.922
Length   16/   4, alignment  0/ 0:	122.062	118.812
Length   16/   4, alignment  7/ 2:	122.875	119.625
Length   32/  32, alignment  0/ 0:	309.25	302.734
Length   32/  32, alignment  6/ 4:	309.25	310.875
Length   32/   8, alignment  0/ 0:	187.984	195.312
Length   32/   8, alignment  6/ 4:	196.125	193.672
Length   64/  64, alignment  0/ 0:	550.953	550.938
Length   64/  64, alignment  5/ 6:	549.328	551.75
Length   64/  16, alignment  0/ 0:	308.438	304.359
Length   64/  16, alignment  5/ 6:	309.25	302.734
Length  128/ 128, alignment  0/ 0:	1035.97	1022.95
Length  128/ 128, alignment  4/ 0:	1029.47	1031.91
Length  128/  32, alignment  0/ 0:	557.453	542.797
Length  128/  32, alignment  4/ 0:	549.312	542.797
Length  256/ 256, alignment  0/ 0:	1999.5	1990.56
Length  256/ 256, alignment  3/ 2:	1996.27	1989.75
Length  256/  64, alignment  0/ 0:	1029.45	1033.53
Length  256/  64, alignment  3/ 2:	1038.42	1027.02
Length  512/ 512, alignment  0/ 0:	3925.78	3919.27
Length  512/ 512, alignment  2/ 4:	3924.97	3917.64
Length  512/ 128, alignment  0/ 0:	1996.27	1990.55
Length  512/ 128, alignment  2/ 4:	2000.31	1991.38
Length 1024/ 256, alignment  0/ 0:	3924.16	3920.08
Length 1024/ 256, alignment  1/ 6:	3926.59	3917.64
Length   16/   1, alignment  1/ 2:	105.781	107.422
Length   16/   1, alignment  2/ 1:	105.797	108.234
Length   16/  10, alignment  1/ 1:	159.5	153
Length   16/  10, alignment  1/ 1:	158.688	153
Length   32/   1, alignment  2/ 4:	145.672	159.5
Length   32/   1, alignment  4/ 2:	144.031	160.312
Length   32/  10, alignment  2/ 2:	199.375	192.875
