                    	wcschr	simple_STRCHR	stupid_STRCHR
Length   64, alignment in bytes  4:	659.984	273.438	1083.17
Length   64, alignment in bytes  4:	263.672	263.672	1039.23
Length   64, alignment in bytes  8:	266.109	264.484	1035.97
Length   64, alignment in bytes  8:	263.672	264.484	1035.97
Length   64, alignment in bytes 12:	262.859	263.672	1039.22
Length   64, alignment in bytes 12:	262.859	264.484	1036.78
Length   64, alignment in bytes 16:	262.859	263.672	1036.8
Length   64, alignment in bytes 16:	263.672	265.312	1036.78
Length   64, alignment in bytes 20:	263.672	264.5	1037.59
Length   64, alignment in bytes 20:	262.859	263.672	1036.78
Length   64, alignment in bytes 24:	263.672	263.672	1037.59
Length   64, alignment in bytes 24:	263.672	264.484	1035.98
Length   64, alignment in bytes 28:	264.484	264.484	1035.97
Length   64, alignment in bytes 28:	263.672	263.672	1036.78
Length    0, alignment in bytes  0:	43.1406	35.7969	61.8438
Length    0, alignment in bytes  0:	42.3125	34.1875	62.6719
Length    1, alignment in bytes  0:	48.0156	42.3125	69.9844
Length    1, alignment in bytes  0:	47.2031	42.3125	68.3594
Length    2, alignment in bytes  0:	48.8281	48.0156	77.2969
Length    2, alignment in bytes  0:	49.6406	48.8281	78.125
Length    3, alignment in bytes  0:	579.422	54.5312	86.25
Length    3, alignment in bytes  0:	51.2656	52.8906	85.4531
Length    4, alignment in bytes  0:	52.9062	57.7812	94.4062
Length    4, alignment in bytes  0:	53.7031	56.9531	93.5938
Length    5, alignment in bytes  0:	65.1094	59.4062	109.875
Length    5, alignment in bytes  0:	66.7344	58.5938	108.234
Length    6, alignment in bytes  0:	69.1719	69.9844	114.75
Length    6, alignment in bytes  0:	69.1719	70.7969	113.109
Length    7, alignment in bytes  0:	74.0469	74.875	121.25
Length    7, alignment in bytes  0:	73.2344	74.0625	123.688
Length    8, alignment in bytes  0:	75.6875	77.3125	131.828
Length    8, alignment in bytes  0:	76.5	78.125	131.016
Length    9, alignment in bytes  0:	79.7656	80.5625	147.297
Length    9, alignment in bytes  0:	79.75	79.75	146.484
Length   10, alignment in bytes  0:	83	83.8281	152.188
Length   10, alignment in bytes  0:	83.8281	83.8125	151.375
Length   11, alignment in bytes  0:	86.2656	87.8906	151.359
Length   11, alignment in bytes  0:	86.2656	86.25	150.547
Length   12, alignment in bytes  0:	90.3438	90.3281	168.453
Length   12, alignment in bytes  0:	89.5156	91.1406	169.266
Length   13, alignment in bytes  0:	92.7656	94.4062	178.219
Length   13, alignment in bytes  0:	92.7812	93.5938	177.422
Length   14, alignment in bytes  0:	95.2188	97.6562	185.547
Length   14, alignment in bytes  0:	96.0312	97.6562	183.922
Length   15, alignment in bytes  0:	99.2969	100.922	191.25
Length   15, alignment in bytes  0:	100.094	101.734	192.859
Length   16, alignment in bytes  0:	102.531	104.172	199.375
Length   16, alignment in bytes  0:	102.547	103.344	200.203
Length   17, alignment in bytes  0:	105.797	105.797	207.516
Length   17, alignment in bytes  0:	106.609	106.609	206.703
Length   18, alignment in bytes  0:	110.672	110.672	212.391
Length   18, alignment in bytes  0:	109.047	111.5	213.219
Length   19, alignment in bytes  0:	113.125	113.125	220.547
Length   19, alignment in bytes  0:	114.75	113.938	221.359
Length   20, alignment in bytes  0:	116.375	116.375	229.5
Length   20, alignment in bytes  0:	116.359	117.188	230.297
Length   21, alignment in bytes  0:	120.438	120.453	236.812
Length   21, alignment in bytes  0:	121.25	122.078	237.625
Length   22, alignment in bytes  0:	122.875	124.516	243.328
Length   22, alignment in bytes  0:	122.891	125.328	241.688
Length   23, alignment in bytes  0:	126.125	126.953	250.656
Length   23, alignment in bytes  0:	126.953	126.953	250.656
Length   24, alignment in bytes  0:	130.203	130.203	259.609
