                    	wcschrnul	simple_WCSCHRNUL	stupid_WCSCHRNUL
Length   64, alignment in bytes  4:	272.625	211.594	1077.47
Length   64, alignment in bytes  4:	212.406	207.516	1033.53
Length   64, alignment in bytes  8:	210.781	206.719	1034.34
Length   64, alignment in bytes  8:	209.953	204.266	1032.72
Length   64, alignment in bytes 12:	211.594	205.078	1031.91
Length   64, alignment in bytes 12:	210.781	205.891	1033.53
Length   64, alignment in bytes 16:	210.766	205.078	1033.53
Length   64, alignment in bytes 16:	211.578	206.703	1033.53
Length   64, alignment in bytes 20:	210.781	205.078	1032.72
Length   64, alignment in bytes 20:	210.781	206.719	1032.72
Length   64, alignment in bytes 24:	209.969	205.891	1034.34
Length   64, alignment in bytes 24:	209.141	205.891	1033.53
Length   64, alignment in bytes 28:	209.969	205.078	1031.91
Length   64, alignment in bytes 28:	209.969	205.891	1034.34
Length    0, alignment in bytes  0:	37.4375	33.375	60.2188
Length    0, alignment in bytes  0:	38.25	33.3594	60.2344
Length    1, alignment in bytes  0:	40.7031	35.7969	66.7344
Length    1, alignment in bytes  0:	40.6875	34.1875	65.1094
Length    2, alignment in bytes  0:	44.7656	39.0625	74.875
Length    2, alignment in bytes  0:	43.9531	39.875	74.0625
Length    3, alignment in bytes  0:	45.5625	41.5156	79.75
Length    3, alignment in bytes  0:	45.5781	40.6875	79.75
Length    4, alignment in bytes  0:	48.0156	43.1406	87.0781
Length    4, alignment in bytes  0:	47.2031	43.9531	87.8906
Length    5, alignment in bytes  0:	49.6406	45.5781	105.797
Length    5, alignment in bytes  0:	48.8281	46.375	104.984
Length    6, alignment in bytes  0:	52.8906	48.8281	110.672
Length    6, alignment in bytes  0:	52.0781	48.0156	109.859
Length    7, alignment in bytes  0:	55.3438	52.9062	116.375
Length    7, alignment in bytes  0:	53.7188	50.4531	117.188
Length    8, alignment in bytes  0:	57.7812	52.8906	129.391
Length    8, alignment in bytes  0:	55.3438	52.8906	128.578
Length    9, alignment in bytes  0:	60.2188	56.9688	144.859
Length    9, alignment in bytes  0:	58.5938	55.3438	144.031
Length   10, alignment in bytes  0:	74.0625	69.9844	142.422
Length   10, alignment in bytes  0:	74.0625	69.1719	139.984
Length   11, alignment in bytes  0:	78.9375	72.4219	155.438
Length   11, alignment in bytes  0:	77.3125	72.4219	154.609
