                            	wcsncat	stupid_wcsncat
Length    2/   2, alignment  0/ 2, N    2:	113.125	55.3281
Length    4/   4, alignment  0/ 0, N    2:	82.1875	65.1094
Length    4/   4, alignment  4/ 0, N    2:	77.3125	61.8438
Length    8/   8, alignment  0/ 0, N    2:	106.609	93.5781
Length    8/   8, alignment  0/ 0, N    2:	104.984	92.7812
Length   16/  16, alignment  0/ 0, N    2:	147.312	135.094
Length   16/  16, alignment  7/ 2, N    2:	147.297	136.719
Length   16/   4, alignment  0/ 0, N    2:	76.5	62.6562
Length   16/   4, alignment  7/ 2, N    2:	75.6875	61.0312
Length   32/  32, alignment  0/ 0, N    2:	227.047	214.844
Length   32/  32, alignment  6/ 4, N    2:	227.859	214.844
Length   32/   8, alignment  0/ 0, N    2:	104.984	91.9688
Length   32/   8, alignment  6/ 4, N    2:	105.797	91.9531
Length   64/  64, alignment  0/ 0, N    2:	387.375	374.344
Length   64/  64, alignment  5/ 6, N    2:	387.359	375.156
Length   64/  16, alignment  0/ 0, N    2:	147.297	135.094
Length   64/  16, alignment  5/ 6, N    2:	147.297	135.906
Length  128/ 128, alignment  0/ 0, N    2:	707.203	694.172
Length  128/ 128, alignment  4/ 0, N    2:	707.188	694.172
Length  128/  32, alignment  0/ 0, N    2:	227.047	215.672
Length  128/  32, alignment  4/ 0, N    2:	227.859	214.844
Length  256/ 256, alignment  0/ 0, N    2:	1347.66	1335.45
Length  256/ 256, alignment  3/ 2, N    2:	1347.66	1334.62
Length  256/  64, alignment  0/ 0, N    2:	388.188	375.984
Length  256/  64, alignment  3/ 2, N    2:	388.188	375.172
Length  512/ 512, alignment  0/ 0, N    2:	2626.95	2615.55
Length  512/ 512, alignment  2/ 4, N    2:	2626.95	2614.73
Length  512/ 128, alignment  0/ 0, N    2:	707.188	695
Length  512/ 128, alignment  2/ 4, N    2:	707.188	694.984
Length 1024/ 256, alignment  0/ 0, N    2:	1347.66	1336.25
Length 1024/ 256, alignment  1/ 6, N    2:	1347.66	1334.62
Length   16/   1, alignment  1/ 2, N    2:	62.6562	48.8281
Length   16/   1, alignment  2/ 1, N    2:	61.8594	48.8281
Length   16/  10, alignment  1/ 1, N    2:	116.375	104.984
Length   32/   1, alignment  2/ 4, N    2:	61.8438	48.0156
Length   32/   1, alignment  4/ 2, N    2:	63.4844	48.0156
Length   32/  10, alignment  2/ 2, N    2:	118	104.984
Length   64/   1, alignment  3/ 6, N    2:	61.8594	48.8281
Length   64/   1, alignment  6/ 3, N    2:	61.8438	48.8281
Length   64/  10, alignment  3/ 3, N    2:	117.188	104.172
Length  128/   1, alignment  4/ 0, N    2:	62.6562	47.2031
Length  128/   1, alignment  0/ 4, N    2:	61.0469	48.8281
Length  128/  10, alignment  4/ 4, N    2:	116.375	104.969
Length  256/   1, alignment  5/ 2, N    2:	62.6562	48.8281
Length  256/   1, alignment  2/ 5, N    2:	62.6719	48.8281
Length  256/  10, alignment  5/ 5, N    2:	117.188	104.969
Length  512/   1, alignment  6/ 4, N    2:	62.6562	47.2031
Length  512/   1, alignment  4/ 6, N    2:	62.6719	48.0156
Length  512/  10, alignment  6/ 6, N    2:	117.188	105.797
Length 1024/   1, alignment  7/ 6, N    2:	62.6719	48.8281
Length 1024/   1, alignment  6/ 7, N    2:	62.6719	48.0156
Length 1024/  10, alignment  7/ 7, N    2:	118	104.984
Length    2/   2, alignment  0/ 2, N    8:	59.4062	57.7812
Length    4/   4, alignment  0/ 0, N    8:	79.75	76.4844
Length    4/   4, alignment  4/ 0, N    8:	76.5	75.6875
Length    8/   8, alignment  0/ 0, N    8:	118.812	126.141
Length    8/   8, alignment  0/ 0, N    8:	119.625	127.766
Length   16/  16, alignment  0/ 0, N    8:	160.328	169.281
Length   16/  16, alignment  7/ 2, N    8:	159.516	168.453
Length   16/   4, alignment  0/ 0, N    8:	91.9531	100.906
Length   16/   4, alignment  7/ 2, N    8:	91.1562	100.922
Length   32/  32, alignment  0/ 0, N    8:	239.266	249.031
Length   32/  32, alignment  6/ 4, N    8:	238.453	248.203
Length   32/   8, alignment  0/ 0, N    8:	119.625	126.953
Length   32/   8, alignment  6/ 4, N    8:	118.812	126.953
Length   64/  64, alignment  0/ 0, N    8:	398.766	408.531
Length   64/  64, alignment  5/ 6, N    8:	398.766	408.531
Length   64/  16, alignment  0/ 0, N    8:	159.516	169.266
Length   64/  16, alignment  5/ 6, N    8:	159.5	169.266
