                            	wcsncpy	simple_wcsncpy	stupid_wcsncpy
Length   16, n   16, alignment  1/ 1:	124.516	125.328	174.969
Length   16, n   16, alignment  1/ 1:	103.344	122.875	174.969
Length   16, n   16, alignment  1/ 2:	101.734	121.25	172.531
Length   16, n   16, alignment  2/ 1:	100.906	121.25	172.531
Length    2, n    4, alignment  7/ 2:	64.2969	60.2188	71.625
Length    4, n    2, alignment  2/ 7:	46.3906	51.2656	64.2812
Length    2, n    4, alignment  7/ 2:	64.2969	61.0312	71.6094
Length    4, n    2, alignment  2/ 7:	45.5781	51.2656	63.4688
Length   16, n   16, alignment  2/ 2:	100.906	121.25	172.516
Length   16, n   16, alignment  2/ 2:	102.547	121.25	173.328
Length   16, n   16, alignment  2/ 4:	101.719	121.25	173.344
Length   16, n   16, alignment  4/ 2:	102.547	121.25	173.344
Length    4, n    8, alignment  6/ 4:	71.625	76.5	92.7812
Length    8, n    4, alignment  4/ 6:	59.4062	61.0312	78.9375
Length    4, n    8, alignment  6/ 4:	69.9844	74.875	91.9531
Length    8, n    4, alignment  4/ 6:	58.5938	61.0312	78.125
Length   16, n   16, alignment  3/ 3:	100.906	121.25	173.328
Length   16, n   16, alignment  3/ 3:	101.734	121.266	173.328
Length   16, n   16, alignment  3/ 6:	101.719	121.25	172.531
Length   16, n   16, alignment  6/ 3:	101.719	121.25	173.328
Length    8, n   16, alignment  5/ 6:	91.1406	113.938	131.828
Length   16, n    8, alignment  6/ 5:	69.9844	87.8906	108.234
Length    8, n   16, alignment  5/ 6:	89.5156	113.938	132.641
Length   16, n    8, alignment  6/ 5:	69.1719	87.8906	109.047
Length   16, n   16, alignment  4/ 4:	100.906	121.266	171.719
Length   16, n   16, alignment  4/ 4:	102.531	120.438	171.719
Length   16, n   16, alignment  4/ 0:	101.719	120.438	173.344
Length   16, n   16, alignment  0/ 4:	102.547	120.438	172.531
Length   16, n   32, alignment  4/ 0:	139.969	173.328	216.469
Length   32, n   16, alignment  0/ 4:	102.531	121.266	171.719
Length   16, n   32, alignment  4/ 0:	139.156	173.344	216.484
Length   32, n   16, alignment  0/ 4:	102.547	120.438	171.719
Length   16, n   16, alignment  5/ 5:	102.547	121.25	173.344
Length   16, n   16, alignment  5/ 5:	101.734	121.266	172.531
Length   16, n   16, alignment  5/ 2:	101.734	120.453	172.516
Length   16, n   16, alignment  2/ 5:	101.719	121.25	170.906
Length   32, n   64, alignment  3/ 2:	209.141	280.766	346.672
Length   64, n   32, alignment  2/ 3:	144.047	188.797	276.703
Length   32, n   64, alignment  3/ 2:	209.141	279.938	347.484
Length   64, n   32, alignment  2/ 3:	144.031	188	275.891
Length   16, n   16, alignment  6/ 6:	102.547	122.078	173.344
Length   16, n   16, alignment  6/ 6:	101.734	121.25	172.531
Length   16, n   16, alignment  6/ 4:	100.906	121.266	173.344
Length   16, n   16, alignment  4/ 6:	101.719	121.25	171.703
Length   64, n  128, alignment  2/ 4:	348.312	493.156	606.281
Length  128, n   64, alignment  4/ 2:	230.297	321.453	483.406
Length   64, n  128, alignment  2/ 4:	349.109	493.156	606.281
Length  128, n   64, alignment  4/ 2:	231.109	320.625	484.219
Length   16, n   16, alignment  7/ 7:	100.906	120.438	173.344
Length   16, n   16, alignment  7/ 7:	103.359	120.438	172.516
Length   16, n   16, alignment  7/ 6:	101.719	119.625	171.703
Length   16, n   16, alignment  6/ 7:	101.734	121.266	173.344
Length  128, n  256, alignment  1/ 6:	629.891	920.406	1127.12
Length  256, n  128, alignment  6/ 1:	405.281	588.375	896
Length  128, n  256, alignment  1/ 6:	629.891	921.219	1127.11
Length  256, n  128, alignment  6/ 1:	405.281	588.375	896.812
Length    8, n   16, alignment  0/ 0:	89.5312	113.125	131.016
Length   32, n   16, alignment  0/ 0:	102.531	121.266	173.328
Length    8, n   16, alignment  7/ 2:	88.7031	113.109	130.203
Length   32, n   16, alignment  7/ 2:	102.547	121.25	172.531
Length   16, n   32, alignment  0/ 0:	138.344	173.344	216.469
Length   64, n   32, alignment  0/ 0:	144.047	188.797	276.703
Length   16, n   32, alignment  6/ 4:	139.156	174.141	216.484
Length   64, n   32, alignment  6/ 4:	144.047	187.172	276.703
Length   32, n   64, alignment  0/ 0:	209.141	279.953	346.688
Length  128, n   64, alignment  0/ 0:	232.75	321.453	483.391
Length   32, n   64, alignment  5/ 6:	209.969	279.938	346.672
Length  128, n   64, alignment  5/ 6:	230.312	321.453	482.578
Length   64, n  128, alignment  0/ 0:	349.922	494.797	607.094
Length  256, n  128, alignment  0/ 0:	404.469	588.375	896
Length   64, n  128, alignment  4/ 0:	349.938	493.984	1219.89
Length  256, n  128, alignment  4/ 0:	406.891	587.562	896
Length  128, n  256, alignment  0/ 0:	630.703	920.406	1126.3
Length  512, n  256, alignment  0/ 0:	752.766	1121.42	1722.81
Length  128, n  256, alignment  3/ 2:	629.062	920.422	1126.31
Length  512, n  256, alignment  3/ 2:	751.141	1119.8	1723.62
Length  256, n  512, alignment  0/ 0:	1188.97	1773.27	2166.34
Length 1024, n  512, alignment  0/ 0:	1446.12	2187.5	3376.47
Length  256, n  512, alignment  2/ 4:	1188.97	1773.28	2167.16
Length 1024, n  512, alignment  2/ 4:	1446.14	2188.31	3376.47
Length  512, n 1024, alignment  0/ 0:	2308.75	3480.64	4247.23
Length  512, n 1024, alignment  1/ 6:	2309.56	3479.02	4248.05
