                    	wcsnlen	simple_wcsnlen
Length    1, alignment  0:	67.5469	36.625
Length    1, alignment  0:	42.3281	36.625
Length    1, alignment  0:	43.9531	38.25
Length    2, alignment  0:	41.5	34.1719
Length    2, alignment  0:	43.125	39.0625
Length    2, alignment  0:	47.2031	42.3281
Length    3, alignment  0:	43.9531	39.0625
Length    3, alignment  0:	49.6406	43.125
Length    3, alignment  0:	52.0938	45.5781
Length    4, alignment  0:	48.8281	43.1406
Length    4, alignment  0:	51.2656	45.5781
Length    4, alignment  0:	56.1562	50.4531
Length    5, alignment  0:	52.0781	46.3906
Length    5, alignment  0:	54.5156	50.4531
Length    5, alignment  0:	55.3281	52.8906
Length    6, alignment  0:	53.7031	49.6406
Length    6, alignment  0:	61.8438	64.2812
Length    6, alignment  0:	69.9844	69.1719
Length    7, alignment  0:	62.6562	63.4844
Length    7, alignment  0:	69.9844	68.3594
Length    7, alignment  0:	63.4688	72.4375
Length    1, alignment  1:	39.0625	33.3594
Length    1, alignment  1:	41.5156	34.1719
Length    1, alignment  1:	43.1406	37.4375
Length    2, alignment  2:	40.7031	35
Length    2, alignment  2:	43.9531	39.875
Length    2, alignment  2:	47.2031	42.3125
Length    3, alignment  3:	43.9375	40.6875
Length    3, alignment  3:	50.4531	43.9375
Length    3, alignment  3:	50.4531	43.9375
Length    4, alignment  4:	49.6406	43.1406
Length    4, alignment  4:	52.0781	47.2031
Length    4, alignment  4:	55.3281	50.4531
Length    5, alignment  5:	50.4531	45.5625
Length    5, alignment  5:	54.5312	50.4531
Length    5, alignment  5:	56.9688	55.3438
Length    6, alignment  6:	53.7188	51.2656
Length    6, alignment  6:	61.8438	63.4688
Length    6, alignment  6:	70	67.5469
Length    7, alignment  7:	61.8594	63.4844
Length    7, alignment  7:	69.9844	69.1719
Length    7, alignment  7:	73.2344	71.6094
Length    4, alignment  0:	56.1562	48.0156
Length    4, alignment  1:	55.3281	48.0156
Length    8, alignment  0:	78.9375	77.3125
Length    8, alignment  1:	78.9375	77.3125
Length   16, alignment  0:	112.312	109.859
Length   16, alignment  1:	112.312	109.859
Length   32, alignment  0:	175.781	177.406
Length   32, alignment  1:	175.781	177.406
Length   64, alignment  0:	302.734	310.062
Length   64, alignment  1:	301.922	311.688
Length  128, alignment  0:	555.828	576.172
Length  128, alignment  1:	555.016	577.797
Length  256, alignment  0:	1062.83	1110.84
Length  256, alignment  1:	1062.83	1110.84
Length  512, alignment  0:	2076.02	2177.73
Length  512, alignment  1:	2076	2178.55
Length 1024, alignment  0:	4101.56	4310.7
Length 1024, alignment  1:	4103.19	4310.72
Length    1, alignment  0:	43.125	36.6094
Length    2, alignment  0:	48.8281	42.3125
Length    3, alignment  0:	50.4531	44.7656
Length    4, alignment  0:	55.3281	59.4062
Length    5, alignment  0:	55.3438	64.2969
Length    6, alignment  0:	70.8125	67.5469
Length    7, alignment  0:	72.4375	73.25
Length    1, alignment  1:	43.9375	36.625
Length    2, alignment  2:	48.0156	41.5
Length    3, alignment  3:	50.4531	45.5781
Length    4, alignment  4:	56.1562	48.8281
Length    5, alignment  5:	56.1562	52.0781
Length    6, alignment  6:	61.8438	67.5469
Length    7, alignment  7:	72.4219	72.4219
Length    4, alignment  0:	56.1406	48.0156
Length    4, alignment  1:	56.1406	48.8281
Length    8, alignment  0:	78.9375	77.3125
Length    8, alignment  1:	78.9375	77.3125
Length   16, alignment  0:	113.109	111.5
Length   16, alignment  1:	112.297	110.688
Length   32, alignment  0:	175.781	176.594
Length   32, alignment  1:	175.781	175.781
Length   64, alignment  0:	302.734	310.062
Length   64, alignment  1:	301.922	311.672
Length  128, alignment  0:	555.828	576.984
Length  128, alignment  1:	556.641	577.797
Length  256, alignment  0:	1062	1110.83
Length  256, alignment  1:	1062.02	1110.03
Length  512, alignment  0:	2075.19	2178.55
Length  512, alignment  1:	2075.2	2176.92
Length 1024, alignment  0:	4759.94	4311.52
Length 1024, alignment  1:	4104.02	4311.53
