                                	wcspbrk	simple_wcspbrk	stupid_wcspbrk
Length  512, alignment  0, rej len  0:	5625	3889.98	3920.08
Length  512, alignment  0, rej len  0:	5604.66	3885.09	3919.27
Length  512, alignment  0, rej len  1:	7737.62	6445.31	6056.33
Length  512, alignment  1, rej len  1:	7739.25	6444.5	6055.5
Length  512, alignment  0, rej len  2:	11277.7	8155.92	8223.47
Length  512, alignment  2, rej len  2:	10680.3	8154.3	8222.66
Length  512, alignment  0, rej len  3:	13405.8	9871.42	10289.7
Length  512, alignment  3, rej len  3:	13461.9	9859.22	10326.3
Length  512, alignment  0, rej len  4:	11676.4	11566.6	11009.9
Length  512, alignment  4, rej len  4:	11598.3	11580.4	10810.5
Length  512, alignment  0, rej len  5:	19039.7	13283.7	14496.2
Length  512, alignment  5, rej len  5:	19040.5	13282.9	12510.6
Length  512, alignment  0, rej len  6:	20931.8	19021	20111.5
Length  512, alignment  6, rej len  6:	20784.5	18987.6	20110.7
Length  512, alignment  0, rej len  7:	22444.7	21582.8	21791.2
Length  512, alignment  7, rej len  7:	22491	21595.9	21674.8
Length  512, alignment  0, rej len  8:	24204.9	23374.8	23580.7
Length  512, alignment  0, rej len  8:	24184.6	23282.1	23395.2
Length  512, alignment  0, rej len  9:	25908.2	25004.1	25288.1
Length  512, alignment  1, rej len  9:	25922	25092.8	25152.2
Length  512, alignment  0, rej len 10:	27629.4	26798.5	27008.5
Length  512, alignment  2, rej len 10:	27609	26712.2	26841.6
Length  512, alignment  0, rej len 11:	29316.4	28409	28691.4
Length  512, alignment  3, rej len 11:	29313.1	28404.1	28542.5
Length  512, alignment  0, rej len 12:	31052.2	30411	30288.9
Length  512, alignment  4, rej len 12:	31011.6	30115.6	30220.5
Length  512, alignment  0, rej len 13:	32933.8	31919	31988.1
Length  512, alignment  5, rej len 13:	32758.8	32112.6	32000.3
Length  512, alignment  0, rej len 14:	34468.6	33638.5	33715
Length  512, alignment  6, rej len 14:	34659	33569.3	33721.5
Length  512, alignment  0, rej len 15:	36142.6	35420.7	35385.8
Length  512, alignment  7, rej len 15:	36175.9	35345.9	35585.9
Length  512, alignment  0, rej len 16:	37892.2	37062.2	37138.7
Length  512, alignment  0, rej len 16:	38042	37045.1	37121.6
Length  512, alignment  0, rej len 17:	39553.2	38811	38802.1
Length  512, alignment  1, rej len 17:	39558.9	38654	38975.4
Length  512, alignment  0, rej len 18:	41292.3	40461.4	40544.4
Length  512, alignment  2, rej len 18:	41465.7	40469.6	40551
Length  512, alignment  0, rej len 19:	43005.4	42271.3	42259.1
Length  512, alignment  3, rej len 19:	42981.8	42293.3	42235.5
Length  512, alignment  0, rej len 20:	44702.1	43872.1	44126
Length  512, alignment  4, rej len 20:	44736.3	43906.2	44160.2
Length  512, alignment  0, rej len 21:	46435.5	45606.3	45879.7
Length  512, alignment  5, rej len 21:	46382.7	45487.5	45642.1
Length  512, alignment  0, rej len 22:	48588.1	47186.7	47356
Length  512, alignment  6, rej len 22:	48518.9	47211.9	47382
Length  512, alignment  0, rej len 23:	49982.1	48885.9	49054.4
Length  512, alignment  7, rej len 23:	50019.5	48988.5	49082
Length  512, alignment  0, rej len 24:	51724.4	50715.3	50813
Length  512, alignment  0, rej len 24:	51728.5	50733.2	50830.1
Length  512, alignment  0, rej len 25:	53418	52419.4	52517.1
Length  512, alignment  1, rej len 25:	53415.5	52420.2	52518.7
Length  512, alignment  0, rej len 26:	55096.8	54102.4	54204.1
Length  512, alignment  2, rej len 26:	54938.1	54108.1	54375
Length  512, alignment  0, rej len 27:	56696.8	55865.9	56132
Length  512, alignment  3, rej len 27:	56692.7	55861.8	56128.7
Length  512, alignment  0, rej len 28:	58342.3	57662.8	57618.8
Length  512, alignment  4, rej len 28:	58329.3	57593.6	57605.8
Length  512, alignment  0, rej len 29:	60033.4	59293.6	59309.9
Length  512, alignment  5, rej len 29:	60205.9	59142.2	59322.1
Length  512, alignment  0, rej len 30:	63619	60862.6	61547.8
Length  512, alignment  6, rej len 30:	61783.8	61308.6	61066.9
Length  512, alignment  0, rej len 31:	63458.7	62741.7	62743.3
Length  512, alignment  7, rej len 31:	64408.4	63351.2	62743.3
Length   32, alignment  0, rej len  4:	800.781	779.625	806.469
Length   32, alignment  1, rej len  4:	1257.33	781.25	810.547
Length   64, alignment  0, rej len  4:	1523.44	1496.58	2125.66
Length   64, alignment  2, rej len  4:	1516.11	1496.59	2125.64
Length  128, alignment  0, rej len  4:	2967.94	2933.75	4126.78
Length  128, alignment  3, rej len  4:	2951.66	2927.23	4078.78
Length  256, alignment  0, rej len  4:	5832.53	5814.61	8113.59
Length  256, alignment  4, rej len  4:	5831.72	5813.8	8112.78
Length  512, alignment  0, rej len  4:	11582.8	11566.6	10768.2
Length  512, alignment  5, rej len  4:	11597.5	11580.4	10809.7
Length 1024, alignment  0, rej len  4:	23267.4	23087.6	21434.7
Length 1024, alignment  6, rej len  4:	23112.8	23094.1	21468.9
Length   64, alignment  1, rej len 10:	3508.3	3380.53	3481.44
Length   64, alignment  2, rej len 10:	3522.14	3681.64	3497.72
Length   64, alignment  3, rej len 10:	3522.12	3395.19	3497.72
Length   64, alignment  4, rej len 10:	3532.72	3404.94	3507.5
Length   64, alignment  5, rej len 10:	3537.59	3421.23	3513.17
Length   64, alignment  6, rej len 10:	3525.39	3407.39	3500.97
Length   64, alignment  7, rej len 10:	3534.34	3418.78	3510.75
Length    0, alignment  0, rej len  6:	61.0312	45.5781	135.094
Length    1, alignment  0, rej len  6:	90.3281	75.6875	118.812
Length    2, alignment  0, rej len  6:	162.766	144.031	227.859
Length    3, alignment  0, rej len  6:	203.438	182.297	273.438
Length    4, alignment  0, rej len  6:	237.625	208.328	315.75
Length    5, alignment  0, rej len  6:	275.062	240.891	338.547
Length    6, alignment  0, rej len  6:	318.188	282.391	384.922
Length    7, alignment  0, rej len  6:	340.984	307.625	374.344
Length    8, alignment  0, rej len  6:	393.062	352.375	464.688
Length    9, alignment  0, rej len  6:	430.5	382.484	487.469
Length   10, alignment  0, rej len  6:	476.875	440.281	531.406
Length   11, alignment  0, rej len  6:	517.578	463.062	572.906
Length   12, alignment  0, rej len  6:	560.719	504.562	627.438
Length   13, alignment  0, rej len  6:	593.266	531.422	639.656
Length   14, alignment  0, rej len  6:	625	563.969	673.016
Length   15, alignment  0, rej len  6:	679.516	611.172	740.562
Length   16, alignment  0, rej len  6:	716.141	644.531	777.188
Length   17, alignment  0, rej len  6:	744.625	677.891	766.594
Length   18, alignment  0, rej len  6:	797.531	718.594	840.656
Length   19, alignment  0, rej len  6:	840.656	758.469	887.859
Length   20, alignment  0, rej len  6:	883.781	791.016	935.062
Length   21, alignment  0, rej len  6:	925.281	874.844	967.609
Length   22, alignment  0, rej len  6:	956.219	865.062	984.688
Length   23, alignment  0, rej len  6:	1005.86	916.344	1044.11
Length   24, alignment  0, rej len  6:	1049.81	994.469	1099.44
Length   25, alignment  0, rej len  6:	1077.47	975.75	1106.78
Length   26, alignment  0, rej len  6:	1120.61	1016.44	1154.8
Length   27, alignment  0, rej len  6:	1158.05	1049	1191.41
Length   28, alignment  0, rej len  6:	1190.59	1086.42	1194.67
Length   29, alignment  0, rej len  6:	1243.48	1179.2	1268.72
Length   30, alignment  0, rej len  6:	1289.06	1223.97	1318.36
Length   31, alignment  0, rej len  6:	1333.81	1265.47	1365.56
Length   32, alignment  0, rej len  6:	1351.72	1287.42	1354.98
Length   33, alignment  0, rej len  6:	1416.83	1346.02	1439.62
Length   34, alignment  0, rej len  6:	1457.52	1385.91	1478.69
Length   35, alignment  0, rej len  6:	1497.39	1424.97	1526.7
Length   36, alignment  0, rej len  6:	1532.39	1398.94	1564.12
Length   37, alignment  0, rej len  6:	1554.36	1415.2	1548.66
Length   38, alignment  0, rej len  6:	1609.7	1530.77	1626.8
Length   39, alignment  0, rej len  6:	1650.39	1498.2	1666.66
Length   40, alignment  0, rej len  6:	1687.83	1544.59	1702.48
Length   41, alignment  0, rej len  6:	1730.95	1581.22	1739.09
Length   42, alignment  0, rej len  6:	1778.17	1691.89	1789.55
Length   43, alignment  0, rej len  6:	1811.52	1725.27	1819.66
Length   44, alignment  0, rej len  6:	1838.39	1674.81	1818.03
Length   45, alignment  0, rej len  6:	1896.16	1723.64	1910
Length   46, alignment  0, rej len  6:	1943.36	1769.2	1957.2
Length   47, alignment  0, rej len  6:	1972.66	1877.44	1975.09
Length   48, alignment  0, rej len  6:	2001.14	2020.67	1972.66
Length   49, alignment  0, rej len  6:	2055.67	1958.02	2053.22
Length   50, alignment  0, rej len  6:	2089.84	1900.22	2082.52
Length   51, alignment  0, rej len  6:	2136.23	1940.92	2495.91
Length   52, alignment  0, rej len  6:	2178.55	1981.61	2189.12
Length   53, alignment  0, rej len  6:	2211.11	2009.28	2188.31
Length   54, alignment  0, rej len  6:	2254.23	2146.8	2239.59
Length   55, alignment  0, rej len  6:	2297.38	2106.94	2289.22
Length   56, alignment  0, rej len  6:	2341.31	2130.53	2365.72
Length   57, alignment  0, rej len  6:	2375.48	2163.91	2362.47
Length   58, alignment  0, rej len  6:	2421.06	2312.83	2433.27
Length   59, alignment  0, rej len  6:	2444.66	2229	2402.34
Length   60, alignment  0, rej len  6:	2495.92	2380.38	2488.61
Length   61, alignment  0, rej len  6:	2536.61	2420.25	2515.47
Length   62, alignment  0, rej len  6:	2565.91	2338.88	2530.92
Length   63, alignment  0, rej len  6:	2614.75	2380.38	2592.78
