                    	wcsrchr	simple_wcsrchr
Length  256, alignment in bytes  4:	926.109	917.156
Length  256, alignment in bytes  4:	906.578	908.203
Length  256, alignment in bytes  8:	916.344	899.25
Length  256, alignment in bytes  8:	904.938	910.641
Length  256, alignment in bytes 12:	913.891	900.875
Length  256, alignment in bytes 12:	904.953	909.844
Length  256, alignment in bytes 16:	916.344	900.062
Length  256, alignment in bytes 16:	905.766	900.062
Length  256, alignment in bytes 20:	906.578	908.203
Length  256, alignment in bytes 20:	914.719	899.25
Length  256, alignment in bytes 24:	905.766	910.641
Length  256, alignment in bytes 24:	914.703	900.891
Length  256, alignment in bytes 28:	906.562	908.203
Length  256, alignment in bytes 28:	913.891	900.875
Length    1, alignment in bytes  0:	47.2031	38.25
Length    1, alignment in bytes  0:	46.3906	38.25
Length    2, alignment in bytes  0:	48.8281	43.125
Length    2, alignment in bytes  0:	48.8281	42.3125
Length    3, alignment in bytes  0:	52.0781	47.2031
Length    3, alignment in bytes  0:	52.0781	44.7656
Length    4, alignment in bytes  0:	55.3438	47.2031
Length    4, alignment in bytes  0:	52.8906	47.1875
Length    5, alignment in bytes  0:	57.7812	52.0781
Length    5, alignment in bytes  0:	57.7812	51.2656
Length    6, alignment in bytes  0:	61.8438	56.9688
Length    6, alignment in bytes  0:	60.2188	56.1562
Length    7, alignment in bytes  0:	65.1094	57.7812
Length    7, alignment in bytes  0:	64.2812	56.9688
Length    8, alignment in bytes  0:	77.3125	60.2188
Length    8, alignment in bytes  0:	78.125	59.4062
Length    9, alignment in bytes  0:	83.0156	63.4844
Length    9, alignment in bytes  0:	83	62.6719
Length   10, alignment in bytes  0:	86.2656	80.5625
Length   10, alignment in bytes  0:	86.2656	78.125
Length   11, alignment in bytes  0:	89.5156	83
Length   11, alignment in bytes  0:	88.7031	83.0156
Length   12, alignment in bytes  0:	92.7812	87.0781
Length   12, alignment in bytes  0:	91.9688	87.0625
Length   13, alignment in bytes  0:	96.0156	90.3281
Length   13, alignment in bytes  0:	95.2031	91.1406
Length   14, alignment in bytes  0:	98.4688	102.531
Length   14, alignment in bytes  0:	98.4688	92.7812
Length   15, alignment in bytes  0:	102.531	97.6562
Length   15, alignment in bytes  0:	102.531	96.8438
Length   16, alignment in bytes  0:	105.781	100.922
Length   16, alignment in bytes  0:	105.797	100.906
Length   17, alignment in bytes  0:	109.047	104.156
Length   17, alignment in bytes  0:	109.859	103.359
Length   18, alignment in bytes  0:	110.672	107.422
Length   18, alignment in bytes  0:	112.312	106.609
Length   19, alignment in bytes  0:	114.75	110.672
Length   19, alignment in bytes  0:	115.562	109.859
Length   20, alignment in bytes  0:	118	113.125
Length   20, alignment in bytes  0:	119.625	122.078
Length   21, alignment in bytes  0:	123.703	118
Length   21, alignment in bytes  0:	122.078	116.375
Length   22, alignment in bytes  0:	126.125	121.266
Length   22, alignment in bytes  0:	125.328	121.25
Length   23, alignment in bytes  0:	127.766	123.703
Length   23, alignment in bytes  0:	128.578	123.703
Length   24, alignment in bytes  0:	132.656	126.953
Length   24, alignment in bytes  0:	131.828	126.141
Length   25, alignment in bytes  0:	135.906	129.391
Length   25, alignment in bytes  0:	135.906	130.203
Length   26, alignment in bytes  0:	139.156	134.266
Length   26, alignment in bytes  0:	139.172	134.281
Length   27, alignment in bytes  0:	141.609	136.719
Length   27, alignment in bytes  0:	142.406	136.719
Length   28, alignment in bytes  0:	145.672	140.781
Length   28, alignment in bytes  0:	144.859	140.781
Length   29, alignment in bytes  0:	148.922	143.219
Length   29, alignment in bytes  0:	148.922	144.859
Length   30, alignment in bytes  0:	153	146.484
Length   30, alignment in bytes  0:	151.359	157.062
Length   31, alignment in bytes  0:	154.625	150.547
Length   31, alignment in bytes  0:	156.25	149.734
Length   32, alignment in bytes  0:	158.703	153.812
Length   32, alignment in bytes  0:	158.688	153
Length  256, alignment in bytes  4:	266.922	262.047
Length  256, alignment in bytes  4:	265.297	267.75
Length  256, alignment in bytes  8:	266.109	259.609
Length  256, alignment in bytes  8:	265.297	260.422
Length  256, alignment in bytes 12:	266.109	261.219
Length  256, alignment in bytes 12:	990.391	275.062
Length  256, alignment in bytes 16:	265.297	268.547
Length  256, alignment in bytes 16:	265.297	260.406
Length  256, alignment in bytes 20:	266.109	260.406
Length  256, alignment in bytes 20:	265.297	260.422
Length  256, alignment in bytes 24:	265.297	260.422
Length  256, alignment in bytes 24:	266.109	261.234
Length  256, alignment in bytes 28:	265.297	259.594
Length  256, alignment in bytes 28:	274.25	261.219
Length    1, alignment in bytes  0:	41.5156	41.5
Length    1, alignment in bytes  0:	42.3125	40.6875
Length    2, alignment in bytes  0:	46.3906	38.25
Length    2, alignment in bytes  0:	45.5781	38.25
Length    3, alignment in bytes  0:	49.6406	43.1406
Length    3, alignment in bytes  0:	48.8281	43.125
Length    4, alignment in bytes  0:	52.8906	45.5781
Length    4, alignment in bytes  0:	52.0938	45.5781
Length    5, alignment in bytes  0:	56.1562	48.8281
Length    5, alignment in bytes  0:	65.0938	48.0156
Length    6, alignment in bytes  0:	59.4062	51.2656
Length    6, alignment in bytes  0:	57.7812	51.2656
Length    7, alignment in bytes  0:	63.4688	54.5156
Length    7, alignment in bytes  0:	61.0312	52.0938
Length    8, alignment in bytes  0:	73.25	59.4062
