                                	wcsspn	simple_wcsspn	stupid_wcsspn
Length  512, alignment  0, acc len  1:	3085.94	3827.31	4410.81
Length  512, alignment  1, acc len  1:	3062.33	3049.31	4401.84
Length  512, alignment  0, acc len  2:	6481.11	6136.08	8425.3
Length  512, alignment  2, acc len  2:	6315.09	6027.83	8183.59
Length  512, alignment  0, acc len  3:	8452.14	8003.75	10921.2
Length  512, alignment  3, acc len  3:	8632.81	8224.28	11110
Length  512, alignment  0, acc len  4:	10555.8	9877.92	13415.5
Length  512, alignment  4, acc len  4:	10683.6	10389.8	13151.9
Length  512, alignment  0, acc len  5:	12544.8	12132.2	14708.7
Length  512, alignment  5, acc len  5:	11874.2	11333	14416.5
Length  512, alignment  0, acc len  6:	12938.6	12146	15837.4
Length  512, alignment  6, acc len  6:	12990.7	12265.6	15708
Length  512, alignment  0, acc len  7:	14102.4	13365.1	17234.7
Length  512, alignment  7, acc len  7:	14008	13162.4	16891.3
Length  512, alignment  0, acc len  8:	14953.6	13797.2	17642.4
Length  512, alignment  0, acc len  8:	14764	13965.7	17776.7
Length  512, alignment  0, acc len  9:	15568	14733.9	18677.6
Length  512, alignment  1, acc len  9:	15506.2	14626.5	18654
Length  512, alignment  0, acc len 10:	16135.2	15405.3	19403.5
Length  512, alignment  2, acc len 10:	16544.6	15623.4	19626.5
Length  512, alignment  0, acc len 11:	17394.2	16207.7	20105
Length  512, alignment  3, acc len 11:	17495.9	16670.7	20594.9
Length  512, alignment  0, acc len 12:	18077	17260.7	21359.9
Length  512, alignment  4, acc len 12:	17805.2	16998.7	20889.5
Length  512, alignment  0, acc len 13:	19025.1	18247.9	22323.4
Length  512, alignment  5, acc len 13:	18992.5	18378.9	22196.5
Length  512, alignment  0, acc len 14:	19376.6	18581.5	22656.2
Length  512, alignment  6, acc len 14:	19695.6	18871.2	23131.5
Length  512, alignment  0, acc len 15:	20599.8	19766.4	23798
Length  512, alignment  7, acc len 15:	21158	20318.2	24460.5
Length  512, alignment  0, acc len 16:	21581.2	20575.4	24392.1
Length  512, alignment  0, acc len 16:	21669.1	20852.9	24684.2
Length  512, alignment  0, acc len 17:	22108.6	21691.1	25105
Length  512, alignment  1, acc len 17:	22161.5	21331.4	25297
Length  512, alignment  0, acc len 18:	22865.4	22220.9	25932.6
Length  512, alignment  2, acc len 18:	23781.7	22937.8	26781.4
Length  512, alignment  0, acc len 19:	24294.4	23763	27326.7
Length  512, alignment  3, acc len 19:	24687.5	23856.6	27738.5
Length  512, alignment  0, acc len 20:	24427.9	23771.2	27447.9
Length  512, alignment  4, acc len 20:	25102.5	24286.3	28153.5
Length  512, alignment  0, acc len 21:	25523.3	24865.7	28603.5
Length  512, alignment  5, acc len 21:	25604.7	24764	28703.6
Length  512, alignment  0, acc len 22:	26779.8	26045.7	29799
Length  512, alignment  6, acc len 22:	26572.3	25735.7	29668
Length  512, alignment  0, acc len 23:	27982.6	26972.7	30821.1
Length  512, alignment  7, acc len 23:	26910	26075.8	30152.2
Length  512, alignment  0, acc len 24:	28064	27228.2	31028.7
Length  512, alignment  0, acc len 24:	28243	27402.3	31423.3
Length  512, alignment  0, acc len 25:	28297.5	27456.9	31409.5
Length  512, alignment  1, acc len 25:	28942.9	28258.5	31923
Length  512, alignment  0, acc len 26:	30842.3	30009	33897.3
Length  512, alignment  2, acc len 26:	29738	28696.3	32659.5
Length  512, alignment  0, acc len 27:	30665.7	29821	33894.9
Length  512, alignment  3, acc len 27:	29509.3	28661.3	32537.4
Length  512, alignment  0, acc len 28:	31770	30747.1	34634.6
Length  512, alignment  4, acc len 28:	31870.9	31035.2	35021.2
Length  512, alignment  0, acc len 29:	29980.5	29142.2	32974.5
Length  512, alignment  5, acc len 29:	33678.4	33005.4	36641.4
Length  512, alignment  0, acc len 30:	33833.8	32993.2	36988.9
Length  512, alignment  6, acc len 30:	31884	31034.3	34973.1
Length  512, alignment  0, acc len 31:	34679.4	34012	37609.1
Length  512, alignment  7, acc len 31:	35236	34393.7	38354.5
Length   32, alignment  0, acc len  4:	683.594	672.203	941.578
Length   32, alignment  1, acc len  4:	698.25	655.922	887.859
Length   64, alignment  0, acc len  4:	1324.88	1301.27	1761.08
Length   64, alignment  2, acc len  4:	1478.69	1379.41	1770.02
Length  128, alignment  0, acc len  4:	2688	2576.48	3321.94
Length  128, alignment  3, acc len  4:	2517.09	2454.42	3187.67
Length  256, alignment  0, acc len  4:	5311.69	5197.75	6585.28
Length  256, alignment  4, acc len  4:	5376.78	5371.91	6659.34
Length  512, alignment  0, acc len  4:	10511.1	10214.8	12803.5
Length  512, alignment  5, acc len  4:	10711.2	10669.8	12806
Length 1024, alignment  0, acc len  4:	21420.9	20725.1	26001.8
Length 1024, alignment  6, acc len  4:	21049.8	20851.2	25870
Length   64, alignment  1, acc len 10:	2087.41	1981.59	2605.8
Length   64, alignment  2, acc len 10:	2132.16	2051.59	2624.52
Length   64, alignment  3, acc len 10:	2214.36	2100.42	2653.8
Length   64, alignment  4, acc len 10:	2019.86	1905.92	2548.02
Length   64, alignment  5, acc len 10:	2093.92	1988.92	2597.66
Length   64, alignment  6, acc len 10:	2082.52	1978.34	2545.58
Length   64, alignment  7, acc len 10:	2095.55	1993.81	2613.12
Length    0, alignment  0, acc len  6:	74.8594	69.9844	163.578
Length    1, alignment  0, acc len  6:	85.4531	76.5	165.203
Length    2, alignment  0, acc len  6:	118.812	101.734	199.375
Length    3, alignment  0, acc len  6:	170.906	157.062	285.641
Length    4, alignment  0, acc len  6:	195.312	183.922	325.516
Length    5, alignment  0, acc len  6:	217.297	199.391	334.484
Length    6, alignment  0, acc len  6:	212.391	198.562	359.703
Length    7, alignment  0, acc len  6:	237.625	231.109	345.047
Length    8, alignment  0, acc len  6:	290.516	269.359	422.359
Length    9, alignment  0, acc len  6:	324.703	304.375	460.609
Length   10, alignment  0, acc len  6:	297.859	269.375	415.844
Length   11, alignment  0, acc len  6:	354.812	332.844	507.812
Length   12, alignment  0, acc len  6:	415.844	386.547	588.391
Length   13, alignment  0, acc len  6:	399.578	384.922	554.188
Length   14, alignment  0, acc len  6:	451.672	431.312	650.234
Length   15, alignment  0, acc len  6:	498.859	463.047	644.531
Length   16, alignment  0, acc len  6:	517.578	486.656	723.469
Length   17, alignment  0, acc len  6:	516.75	497.234	685.219
Length   18, alignment  0, acc len  6:	559.891	516.75	734.062
Length   19, alignment  0, acc len  6:	548.5	516.766	752.766
Length   20, alignment  0, acc len  6:	633.953	587.562	860.188
Length   21, alignment  0, acc len  6:	607.094	574.547	829.266
Length   22, alignment  0, acc len  6:	616.875	570.484	843.109
Length   23, alignment  0, acc len  6:	631.516	598.141	819.5
Length   24, alignment  0, acc len  6:	686.047	649.422	920.406
Length   25, alignment  0, acc len  6:	689.281	672.203	932.625
Length   26, alignment  0, acc len  6:	677.891	690.922	864.25
Length   27, alignment  0, acc len  6:	781.25	723.469	992.844
Length   28, alignment  0, acc len  6:	776.375	716.953	1035.16
Length   29, alignment  0, acc len  6:	874.828	808.109	1052.25
Length   30, alignment  0, acc len  6:	827.641	812.984	1090.5
Length   31, alignment  0, acc len  6:	830.078	794.281	1095.38
Length   32, alignment  0, acc len  6:	842.281	798.344	1156.41
Length   33, alignment  0, acc len  6:	877.281	843.109	1140.95
Length   34, alignment  0, acc len  6:	1004.23	944.016	1265.47
Length   35, alignment  0, acc len  6:	936.688	846.359	1195.48
Length   36, alignment  0, acc len  6:	976.562	925.297	1228.03
Length   37, alignment  0, acc len  6:	1059.56	989.578	1337.08
Length   38, alignment  0, acc len  6:	1047.36	974.938	1309.41
Length   39, alignment  0, acc len  6:	1031.09	978.188	1415.2
Length   40, alignment  0, acc len  6:	1057.12	999.344	1409.5
Length   41, alignment  0, acc len  6:	1060.39	994.469	1350.09
Length   42, alignment  0, acc len  6:	1163.73	1096.19	1459.16
Length   43, alignment  0, acc len  6:	1206.88	1175.14	1534.83
Length   44, alignment  0, acc len  6:	1211.75	1142.58	1517.75
Length   45, alignment  0, acc len  6:	1244.3	1167.81	1542.97
Length   46, alignment  0, acc len  6:	1298.02	1241.05	1640.62
Length   47, alignment  0, acc len  6:	1285.81	1230.47	1599.11
Length   48, alignment  0, acc len  6:	1364.75	1279.3	1730.14
Length   49, alignment  0, acc len  6:	1204.42	1167.81	1538.91
Length   50, alignment  0, acc len  6:	1403.8	1298.83	1768.39
Length   51, alignment  0, acc len  6:	1429.84	1333.83	1741.55
Length   52, alignment  0, acc len  6:	1370.45	1262.2	1740.72
Length   53, alignment  0, acc len  6:	1454.25	1363.12	1832.67
Length   54, alignment  0, acc len  6:	1489.27	1404.62	1838.39
Length   55, alignment  0, acc len  6:	1440.44	1353.36	1826.98
Length   56, alignment  0, acc len  6:	1555.17	1467.3	1976.72
Length   57, alignment  0, acc len  6:	1503.09	1406.25	1864.42
Length   58, alignment  0, acc len  6:	1573.89	1462.41	1949.06
Length   59, alignment  0, acc len  6:	1629.23	1531.58	1998.7
Length   60, alignment  0, acc len  6:	1584.48	1478.67	2001.95
Length   61, alignment  0, acc len  6:	1703.3	1611.33	2084.14
Length   62, alignment  0, acc len  6:	1683.77	1589.36	2045.89
Length   63, alignment  0, acc len  6:	1564.12	1477.86	1928.7
