                       	wmemcmp	simple_wmemcmp
Length    1, alignment  4/ 4:	117.188	46.375
Length    1, alignment  4/ 4:	48.0156	38.25
Length    1, alignment  4/ 4:	48.8281	38.25
Length    2, alignment  8/ 8:	53.7031	45.5781
Length    2, alignment  8/ 8:	54.5312	39.875
Length    2, alignment  8/ 8:	56.1562	43.1406
Length    3, alignment 12/12:	54.5312	57.7812
Length    3, alignment 12/12:	56.9688	46.3906
Length    3, alignment 12/12:	59.4062	48.0156
Length    4, alignment 16/16:	60.2188	62.6719
Length    4, alignment 16/16:	51.2656	52.0781
Length    4, alignment 16/16:	50.4688	50.4531
Length    5, alignment 20/20:	65.1094	66.7344
Length    5, alignment 20/20:	59.4062	64.2969
Length    5, alignment 20/20:	62.6562	63.4688
Length    6, alignment 24/24:	67.5469	70.7969
Length    6, alignment 24/24:	67.5469	70.7969
Length    6, alignment 24/24:	69.1719	69.9844
Length    7, alignment 28/28:	67.5312	74.8594
Length    7, alignment 28/28:	70.8125	76.5
Length    7, alignment 28/28:	72.4375	72.4219
Length    8, alignment 32/32:	70.7969	78.9375
Length    8, alignment 32/32:	63.4844	77.3125
Length    8, alignment 32/32:	64.2969	76.5
Length    9, alignment 36/36:	75.6719	83.8125
Length    9, alignment 36/36:	71.6094	83.0156
Length    9, alignment 36/36:	74.8594	79.75
Length   10, alignment 40/40:	76.5	87.0781
Length   10, alignment 40/40:	78.125	87.8906
Length   10, alignment 40/40:	79.75	87.0625
Length   11, alignment 44/44:	78.125	91.1406
Length   11, alignment 44/44:	80.5625	91.1562
Length   11, alignment 44/44:	80.5625	88.7031
Length   12, alignment 48/48:	85.4531	96.0312
Length   12, alignment 48/48:	81.375	95.2188
Length   12, alignment 48/48:	79.75	93.5938
Length   13, alignment 52/52:	100.094	100.094
Length   13, alignment 52/52:	96.8438	98.4688
Length   13, alignment 52/52:	98.4688	98.4688
Length   14, alignment 56/56:	103.344	103.359
Length   14, alignment 56/56:	104.156	104.172
Length   14, alignment 56/56:	104.984	101.719
Length   15, alignment 60/60:	102.531	107.422
